[IRV | ML | OT | Numbers | Chapter 34 | Verse 1] യഹോവ പിന്നെയും മോശെയോടു അരുളിച്ചെയ്തതു:
[IRV | ML | OT | Numbers | Chapter 34 | Verse 2] യിസ്രായേൽമക്കളോടു നീ കല്പിക്കേണ്ടതെന്തെന്നാൽ: നിങ്ങൾ കനാൻദേശത്തു എത്തുമ്പോൾ നിങ്ങൾക്കു അവകാശമായി വരുവാനിരിക്കുന്ന ദേശത്തിന്റെ അതിർ ഇങ്ങനെ ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 3] തെക്കെഭാഗം സീൻമരുഭൂമിതുടങ്ങി എദോമിന്റെ വശത്തുകൂടിയായിരിക്കേണം; നിങ്ങളുടെ തെക്കെ അതിർ കിഴക്കു ഉപ്പുകടലിന്റെ അറ്റംതുടങ്ങി ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 4] പിന്നെ നിങ്ങളുടെ അതിർ അക്രബ്ബീംകയറ്റത്തിന്നു തെക്കോട്ടു തിരിഞ്ഞു സീനിലേക്കു കടന്നു കാദേശ്ബർന്നേയയുടെ തെക്കു അവസാനിക്കേണം. അവിടെനിന്നു ഹസർ-അദ്ദാർവരെ ചെന്നു അസ്മോനിലേക്കു കടക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 5] പിന്നെ അതിർ അസ്മോൻതുടങ്ങി മിസ്രയീംതോട്ടിലേക്കു തിരിഞ്ഞു സമുദ്രത്തിങ്കൽ അവസാനിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 6] പടിഞ്ഞാറോ മഹാസമുദ്രം അതിർ ആയിരിക്കേണം. അതു നിങ്ങളുടെ പടിഞ്ഞാറെ അതിർ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 7] വടക്കോ മഹാസമുദ്രംതുടങ്ങി ഹോർപർവ്വതം നിങ്ങളുടെ അതിരാക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 8] ഹോർപർവ്വതംമുതൽ ഹമാത്ത്‌വരെ അതിരാക്കേണം. സെദാദിൽ ആ അതിർ അവസാനിക്കേണം;
[IRV | ML | OT | Numbers | Chapter 34 | Verse 9] പിന്നെ അതിർ സിഫ്രോൻവരെ ചെന്നു ഹസാർ-ഏനാനിൽ അവസാനിക്കേണം; ഇതു നിങ്ങളുടെ വടക്കെ അതിർ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 10] കിഴക്കോ ഹസാർ-എനാൻതുടങ്ങി ശെഫാംവരെ നിങ്ങളുടെ അതിരാക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 11] ശെഫാംതുടങ്ങി ആ അതിർ അയീന്റെ കിഴക്കു ഭാഗത്തു രിബ്ളാവരെ ഇറങ്ങിച്ചെന്നിട്ടു കിന്നേരെത്ത്കടലിന്റെ കിഴക്കെ കര തൊട്ടിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 12] അവിടെനിന്നു യോർദ്ദാൻവഴിയായി ഇറങ്ങിച്ചെന്നു ഉപ്പുകടലിങ്കൽ അവസാനിക്കേണം. ഇതു ചുറ്റും നിങ്ങളുടെ ദേശത്തിന്റെ അതിർ ആയിരിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 13] മോശെ യിസ്രായേൽമക്കളോടു കല്പിച്ചതു: നിങ്ങൾക്കു ചീട്ടിനാൽ അവകാശമായി ലഭിപ്പാനുള്ളതായി യഹോവ ഒമ്പതര ഗോത്രങ്ങൾക്കു കൊടുപ്പാൻ കല്പിച്ചിട്ടുള്ള ദേശം ഇതു തന്നേ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 14] രൂബേൻഗോത്രക്കാരുടെ കുടുംബങ്ങൾക്കും ഗാദ്ഗോത്രക്കാരുടെ കുടുംബങ്ങൾക്കും മനശ്ശെയുടെ പാതി ഗോത്രത്തിന്നും താന്താങ്ങളുടെ അവകാശം ലഭിച്ചുവല്ലോ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 15] ഈ രണ്ടര ഗോത്രത്തിന്നു അവകാശം ലഭിച്ചതു കിഴക്കൻപ്രദേശത്തു യെരീഹോവിന്നു കിഴക്കു യോർദ്ദാന്നക്കരെ ആയിരുന്നു.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 16] പിന്നെ യഹോവ മോശെയോടു അരുളിച്ചെയ്തതു:
[IRV | ML | OT | Numbers | Chapter 34 | Verse 17] നിങ്ങൾക്കു ദേശം വിഭാഗിച്ചു തരേണ്ടുന്നവരുടെ പേരുകൾ ആവിതു: പുരോഹിതനായ എലെയാസാരും നൂന്റെ മകനായ യോശുവയും.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 18] ദേശത്തെ അവകാശമായി വിഭാഗിക്കേണ്ടതിന്നു നിങ്ങൾ ഓരോ ഗോത്രത്തിൽനിന്നു ഓരോ പ്രഭുവിനെയും കൂട്ടിക്കൊള്ളേണം.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 19] അവർ ആരെല്ലാമെന്നാൽ: യെഹൂദാഗോത്രത്തിൽ യെഫുന്നെയുടെ മകൻ കാലേബ്.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 20] ശിമെയോൻഗോത്രത്തിൽ അമ്മീഹൂദിന്റെ മകൻ ശെമൂവേൽ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 21] ബെന്യാമീൻഗോത്രത്തിൽ കിസ്ളോന്റെ മകൻ എലീദാദ്.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 22] ദാൻഗോത്രത്തിന്നുള്ള പ്രഭു യൊഗ്ലിയുടെ മകൻ ബുക്കി.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 23] യോസേഫിന്റെ പുത്രന്മാരിൽ മനശ്ശെയുടെ ഗോത്രത്തിന്നുള്ള പ്രഭു എഫോദിന്റെ മകൻ ഹാന്നീയേൽ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 24] എഫ്രയീംഗോത്രത്തിന്നുള്ള പ്രഭു ശിഫ്താന്റെ മകൻ കെമൂവേൽ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 25] സെബൂലൂൻഗോത്രത്തിന്നുള്ള പ്രഭു പർന്നാക്കിന്റെ മകൻ എലീസാഫാൻ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 26] യിസ്സാഖാർഗോത്രത്തിന്നുള്ള പ്രഭു അസ്സാന്റെ മകൻ പൽത്തീയേൽ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 27] ആശേർഗോത്രത്തിന്നുള്ള പ്രഭു ശെലോമിയുടെ പുത്രൻ അഹീഹൂദ്.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 28] നഫ്താലിഗോത്രത്തിന്നുള്ള പ്രഭു അമ്മീഹൂദിന്റെ മകൻ പെദഹേൽ.
[IRV | ML | OT | Numbers | Chapter 34 | Verse 29] യിസ്രായേൽമക്കൾക്കു കനാൻദേശത്തു അവകാശം വിഭാഗിച്ചുകൊടുക്കേണ്ടതിന്നു യഹോവ നിയമിച്ചവർ ഇവർ തന്നേ.
