[IRV | ML | OT | Numbers | Chapter 30 | Verse 1] മോശെ യിസ്രായേൽമക്കളുടെ ഗോത്രപ്രധാനികളോടു പറഞ്ഞതു: യഹോവ കല്പിച്ചിരിക്കുന്ന കാര്യം എന്തെന്നാൽ:
[IRV | ML | OT | Numbers | Chapter 30 | Verse 2] ആരെങ്കിലും യഹോവെക്കു ഒരു നേർച്ച നേരുകയോ ഒരു പരിവർജ്ജനവ്രതം ദീക്ഷിപ്പാൻ ശപഥം ചെയ്കയോ ചെയ്താൽ അവൻ വാക്കിന്നു ഭംഗംവരുത്താതെ തന്റെ വായിൽനിന്നു പുറപ്പെട്ടതുപോലെ ഒക്കെയും നിവർത്തിക്കേണം.
[IRV | ML | OT | Numbers | Chapter 30 | Verse 3] ഒരു സ്ത്രീ ബാല്യപ്രായത്തിൽ അപ്പന്റെ വീട്ടിൽ ഇരിക്കുമ്പോൾ യഹോവെക്കു ഒരു നേർച്ചനേർന്നു ഒരു പരിവർജ്ജനവ്രതം നിശ്ചയിക്കയും
[IRV | ML | OT | Numbers | Chapter 30 | Verse 4] അവളുടെ അപ്പൻ അവളുടെ നേർച്ചയെയും അവൾ നിശ്ചയിച്ച പരിവർജ്ജനവ്രതത്തെയും കുറിച്ചു കേട്ടിട്ടു മിണ്ടാതിരിക്കയും ചെയ്താൽ അവളുടെ എല്ലാനേർച്ചകളും അവൾ നിശ്ചയിച്ച പരിവർജ്ജനവ്രതമൊക്കെയും സ്ഥിരമായിരിക്കും.
[IRV | ML | OT | Numbers | Chapter 30 | Verse 5] എന്നാൽ അവളുടെ അപ്പൻ അവളുടെ എല്ലാനേർച്ചയെയും അവൾ നിശ്ചയിച്ച പരിവർജ്ജനവ്രതത്തെയും കുറിച്ചു കേൾക്കുന്ന നാളിൽ അവളോടു വിലക്കിയാൽ അവ സ്ഥിരമായിരിക്കയില്ല; അവളുടെ അപ്പൻ അവളോടു വിലക്കുകകൊണ്ടു യഹോവ അവളോടു ക്ഷമിക്കും.
[IRV | ML | OT | Numbers | Chapter 30 | Verse 6] അവൾക്കു ഒരു നേർച്ചയോ വിചാരിക്കാതെ നിശ്ചയിച്ചുപോയ പരിവർജ്ജനവ്രതമോ ഉള്ളപ്പോൾ
[IRV | ML | OT | Numbers | Chapter 30 | Verse 7] അവൾ ഒരുത്തന്നു ഭാര്യയാകയും ഭർത്താവു അതിനെക്കുറിച്ചു കേൾക്കുന്ന നാളിൽ മിണ്ടാതിരിക്കയും ചെയ്താൽ അവളുടെ നേർച്ചകളും അവൾ നിശ്ചയിച്ച പരിവർജ്ജനവ്രതവും സ്ഥിരമായിരിക്കും.
[IRV | ML | OT | Numbers | Chapter 30 | Verse 8] എന്നാൽ ഭർത്താവു അതു കേട്ട നാളിൽ അവളോടു വിലക്കിയാൽ അവളുടെ നേർച്ചയും അവൾ വിചാരിക്കാതെ നിശ്ചയിച്ചുപോയ പരിവർജ്ജനവ്രതവും അവൻ ദുർബ്ബലപ്പെടുത്തുന്നു; യഹോവ അവളോടു ക്ഷമിക്കും.
[IRV | ML | OT | Numbers | Chapter 30 | Verse 9] വിധവയോ ഉപേക്ഷിക്കപ്പെട്ടവളോ ചെയ്യുന്ന നേർച്ചയും പരിവർജ്ജനവ്രതവും എല്ലാം അവളുടെ മേൽ സ്ഥിരമായിരിക്കും.
[IRV | ML | OT | Numbers | Chapter 30 | Verse 10] അവൾ ഭർത്താവിന്റെ വീട്ടിൽവെച്ചു നേരുകയോ ഒരു പരിവർജ്ജനശപഥം ചെയ്കയോ ചെയ്തിട്ടു
[IRV | ML | OT | Numbers | Chapter 30 | Verse 11] ഭർത്താവു അതിനെക്കുറിച്ചു കേൾക്കുമ്പോൾ മിണ്ടാതെയും അവളോടു വിലക്കാതെയും ഇരുന്നാൽ അവളുടെ നേർച്ചകൾ ഒക്കെയും അവൾ നിശ്ചയിച്ച പരിവർജ്ജനവ്രതവും എല്ലാം സ്ഥിരമായിരിക്കും.
