[IRV | ML | OT | Numbers | Chapter 33 | Verse 1] മോശെയുടെയും അഹരോന്റെയും കൈക്കീഴിൽ ഗണംഗണമായി മിസ്രയീംദേശത്തുനിന്നു പുറപ്പെട്ട യിസ്രായേൽമക്കളുടെ പ്രയാണങ്ങൾ ആവിതു:
[IRV | ML | OT | Numbers | Chapter 33 | Verse 2] മോശെ യഹോവയുടെ കല്പനപ്രകാരം അവരുടെ പ്രയാണക്രമത്തിൽ അവരുടെ താവളങ്ങൾ എഴുതിവെച്ചു; താവളം താവളമായി അവർ ചെയ്ത പ്രയാണങ്ങൾ ആവിതു:
[IRV | ML | OT | Numbers | Chapter 33 | Verse 3] ഒന്നാം മാസം പതിനഞ്ചാം തിയ്യതി അവർ രമെസേസിൽനിന്നു പുറപ്പെട്ടു; പെസഹ കഴിഞ്ഞ പിറ്റെന്നാൾ യിസ്രായേൽമക്കൾ എല്ലാമിസ്രയീമ്യരും കാൺകെ യുദ്ധസന്നദ്ധരായി പുറപ്പെട്ടു.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 4] മിസ്രയീമ്യരോ, യഹോവ തങ്ങളുടെ ഇടയിൽ സംഹരിച്ച കടിഞ്ഞൂലുകളെ എല്ലാം കുഴിച്ചിടുകയായിരുന്നു; അവരുടെ ദേവന്മാരുടെമേലും യഹോവ ന്യായവിധി നടത്തിയിരുന്നു.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 5] യിസ്രായേൽമക്കൾ രമെസേസിൽനിന്നു പുറപ്പെട്ടു സുക്കോത്തിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 6] സുക്കോത്തിൽനിന്നു അവർ പുറപ്പെട്ടു മരുഭൂമിയുടെ അറ്റത്തുള്ള ഏഥാമിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 7] ഏഥാമിൽനിന്നു പുറപ്പെട്ടു ബാൽ-സെഫോന്നെതിരെയുള്ള പീഹഹീരോത്തിന്നു തിരിഞ്ഞുവന്നു; അവർ മിഗ്ദോലിന്നു കിഴക്കു പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 8] പീഹഹീരോത്തിന്നു കിഴക്കുനിന്നു പുറപ്പെട്ടു കടലിന്റെ നടുവിൽകൂടി മരുഭൂമിയിൽ കടന്നു ഏഥാമരുഭൂമിയിൽ മൂന്നു ദിവസത്തെ വഴിനടന്നു മാറയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 9] മാറയിൽനിന്നു പുറപ്പെട്ടു ഏലീമിൽ എത്തി; ഏലീമിൽ പന്ത്രണ്ടു നീരുറവും എഴുപതു ഈത്തപ്പനയും ഉണ്ടായിരുന്നതുകൊണ്ടു അവർ അവിടെ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 10] ഏലീമിൽനിന്നു പുറപ്പെട്ടു ചെങ്കടലിന്നരികെ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 11] ചെങ്കടലിന്നരികെനിന്നു പുറപ്പെട്ടു സീൻമരുഭൂമിയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 12] സീൻമരുഭൂമിയിൽനിന്നു പുറപ്പെട്ടു ദൊഫ്ക്കയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 13] ദൊഫ്ക്കയിൽ നിന്നു പുറപ്പെട്ടു ആലൂശിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 14] ആലൂശിൽ നിന്നു പുറപ്പെട്ടു രെഫീദീമിൽ പാളയമിറങ്ങി; അവിടെ ജനത്തിന്നു കുടിപ്പാൻ വെള്ളമില്ലായിരുന്നു.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 15] രെഫീദീമിൽ നിന്നു പുറപ്പെട്ടു സീനായിമരുഭൂമിയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 16] സീനായിമരുഭൂമിയിൽനിന്നു പുറപ്പെട്ടു കിബ്രോത്ത്-ഹത്താവയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 17] കിബ്രോത്ത്-ഹത്താവയിൽനിന്നു പുറപ്പെട്ടു ഹസേരോത്തിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 18] ഹസേരോത്തിൽനിന്നു പുറപ്പെട്ടു രിത്ത്മയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 19] രിത്ത്മയിൽനിന്നു പുറപ്പെട്ടു രിമ്മോൻ-പേരെസിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 20] രിമ്മോൻ-പേരെസിൽനിന്നു പുറപ്പെട്ടു ലിബ്നയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 21] ലിബ്നയിൽനിന്നു പുറപ്പെട്ടു രിസ്സയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 22] രിസ്സയിൽനിന്നു പുറപ്പെട്ടു കെഹേലാഥയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 23] കെഹേലാഥയിൽനിന്നു പുറപ്പെട്ടു ശാഫേർമലയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 24] ശാഫേർമലയിൽനിന്നു പുറപ്പെട്ടു ഹരാദയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 25] ഹരാദയിൽനിന്നു പുറപ്പെട്ടു മകഹേലോത്തിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 26] മകഹേലോത്തിൽനിന്നു പുറപ്പെട്ടു തഹത്തിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 27] തഹത്തിൽനിന്നു പുറപ്പെട്ടു താരഹിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 28] താരഹിൽനിന്നു പുറപ്പെട്ടു മിത്ത്ക്കയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 29] മിത്ത്ക്കയിൽനിന്നു പുറപ്പെട്ടു ഹശ്മോനയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 30] ഹശ്മോനയിൽനിന്നു പുറപ്പെട്ടു മോസേരോത്തിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 31] മോസേരോത്തിൽനിന്നു പുറപ്പെട്ടു ബെനേയാക്കാനിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 32] ബെനേയാക്കാനിൽനിന്നു പുറപ്പെട്ടു ഹോർ-ഹഗ്ഗിദ്ഗാദിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 33] ഹോർ-ഹഗ്ഗിദ്ഗാദിൽനിന്നു പുറപ്പെട്ടു യൊത്ബാഥയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 34] യൊത്ബാഥയിൽനിന്നു പുറപ്പെട്ടു അബ്രോനയിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 35] അബ്രോനയിൽനിന്നു പുറപ്പെട്ടു എസ്യോൻ-ഗേബെരിൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 36] എസ്യോൻ-ഗേബെരിൽനിന്നു പുറപ്പെട്ടു സീൻമരുഭൂമിയിൽ പാളയമിറങ്ങി. അതാകുന്നു കാദേശ്.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 37] അവർ കാദേശിൽനിന്നു പുറപ്പെട്ടു എദോംദേശത്തിന്റെ അതിരിങ്കൽ ഹോർപർവ്വതത്തിങ്കൽ പാളയമിറങ്ങി.
[IRV | ML | OT | Numbers | Chapter 33 | Verse 38] പുരോഹിതനായ അഹരോൻ യഹോവയുടെ കല്പനപ്രകാരം ഹോർപർവ്വതത്തിൽ കയറി, യിസ്രായേൽമക്കൾ മിസ്രയീംദേശത്തുനിന്നു പോന്നതിന്റെ നാല്പതാം സംവത്സരം അഞ്ചാം മാസം ഒന്നാം തിയ്യതി അവിടെവെച്ചു മരിച്ചു.
