[IRV | ML | OT | Numbers | Chapter 16 | Verse 1] എന്നാൽ ലേവിയുടെ മകനായ കെഹാത്തിന്റെ മകനായ യിസ്ഹാരിന്റെ മകൻ കോരഹ്, രൂബേൻഗോത്രത്തിൽ എലീയാബിന്റെ പുത്രന്മാരായ ദാഥാൻ, അബീരാം, പേലെത്തിന്റെ മകനായ ഓൻ എന്നിവർ
[IRV | ML | OT | Numbers | Chapter 16 | Verse 2] യിസ്രായേൽമക്കളിൽ സഭാപ്രധാനികളും സംഘസദസ്യന്മാരും പ്രമാണികളുമായ ഇരുനൂറ്റമ്പതു പുരുഷന്മാരെ കൂട്ടി മോശെയോടു മത്സരിച്ചു.
[IRV | ML | OT | Numbers | Chapter 16 | Verse 3] അവൻ മോശെക്കും അഹരോന്നും വിരോധമായി കൂട്ടംകൂടി അവരോടു: മതി, മതി; സഭ ഒട്ടൊഴിയാതെ എല്ലാവരും വിശുദ്ധരാകുന്നു; യഹോവ അവരുടെ മദ്ധ്യേ ഉണ്ടു; പിന്നെ നിങ്ങൾ യഹോവയുടെ സഭെക്കു മീതെ നിങ്ങളെത്തന്നേ ഉയർത്തുന്നതു എന്തു? എന്നു പറഞ്ഞു.
[IRV | ML | OT | Numbers | Chapter 16 | Verse 4] ഇതു കേട്ടപ്പോൾ മോശെ കവിണ്ണുവീണു.
[IRV | ML | OT | Numbers | Chapter 16 | Verse 5] അവൻ കോരഹിനോടും അവന്റെ എല്ലാ കൂട്ടരോടും പറഞ്ഞതു: നാളെ രാവിലെ യഹോവ തനിക്കുള്ളവർ ആരെന്നും തന്നോടടുപ്പാൻ തക്കവണ്ണം വിശുദ്ധൻ ആരെന്നും കാണിക്കും; താൻ തിരഞ്ഞെടുക്കുന്നവനെ തന്നോടു അടുക്കുമാറാക്കും.
[IRV | ML | OT | Numbers | Chapter 16 | Verse 6] കോരഹും അവന്റെ എല്ലാകൂട്ടവുമായുള്ളോരേ, നിങ്ങൾ ഇതു ചെയ്‌വിൻ:
[IRV | ML | OT | Numbers | Chapter 16 | Verse 7] ധൂപകലശം എടുത്തു നാളെ യഹോവയുടെ സന്നിധിയിൽ അതിൽ തീയിട്ടു ധൂപവർഗ്ഗം ഇടുവിൻ; യഹോവ തിരഞ്ഞെടുക്കുന്നവൻ തന്നേ വിശുദ്ധൻ; ലേവിപുത്രന്മാരേ, മതി, മതി!
[IRV | ML | OT | Numbers | Chapter 16 | Verse 8] പിന്നെ മോശെ കോരഹിനോടു പറഞ്ഞതു: ലേവിപുത്രന്മാരേ, കേൾപ്പിൻ.
[IRV | ML | OT | Numbers | Chapter 16 | Verse 9] യഹോവയുടെ തിരുനിവാസത്തിലെ വേലചെയ്‌വാനും സഭയുടെ ശുശ്രൂഷെക്കായി അവരുടെ മുമ്പാകെ നില്പാനും യിസ്രായേലിന്റെ ദൈവം നിങ്ങളെ തന്റെ അടുക്കൽ വരുത്തേണ്ടതിന്നു യിസ്രായേൽസഭയിൽനിന്നു നിങ്ങളെ വേറുതിരിച്ചതു നിങ്ങൾക്കു പോരായോ?
[IRV | ML | OT | Numbers | Chapter 16 | Verse 10] അവൻ നിന്നെയും ലേവിപുത്രന്മാരായ നിന്റെ സകലസഹോദരന്മാരെയും തന്നോടു അടുക്കുമാറാക്കിയല്ലോ; നിങ്ങൾ പൗരോഹിത്യംകൂടെ കാംക്ഷിക്കുന്നുവോ?
[IRV | ML | OT | Numbers | Chapter 16 | Verse 11] ഇതു ഹേതുവായിട്ടു നീയും നിന്റെ കൂട്ടക്കാർ ഒക്കെയും യഹോവെക്കു വിരോധമായി കൂട്ടംകൂടിയിരിക്കുന്നു; നിങ്ങൾ അഹരോന്റെ നേരെ പിറുപിറുപ്പാൻ തക്കവണ്ണം അവൻ എന്തുമാത്രമുള്ളു?
