[IRV | UR | OT | Joshua | Chapter 12 | Verse 1] उस मुल्क के वह बादशाह जिनको बनी इस्राईल ने क़त्ल करके उनके मुल्क पर, यरदन के उस पार पूरब की तरफ़ अरनोंन की वादी से लेकर कोह — ए — हरमून तक और तमाम पूरबी मैदान पर, क़ब्ज़ा कर लिया यह हैं।
[IRV | UR | OT | Joshua | Chapter 12 | Verse 2] अमूरियों का बादशाह सीहोन जो हसबून में रहता था और 'अरो'ईर से लेकर जो वादी — ए — अरनून के किनारे है, और उस वादी के बीच के शहर से वादी — ए — यब्बूक़ तक जो बनी 'अम्मून की सरहद है आधे जिल'आद पर,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 3] और मैदान से बहरे — ए — किन्नरत तक जो पूरब की तरफ़ है, बल्कि पूरब ही की तरफ़ बैत यसीमोत से होकर मैदान के दरिया तक जो दरयाई शोर है, और दख्खिन में पिसगा के दामन के नीचे नीचे हुकूमत करता था।
[IRV | UR | OT | Joshua | Chapter 12 | Verse 4] और बसन के बादशाह 'ऊज़ की सरहद, जो रिफ़ाईम की बक़िया नसल से था और 'असतारात और अदराई में रहता था,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 5] और वह कोह — ए — हरमून और सलका और सारे बसन में जसूरियों और मा'कातियों की सरहद तक, आधे जिल'आद में जो हसबून के बादशाह सीहोन की सरहद थी, हुकूमत करता था।
[IRV | UR | OT | Joshua | Chapter 12 | Verse 6] उनको ख़ुदावन्द के बन्दे मूसा और बनी इस्राईल ने मारा, और ख़ुदावन्द के बन्दा मूसा ने बनीरूबिन और बनीजद और मनस्सी के आधे क़बीले को उनका मुल्क, मीरास के तौर पर दे दिया।
[IRV | UR | OT | Joshua | Chapter 12 | Verse 7] और यरदन के इस पार पश्चिम की तरफ़ बा'ल जद से जो वादी — ए — लुबनान में है, कोह — ए — ख़ल्क़ तक जो श'ईर को निकल गया है, जिन बादशाहों को यशू'अ और बनी इस्राईल ने मारा और जिनके मुल्क को यशू'अ ने इस्राईलियों के क़बीलों को उनकी तक़सीम के मुताबिक़ मीरास के तौर पर दे दिया वह यह हैं।
[IRV | UR | OT | Joshua | Chapter 12 | Verse 8] पहाड़ी मुल्क और नशीब की ज़मीन और मैदान और ढलानों में और वीरान और दख्खिनी हिस्से में हित्ती और अमूरी और कना'नी और फ़रिज़्ज़ी और हव्वी और यबूसी क़ौमों में से;
[IRV | UR | OT | Joshua | Chapter 12 | Verse 9] एक यरीहू का बादशाह, एक एे का बादशाह जो बैतएल के नज़दीक आबाद है।
[IRV | UR | OT | Joshua | Chapter 12 | Verse 10] एक येरूशलेम का बादशाह, एक हबरून का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 11] एक यरमूत का बादशाह, एक लकीस का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 12] एक 'अजलून का बादशाह, एक जज़र का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 13] एक दबीर का बादशाह, एक जदर का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 14] एक हुरमा का बादशाह, एक 'अराद का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 15] एक लिब्नाह का बादशाह, एक 'अदूल्लाम का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 16] एक मक़्क़ीदा का बादशाह, एक बैत — एल का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 17] एक तफ़ूह का बादशाह, एक हफ़र का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 18] एक अफ़ीक़ का बादशाह, एक लशरून का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 19] एक मदून का बादशाह, एक हसूर का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 20] एक सिमरून मरून का बादशाह, एक इक्शाफ़ का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 21] एक ता'नक का बादशाह, एक मजिद्दो का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 22] एक क़ादिस का बादशाह, एक कर्मिल के यक़'नियाम का बादशाह,
[IRV | UR | OT | Joshua | Chapter 12 | Verse 23] एक दोर की मुर्तफ़ा' ज़मीन के दोर का बादशाह, एक गोइम का बादशाह, जो जिलजाल में था।
[IRV | UR | OT | Joshua | Chapter 12 | Verse 24] एक तिरज़ा का बादशाह, यह सब इकतीस बादशाह, थे।
