[JPS | EN | OT | Judges | Chapter 5 | Verse 1] Then sang Deborah and Barak the son of Abinoam on that day, saying:
[JPS | EN | OT | Judges | Chapter 5 | Verse 2] When men let grow their hair in Israel, when the people offer themselves willingly, bless ye the LORD.
[JPS | EN | OT | Judges | Chapter 5 | Verse 3] Hear, O ye kings; give ear, O ye princes; I, unto the LORD will I sing; I will sing praise to the LORD, the God of Israel.
[JPS | EN | OT | Judges | Chapter 5 | Verse 4] LORD, when Thou didst go forth out of Seir, when Thou didst march out of the field of Edom, the earth trembled, the heavens also dropped, yea, the clouds dropped water.
[JPS | EN | OT | Judges | Chapter 5 | Verse 5] The mountains quaked at the presence of the LORD, even yon Sinai at the presence of the LORD, the God of Israel.
[JPS | EN | OT | Judges | Chapter 5 | Verse 6] In the days of Shamgar the son of Anath, in the days of Jael, the highways ceased, and the travellers walked through byways.
[JPS | EN | OT | Judges | Chapter 5 | Verse 7] The rulers ceased in Israel, they ceased, until that thou didst arise, Deborah, that thou didst arise a mother in Israel.
[JPS | EN | OT | Judges | Chapter 5 | Verse 8] They chose new gods; then was war in the gates; was there a shield or spear seen among forty thousand in Israel?
[JPS | EN | OT | Judges | Chapter 5 | Verse 9] My heart is toward the governors of Israel, that offered themselves willingly among the people. Bless ye the LORD.
[JPS | EN | OT | Judges | Chapter 5 | Verse 10] Ye that ride on white asses, ye that sit on rich cloths, and ye that walk by the way, tell of it;
[JPS | EN | OT | Judges | Chapter 5 | Verse 11] Louder than the voice of archers, by the watering-troughs! there shall they rehearse the righteous acts of the LORD, even the righteous acts of His rulers in Israel. Then the people of the LORD went down to the gates.
[JPS | EN | OT | Judges | Chapter 5 | Verse 12] Awake, awake, Deborah; awake, awake, utter a song; arise, Barak, and lead thy captivity captive, thou son of Abinoam.
[JPS | EN | OT | Judges | Chapter 5 | Verse 13] Then made He a remnant to have dominion over the nobles and the people; the LORD made me have dominion over the mighty.
[JPS | EN | OT | Judges | Chapter 5 | Verse 14] Out of Ephraim came they whose root is in Amalek; after thee, Benjamin, among thy peoples; out of Machir came down governors, and out of Zebulun they that handle the marshal's staff.
[JPS | EN | OT | Judges | Chapter 5 | Verse 15] And the princes of Issachar were with Deborah; as was Issachar, so was Barak; into the valley they rushed forth at his feet. Among the divisions of Reuben there were great resolves of heart.
[JPS | EN | OT | Judges | Chapter 5 | Verse 16] Why sattest thou among the sheepfolds, to hear the pipings for the flocks? At the divisions of Reuben there were great searchings of heart.
[JPS | EN | OT | Judges | Chapter 5 | Verse 17] Gilead abode beyond the Jordan; and Dan, why doth he sojourn by the ships? Asher dwelt at the shore of the sea, and abideth by its bays.
[JPS | EN | OT | Judges | Chapter 5 | Verse 18] Zebulun is a people that jeoparded their lives unto the death, and Naphtali, upon the high places of the field.
[JPS | EN | OT | Judges | Chapter 5 | Verse 19] The kings came, they fought; then fought the kings of Canaan, in Taanach by the waters of Megiddo; they took no gain of money.
[JPS | EN | OT | Judges | Chapter 5 | Verse 20] They fought from heaven, the stars in their courses fought against Sisera.
[JPS | EN | OT | Judges | Chapter 5 | Verse 21] The brook Kishon swept them away, that ancient brook, the brook Kishon. O my soul, tread them down with strength.
[JPS | EN | OT | Judges | Chapter 5 | Verse 22] Then did the horsehoofs stamp by reason of the prancings, the prancings of their mighty ones.
[JPS | EN | OT | Judges | Chapter 5 | Verse 23] 'Curse ye Meroz', said the angel of the LORD, 'Curse ye bitterly the inhabitants thereof, because they came not to the help of the LORD, to the help of the LORD against the mighty.'
[JPS | EN | OT | Judges | Chapter 5 | Verse 24] Blessed above women shall Jael be, the wife of Heber the Kenite, above women in the tent shall she be blessed.
[JPS | EN | OT | Judges | Chapter 5 | Verse 25] Water he asked, milk she gave him; in a lordly bowl she brought him curd.
[JPS | EN | OT | Judges | Chapter 5 | Verse 26] Her hand she put to the tent-pin, and her right hand to the workmen's hammer; and with the hammer she smote Sisera, she smote through his head, yea, she pierced and struck through his temples.
[JPS | EN | OT | Judges | Chapter 5 | Verse 27] At her feet he sunk, he fell, he lay; at her feet he sunk, he fell; where he sunk, there he fell down dead.
[JPS | EN | OT | Judges | Chapter 5 | Verse 28] Through the window she looked forth, and peered, the mother of Sisera, through the lattice: 'Why is his chariot so long in coming? Why tarry the wheels of his chariots?
[JPS | EN | OT | Judges | Chapter 5 | Verse 29] The wisest of her princesses answer her, yea, she returneth answer to herself:
[JPS | EN | OT | Judges | Chapter 5 | Verse 30] 'Are they not finding, are they not dividing the spoil? A damsel, two damsels to every man; to Sisera a spoil of dyed garments, a spoil of dyed garments of embroidery, two dyed garments of broidery for the neck of every spoiler?'
[JPS | EN | OT | Judges | Chapter 5 | Verse 31] So perish all Thine enemies, O LORD; but they that love Him be as the sun when he goeth forth in his might. And the land had rest forty years.
