[IRV | UR | NT | John | Chapter 4 | Verse 1] फिर जब ख़ुदावन्द को मा'लूम हुआ, कि फ़रीसियों ने सुना है कि ईसा युहन्ना से ज़्यादा शागिर्द बनाता है और बपतिस्मा देता है,
[IRV | UR | NT | John | Chapter 4 | Verse 2] (अगरचे ईसा आप नहीं बल्कि उसके शागिर्द बपतिस्मा देते थे),
[IRV | UR | NT | John | Chapter 4 | Verse 3] तो वो यहूदिया को छोड़कर फिर गलील को चला गया।
[IRV | UR | NT | John | Chapter 4 | Verse 4] और उसको सामरिया से होकर जाना ज़रूर था।
[IRV | UR | NT | John | Chapter 4 | Verse 5] पस वो सामरिया के एक शहर तक आया जो सूख़ार कहलाता है, वो उस कितै के नज़दीक है जो याक़ूब ने अपने बेटे यूसुफ़ को दिया था;
[IRV | UR | NT | John | Chapter 4 | Verse 6] और याक़ूब का कुआँ वहीं था। चुनाँचे ईसा सफ़र से थका — माँदा होकर उस कुँए पर यूँ ही बैठ गया। ये छठे घंटे के क़रीब था।
[IRV | UR | NT | John | Chapter 4 | Verse 7] सामरिया की एक 'औरत पानी भरने आई। ईसा ने उससे कहा, “मुझे पानी पिला”
[IRV | UR | NT | John | Chapter 4 | Verse 8] क्यूँकि उसके शागिर्द शहर में खाना ख़रीदने को गए थे।
[IRV | UR | NT | John | Chapter 4 | Verse 9] उस सामरी 'औरत ने उससे कहा, “तू यहूदी होकर मुझ सामरी 'औरत से पानी क्यूँ माँगता है?” (क्यूँकि यहूदी सामरियों से किसी तरह का बर्ताव नहीं रखते।)
[IRV | UR | NT | John | Chapter 4 | Verse 10] ईसा ने जवाब में उससे कहा, “अगर तू ख़ुदा की बख़्शिश को जानती, और ये भी जानती कि वो कौन है जो तुझ से कहता है, 'मुझे पानी पिला, 'तो तू उससे माँगती और वो तुझे ज़िन्दगी का पानी देता।”
[IRV | UR | NT | John | Chapter 4 | Verse 11] 'औरत ने उससे कहा, “ऐ ख़ुदावन्द! तेरे पास पानी भरने को तो कुछ है नहीं और कुआँ गहरा है, फिर वो ज़िन्दगी का पानी तेरे पास कहाँ से आया?
[IRV | UR | NT | John | Chapter 4 | Verse 12] क्या तू हमारे बाप याक़ूब से बड़ा है जिसने हम को ये कुआँ दिया, और ख़ुद उसने और उसके बेटों ने और उसके जानवरों ने उसमें से पिया?”
[IRV | UR | NT | John | Chapter 4 | Verse 13] ईसा ने जवाब में उससे कहा, “जो कोई इस पानी में से पीता है वो फिर प्यासा होगा,
[IRV | UR | NT | John | Chapter 4 | Verse 14] मगर जो कोई उस पानी में से पिएगा जो मैं उसे दूँगा, वो अबद तक प्यासा न होगा! बल्कि जो पानी मैं उसे दूँगा, वो उसमें एक चश्मा बन जाएगा जो हमेशा की ज़िन्दगी के लिए जारी रहेगा।”
[IRV | UR | NT | John | Chapter 4 | Verse 15] औरत ने उस से कहा, “ऐ ख़ुदावन्द! वो पानी मुझ को दे ताकि मैं न प्यासी हूँ, न पानी भरने को यहाँ तक आऊँ।”
[IRV | UR | NT | John | Chapter 4 | Verse 16] ईसा ने उससे कहा, “जा, अपने शौहर को यहाँ बुला ला।”
