[IRV | UR | NT | John | Chapter 13 | Verse 1] फ़सह की ईद अब शुरू होने वाली थी। ईसा जानता था कि वह वक़्त आ गया है कि मुझे इस दुनियाँ को छोड़ कर बाप के पास जाना है। अगरचे उस ने हमेशा दुनियाँ में अपने लोगों से मुहब्बत रखी थी, लेकिन अब उस ने आख़िरी हद तक उन पर अपनी मुहब्बत का इज़हार किया।
[IRV | UR | NT | John | Chapter 13 | Verse 2] फिर शाम का खाना तय्यार हुआ। उस वक़्त इब्लीस शमौन इस्करियोती के बेटे यहूदाह के दिल में ईसा को दुश्मन के हवाले करने का इरादा डाल चुका था।
[IRV | UR | NT | John | Chapter 13 | Verse 3] ईसा जानता था कि बाप ने सब कुछ मेरे हवाले कर दिया है और कि मैं ख़ुदा से निकल आया और अब उस के पास वापस जा रहा हूँ।
[IRV | UR | NT | John | Chapter 13 | Verse 4] चुनाँचे उस ने दस्तरख़्वान से उठ कर अपना चोग़ा उतार दिया और कमर पर तौलिया बाँध लिया।
[IRV | UR | NT | John | Chapter 13 | Verse 5] फिर वह बासन में पानी डाल कर शागिर्दों के पैर धोने और बँधे हुए तौलिया से पोंछ कर ख़ुश्क करने लगा।
[IRV | UR | NT | John | Chapter 13 | Verse 6] जब पतरस की बारी आई तो उस ने कहा, “ख़ुदावन्द, आप मेरे पैर धोना चाहते हैं?”
[IRV | UR | NT | John | Chapter 13 | Verse 7] ईसा ने जवाब दिया, “इस वक़्त तू नहीं समझता कि मैं क्या कर रहा हूँ, लेकिन बाद में यह तेरी समझ में आ जाएगा।”
[IRV | UR | NT | John | Chapter 13 | Verse 8] पतरस ने एतराज़ किया, “मैं कभी भी आप को मेरे पैर धोने नहीं दूँगा!” ईसा ने जवाब दिया “अगर मैं तुझे न धोऊँ तो मेरे साथ तेरी कोई शराकत नहीं।”
[IRV | UR | NT | John | Chapter 13 | Verse 9] यह सुन कर पतरस ने कहा, “तो फिर ख़ुदावन्द, न सिर्फ़ मेरे पैर बल्कि मेरे हाथों और सर को भी धोएँ!”
[IRV | UR | NT | John | Chapter 13 | Verse 10] ईसा ने जवाब दिया, “जिस शख़्स ने नहा लिया है उसे सिर्फ़ अपने पैरो को धोने की ज़रूरत होती है, क्यूँकि वह पूरे तौर पर पाक — साफ़ है। तुम पाक — साफ़ हो, लेकिन सब के सब नहीं।”
[IRV | UR | NT | John | Chapter 13 | Verse 11] (ईसा को मालूम था कि कौन उसे दुश्मन के हवाले करेगा। इस लिए उस ने कहा कि सब के सब पाक — साफ़ नहीं हैं)।
