[IRV | UR | NT | John | Chapter 11 | Verse 1] उन दिनों में एक आदमी बीमार पड़ गया जिस का नाम लाज़र था। वह अपनी बहनों मरियम और मर्था के साथ बैत — अनियाह में रहता था।
[IRV | UR | NT | John | Chapter 11 | Verse 2] यह वही मरियम थी जिस ने बाद में ख़ुदावन्द पर ख़ुश्बू डाल कर उस के पैर अपने बालों से ख़ुश्क किए थे। उसी का भाई लाज़र बीमार था।
[IRV | UR | NT | John | Chapter 11 | Verse 3] चुनाँचे बहनों ने ईसा को ख़बर दी, “ख़ुदावन्द, जिसे आप मुहब्बत करते हैं वह बीमार है।”
[IRV | UR | NT | John | Chapter 11 | Verse 4] जब ईसा को यह ख़बर मिली तो उस ने कहा, “इस बीमारी का अन्जाम मौत नहीं है, बल्कि यह ख़ुदा के जलाल के वास्ते हुआ है, ताकि इस से ख़ुदा के फ़र्ज़न्द को जलाल मिले।”
[IRV | UR | NT | John | Chapter 11 | Verse 5] ईसा मर्था, मरियम और लाज़र से मुहब्बत रखता था।
[IRV | UR | NT | John | Chapter 11 | Verse 6] तो भी वह लाज़र के बारे में ख़बर मिलने के बाद दो दिन और वहीं ठहरा।
[IRV | UR | NT | John | Chapter 11 | Verse 7] फिर उस ने अपने शागिर्दों से बात की, “आओ, हम दुबारा यहूदिया चले जाएँ।”
[IRV | UR | NT | John | Chapter 11 | Verse 8] शागिर्दों ने एतराज़ किया, “उस्ताद, अभी अभी वहाँ के यहूदी आप पर पथराव करने की कोशिश कर रहे थे, फिर भी आप वापस जाना चाहते हैं?”
[IRV | UR | NT | John | Chapter 11 | Verse 9] ईसा ने जवाब दिया, “क्या दिन में रोशनी के बारह घंटे नहीं होते? जो शख़्स दिन के वक़्त चलता फिरता है वह किसी भी चीज़ से नहीं टकराएगा, क्यूँकि वह इस दुनियाँ की रोशनी के ज़रिए देख सकता है।
[IRV | UR | NT | John | Chapter 11 | Verse 10] लेकिन जो रात के वक़्त चलता है वह चीज़ों से टकरा जाता है, क्यूँकि उस के पास रोशनी नहीं है।”
[IRV | UR | NT | John | Chapter 11 | Verse 11] फिर उस ने कहा, “हमारा दोस्त लाज़र सो गया है। लेकिन मैं जा कर उसे जगा दूँगा।”
[IRV | UR | NT | John | Chapter 11 | Verse 12] शागिर्दों ने कहा, “ख़ुदावन्द, अगर वह सो रहा है तो वह बच जाएगा।”
[IRV | UR | NT | John | Chapter 11 | Verse 13] उन का ख़याल था कि ईसा लाज़र की दुनियावी नींद का ज़िक्र कर रहा है जबकि हक़ीक़त में वह उस की मौत की तरफ़ इशारा कर रहा था।
[IRV | UR | NT | John | Chapter 11 | Verse 14] इस लिए उस ने उन्हें साफ़ बता दिया, “लाज़र की मौत हो गई है
[IRV | UR | NT | John | Chapter 11 | Verse 15] और तुम्हारी ख़ातिर मैं ख़ुश हूँ कि मैं उस के मरते वक़्त वहाँ नहीं था, क्यूँकि अब तुम ईमान लाओगे। आओ, हम उस के पास जाएँ।”
[IRV | UR | NT | John | Chapter 11 | Verse 16] तोमा ने जिस का लक़ब जुड़वाँ था अपने साथी शागिर्दों से कहा, “चलो, हम भी वहाँ जा कर उस के साथ मर जाएँ।”
[IRV | UR | NT | John | Chapter 11 | Verse 17] वहाँ पहुँच कर ईसा को मालूम हुआ कि लाज़र को क़ब्र में रखे चार दिन हो गए हैं।
[IRV | UR | NT | John | Chapter 11 | Verse 18] बैत — अनियाह का येरूशलेम से फ़ासिला तीन क़िलोमीटर से कम था,
[IRV | UR | NT | John | Chapter 11 | Verse 19] और बहुत से यहूदी मर्था और मरियम को उन के भाई के बारे में तसल्ली देने के लिए आए हुए थे।
[IRV | UR | NT | John | Chapter 11 | Verse 20] यह सुन कर कि ईसा आ रहा है मर्था उसे मिलने गई। लेकिन मरियम घर में बैठी रही।
[IRV | UR | NT | John | Chapter 11 | Verse 21] मर्था ने कहा, “ख़ुदावन्द, अगर आप यहाँ होते तो मेरा भाई न मरता।
[IRV | UR | NT | John | Chapter 11 | Verse 22] लेकिन मैं जानती हूँ कि अब भी ख़ुदा आप को जो भी माँगोगे देगा।”
[IRV | UR | NT | John | Chapter 11 | Verse 23] ईसा ने उसे बताया, “तेरा भाई जी उठेगा।”
[IRV | UR | NT | John | Chapter 11 | Verse 24] मर्था ने जवाब दिया, जी, “मुझे मालूम है कि वह क़यामत के दिन जी उठेगा, जब सब जी उठेंगे।”
