[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 1] Now I say, That the heir, as long as he is a child, differeth nothing from a servant, though he is lord of all;
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 2] But is under tutors and governors until the time appointed by the father.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 3] Even so we, when we were children, were in bondage under the elements of the world:
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 4] But when the fullness of the time was come, God sent forth his Son, born of a woman, born under the law,
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 5] To redeem them that were under the law, that we might receive the adoption of sons.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 6] And because ye are sons, God hath sent forth the Spirit of his Son into your hearts, crying, Abba, Father.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 7] Wherefore thou art no more a servant, but a son; and if a son, then an heir of God through Christ.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 8] However then, when ye knew not God, ye did service to them which by nature are no gods.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 9] But now, after ye have known God, or rather are known by God, how turn ye again to the weak and beggarly elements, to which ye desire again to be in bondage?
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 10] Ye observe days, and months, and times, and years.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 11] I am afraid of you, lest I have bestowed upon you labor in vain.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 12] Brethren, I beseech you, be as I am; for I am as ye are : ye have not injured me at all.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 13] Ye know that in infirmity of the flesh I preached the gospel to you at the first.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 14] And my temptation which was in my flesh ye despised not, nor rejected; but received me as an angel of God, even as Christ Jesus.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 15] What then was the blessedness ye spoke of; for I bear you testimony, that, if it had been possible, ye would have plucked out your own eyes, and have given them to me.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 16] Am I therefore become your enemy because I tell you the truth?
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 17] They zealously affect you, but not well; for, they would exclude you, that ye may affect them.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 18] But it is good to be zealously affected always in a good thing , and not only when I am present with you.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 19] My little children, of whom I travail in birth again, until Christ be formed in you,
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 20] I desire to be present with you now, and to change my voice; for I stand in doubt of you.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 21] Tell me, ye that desire to be under the law, do ye not hear the law?
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 22] For it is written, that Abraham had two sons; the one by a bond-maid, the other by a free-woman.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 23] But he who was of the bond-woman, was born according to the flesh; but he of the free-woman was by promise.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 24] Which things are an allegory: for these are the two covenants; the one from the mount Sinai, which gendereth to bondage, which is Agar.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 25] For this Agar is mount Sinai in Arabia, and answereth to Jerusalem which now is, and is in bondage with her children.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 26] But Jerusalem which is above is free, which is the mother of us all.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 27] For it is written, Rejoice, thou barren that bearest not; break forth and cry, thou that travailest not: for the desolate hath many more children than she who hath a husband.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 28] Now we, brethren, as Isaac was, are the children of promise.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 29] But as then he that was born according to the flesh persecuted him that was born according to the Spirit, even so it is now.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 30] Nevertheless, what saith the scripture? Cast out the bond-woman and her son: for the son of the bond-woman shall not be heir with the son of the free-woman.
[WEBSTER | EN | NT | Galatians | Chapter 4 | Verse 31] So then, brethren, we are not children of the bond-woman, but of the free.
