[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 1] (4-17) Guard thy foot when thou goest to the house of God, and be ready to hearken: it is better than when fools give sacrifices; for they know not that they do evil.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 2] (5-1) Be not rash with thy mouth, and let not thy heart be hasty to utter a word before God; for God is in heaven, and thou upon earth; therefore let thy words be few.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 3] (5-2) For a dream cometh through a multitude of business; and a fool's voice through a multitude of words.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 4] (5-3) When thou vowest a vow unto God, defer not to pay it; for He hath no pleasure in fools; pay that which thou vowest.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 5] (5-4) Better is it that thou shouldest not vow, than that thou shouldest vow and not pay.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 6] (5-5) Suffer not thy mouth to bring thy flesh into guilt, neither say thou before the messenger, that it was an error; wherefore should God be angry at thy voice, and destroy the work of thy hands?
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 7] (5-6) For through the multitude of dreams and vanities there are also many words; but fear thou God.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 8] (5-7) If thou seest the oppression of the poor, and the violent perverting of justice and righteousness in the state, marvel not at the matter; for one higher than the high watcheth, and there are higher than they.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 9] (5-8) But the profit of a land every way is a king that maketh himself servant to the field.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 10] (5-9) He that loveth silver shall not be satisfied with silver; nor he that loveth abundance, with increase; this also is vanity.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 11] (5-10) When goods increase, they are increased that eat them; and what advantage is there to the owner thereof, saving the beholding of them with his eyes?
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 12] (5-11) Sweet is the sleep of a labouring man, whether he eat little or much; but the satiety of the rich will not suffer him to sleep.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 13] (5-12) There is a grievous evil which I have seen under the sun, namely, riches kept by the owner thereof to his hurt;
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 14] (5-13) and those riches perish by evil adventure; and if he hath begotten a son, there is nothing in his hand.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 15] (5-14) As he came forth of his mother's womb, naked shall he go back as he came, and shall take nothing for his labour, which he may carry away in his hand.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 16] (5-15) And this also is a grievous evil, that in all points as he came, so shall he go; and what profit hath he that he laboureth for the wind?
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 17] (5-16) All his days also he eateth in darkness, and he hath much vexation and sickness and wrath.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 18] (5-17) Behold that which I have seen: it is good, yea, it is comely for one to eat and to drink, and to enjoy pleasure for all his labour, wherein he laboureth under the sun, all the days of his life which God hath given him; for this is his portion.
[JPS | EN | OT | Ecclesiastes | Chapter 5 | Verse 19] (5-18) Every man also to whom God hath given riches and wealth, and hath given him power to eat thereof, and to take his portion, and to rejoice in his labour — this is the gift of God.
