[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 1] ਬਿਨਯਾਮੀਨ ਤੋਂ ਉਹ ਦਾ ਪਹਿਲੌਠਾ ਬਲਾ ਜੰਮਿਆ, ਦੂਜਾ ਅਸ਼ਬੇਲ ਤੇ ਤੀਜਾ ਅਹਰਹ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 2] ਚੌਥਾ ਨੋਹਾਹ, ਪੰਜਵਾਂ ਰਾਫਾ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 3] ਅਤੇ ਇਹ ਬਲਾ ਦੇ ਪੁੱਤਰ ਸਨ, ਅੱਦਾਰ ਤੇ ਗੇਰਾ ਤੇ ਅਬੀਹੂਦ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 4] ਅਤੇ ਅਬੀਸ਼ੂਆ ਤੇ ਨਅਮਾਨ ਤੇ ਅਹੋਅਹ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 5] ਅਤੇ ਗੇਰਾ ਤੇ ਸ਼ਫ਼ੂਫ਼ਾਨ ਤੇ ਹੂਰਾਮ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 6] ਅਹੂਦ ਦੇ ਪੁੱਤਰ ਇਹ ਸਨ। ਇਹ ਗਬਾ ਦੇ ਵਾਸੀਆਂ ਦੇ ਪਿਤਾਵਾਂ ਦਿਆਂ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ ਅਤੇ ਉਹ ਉਨ੍ਹਾਂ ਨੂੰ ਬੰਧੀ ਬਣਾ ਕੇ ਮਾਨਹਥ ਨੂੰ ਲੈ ਗਏ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 7] ਅਤੇ ਨਅਮਾਨ ਤੇ ਅਹੀਯਾਹ ਤੇ ਗੇਰਾ ਉਨ੍ਹਾਂ ਨੂੰ ਲੈ ਗਿਆ ਅਤੇ ਉਸ ਤੋਂ ਉੱਜ਼ਾ ਤੇ ਅਹੀਹੂਦ ਜੰਮੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 8] ਸ਼ਹਰਯਿਮ ਤੋਂ ਬੱਚੇ, ਉਸ ਵੱਲੋਂ ਆਪਣੀਆਂ ਪਤਨੀਆਂ ਨੂੰ ਤਲਾਕ ਦੇਣ ਤੋਂ ਬਾਅਦ ਮੋਆਬ ਦੇ ਮੈਦਾਨ ਵਿੱਚ ਜਨਮੇ। ਹੂਸ਼ੀਮ ਤੇ ਬਅਰਾ ਉਹ ਦੀਆਂ ਔਰਤਾਂ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 9] ਅਤੇ ਉਹ ਦੀ ਪਤਨੀ ਹੋਦੇਸ਼ ਤੋਂ ਯੋਬਾਬ ਤੇ ਸਿਬਯਾ ਤੇ ਮੇਸ਼ਾ ਤੇ ਮਲਕਮ ਜੰਮੇ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 10] ਨਾਲੇ ਯਊਸ ਤੇ ਸ਼ਾਕਯਾਹ ਤੇ ਮਿਰਮਾਹ। ਇਹ ਉਹ ਦੇ ਪੁੱਤਰ, ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 11] ਅਤੇ ਹੂਸ਼ੀਮ ਤੋਂ ਅਬੀਟੂਬ ਤੇ ਅਲਪਾਅਲ ਜੰਮੇ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 12] ਅਤੇ ਅਲਪਾਅਲ ਦੇ ਪੁੱਤਰ, ਏਬਰ ਤੇ ਮਿਸ਼ਾਮ ਤੇ ਸ਼ਾਮੇਦ ਜਿਸ ਨੇ ਓਨੋ ਤੇ ਲੋਦ ਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪਿੰਡ ਬਣਾਏ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 13] ਅਤੇ ਬਰੀਆਹ ਤੇ ਸ਼ਮਾ ਜਿਹੜੇ ਅੱਯਾਲੋਨ ਦੇ ਵਾਸੀਆਂ ਦੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ। ਇਨ੍ਹਾਂ ਨੇ ਗਥ ਦੇ ਵਾਸੀਆਂ ਨੂੰ ਭਜਾ ਦਿੱਤਾ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 14] ਅਤੇ ਅਹਯੋ, ਸ਼ਾਸ਼ਕ ਤੇ ਯਿਰੇਮੋਥ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 15] ਤੇ ਜ਼ਬਦਯਾਹ ਤੇ ਅਰਾਦ ਤੇ ਆਦਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 16] ਤੇ ਮੀਕਾਏਲ ਤੇ ਯਿਸ਼ਪਾਹ ਤੇ ਯੋਹਾ, ਬਰੀਆਹ ਦੇ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 17] ਤੇ ਜ਼ਬਦਯਾਹ ਤੇ ਮਸ਼ੁੱਲਾਮ ਤੇ ਹਿਜ਼ਕੀ ਤੇ ਹੇਬਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 18] ਅਤੇ ਯਿਸ਼ਮਰੇ ਤੇ ਯਿਜ਼ਲੀਆਹ ਤੇ ਯੋਬਾਬ, ਅਲਪਾਅਲ ਦੇ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 19] ਅਤੇ ਯਾਕੀਮ ਤੇ ਜ਼ਿਕਰੀ ਤੇ ਜ਼ਬਦੀ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 20] ਅਤੇ ਅਲੀਏਨਈ ਤੇ ਸਿੱਲਥਈ ਤੇ ਅਲੀਏਲ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 21] ਅਤੇ ਅਦਾਯਾਹ ਤੇ ਬਰਾਯਾਹ ਤੇ ਸ਼ਿਮਰਾਥ, ਸ਼ਿਮਈ ਦੇ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 22] ਅਤੇ ਯਿਸ਼ਪਾਨ ਤੇ ਏਬਰ ਤੇ ਅਲੀਏਲ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 23] ਅਤੇ ਅਬਦੋਨ ਤੇ ਜ਼ਿਕਰੀ ਤੇ ਹਾਨਾਨ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 24] ਅਤੇ ਹਨਨਯਾਹ ਤੇ ਏਲਾਮ ਤੇ ਅਨਥੋਥੀਯਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 25] ਅਤੇ ਯਿਫਦਯਾਹ ਤੇ ਫਨੂਏਲ, ਸ਼ਾਸ਼ਕ ਦੇ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 26] ਅਤੇ ਸ਼ਮਸ਼ਰਈ ਤੇ ਸ਼ਹਰਯਾਹ ਤੇ ਅਥਲਯਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 27] ਅਤੇ ਯਅਰਸ਼ਯਾਹ ਤੇ ਏਲੀਯਾਹ ਤੇ ਜ਼ਿਕਰੀ, ਯਰੋਹਾਮ ਦੇ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 28] ਇਹ ਮੁਖੀਏ ਆਪਣੀਆਂ ਪੀੜ੍ਹੀਆਂ ਵਿੱਚ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ। ਇਹ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਵੱਸਦੇ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 29] ਗਿਬਓਨ ਵਿੱਚ ਗਿਬਓਨ ਦਾ ਪਿਤਾ ਯਈਏਲ ਵੱਸਦਾ ਸੀ, ਉਹ ਦੀ ਪਤਨੀ ਦਾ ਨਾਮ ਮਅਕਾਹ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 30] ਅਤੇ ਉਹ ਦਾ ਪਹਿਲੌਠਾ ਪੁੱਤਰ ਅਬਦੋਨ ਸੀ ਫੇਰ ਸੂਰ ਤੇ ਕੀਸ਼ ਤੇ ਬਆਲ ਤੇ ਨਾਦਾਬ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 31] ਅਤੇ ਗਦੋਰ ਤੇ ਅਹਯੋ ਤੇ ਜ਼ਾਕਰ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 32] ਅਤੇ ਮਿਕਲੋਥ ਤੋਂ ਸ਼ਿਮਆਹ ਜੰਮਿਆ ਅਤੇ ਉਹ ਵੀ ਆਪਣੇ ਭਰਾਵਾਂ ਦੇ ਨਾਲ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਆਪਣੇ ਭਰਾਵਾਂ ਦੇ ਆਹਮੋ-ਸਾਹਮਣੇ ਵੱਸਦੇ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 33] ਨੇਰ ਤੋਂ ਕੀਸ਼ ਜੰਮਿਆ ਅਤੇ ਕੀਸ਼ ਤੋਂ ਸ਼ਾਊਲ ਜੰਮਿਆ ਅਤੇ ਸ਼ਾਊਲ ਤੋਂ ਯੋਨਾਥਾਨ, ਮਲਕੀਸ਼ੂਆ, ਅਬੀਨਾਦਾਬ ਅਤੇ ਅਸ਼ਬਅਲ ਜੰਮੇ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 34] ਅਤੇ ਯੋਨਾਥਾਨ ਦਾ ਪੁੱਤਰ ਮਰੀਬ-ਬਅਲ ਸੀ ਅਤੇ ਮਰੀਬ-ਬਅਲ ਤੋਂ ਮੀਕਾਹ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 8 | Verse 35] ਅਤੇ ਮੀਕਾਹ ਦੇ ਪੁੱਤਰ, ਪੀਥੋਨ ਤੇ ਮਲਕ ਤੇ ਤਅਰੇਆ ਤੇ ਆਹਾਜ਼
