[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 1] ਸਾਰੇ ਇਸਰਾਏਲੀ ਹਬਰੋਨ ਵਿੱਚ ਦਾਊਦ ਕੋਲ ਇਕੱਠੇ ਹੋਏ ਅਤੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਵੇਖੋ, ਅਸੀਂ ਤਾਂ ਤੁਹਾਡੀ ਹੀ ਹੱਡੀ ਅਤੇ ਮਾਸ ਹਾਂ
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 2] ਇਸ ਤੋਂ ਇਲਾਵਾ ਪਿਛਲੇ ਸਮੇਂ ਵਿੱਚ ਵੀ ਜਦੋਂ ਸ਼ਾਊਲ ਸਾਡਾ ਰਾਜਾ ਸੀ ਤਦ ਤੁਸੀਂ ਹੀ ਇਸਰਾਏਲ ਦੀ ਅਗਵਾਈ ਕੀਤੀ ਅਤੇ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਤਹਾਨੂੰ ਆਖਿਆ ਕਿ ਤੂੰ ਮੇਰੀ ਪਰਜਾ ਇਸਰਾਏਲ ਦਾ ਚਰਵਾਹਾ ਹੋਵੇਂਗਾ ਅਤੇ ਤੂੰ ਹੀ ਮੇਰੀ ਪਰਜਾ ਇਸਰਾਏਲ ਉੱਤੇ ਪ੍ਰਧਾਨ ਹੋਵੇਂਗਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 3] ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਬਜ਼ੁਰਗ ਹਬਰੋਨ ਵਿੱਚ ਰਾਜਾ ਦੇ ਕੋਲ ਆਏ ਅਤੇ ਦਾਊਦ ਨੇ ਹਬਰੋਨ ਵਿੱਚ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਉਨ੍ਹਾਂ ਦੇ ਨਾਲ ਵਾਇਦਾ ਕੀਤਾ ਤਾਂ ਉਨ੍ਹਾਂ ਨੇ ਦਾਊਦ ਨੂੰ ਇਸਰਾਏਲ ਦਾ ਰਾਜਾ ਹੋਣ ਲਈ ਮਸਹ ਕੀਤਾ, ਜਿਵੇਂ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਸਮੂਏਲ ਦੇ ਰਾਹੀਂ ਆਇਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 4] ਅਤੇ ਦਾਊਦ ਅਤੇ ਸਾਰੇ ਇਸਰਾਏਲ ਯਰੂਸ਼ਲਮ ਨੂੰ ਜਿਸ ਨੂੰ ਯਬੂਸ ਵੀ ਆਖਦੇ ਹਨ, ਗਏ ਅਤੇ ਉੱਥੇ ਉਸ ਭੂਮੀ ਦੇ ਵਸਨੀਕ ਯਬੂਸੀ ਲੋਕ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 5] ਅਤੇ ਯਬੂਸ ਦੇ ਵਸਨੀਕਾਂ ਨੇ ਦਾਊਦ ਨੂੰ ਆਖਿਆ ਕਿ ਤੇਰਾ ਆਉਣਾ ਇੱਥੇ ਨਾ ਹੋਵੇਗਾ, ਪਰ ਦਾਊਦ ਨੇ ਸੀਯੋਨ ਦਾ ਗੜ੍ਹ ਆਪਣੇ ਵੱਸ ਕਰ ਲਿਆ ਅਤੇ ਉਹ ਦਾਊਦ ਦਾ ਨਗਰ ਹੋਇਆ
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 6] ਅਤੇ ਦਾਊਦ ਨੇ ਆਖਿਆ, ਜੋ ਕੋਈ ਪਹਿਲਾਂ ਯਬੂਸੀਆਂ ਨੂੰ ਮਾਰ ਲਵੇਗਾ, ਉਹੋ ਪ੍ਰਧਾਨ ਸਰਦਾਰ ਹੋਵੇਗਾ, ਤਾਂ ਸਰੂਯਾਹ ਦੇ ਪੁੱਤਰ ਯੋਆਬ ਨੇ ਪਹਿਲਾਂ ਚੜਾਈ ਕੀਤੀ ਅਤੇ ਮੁਖੀਆ ਹੋਇਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 7] ਦਾਊਦ ਉਸ ਗੜ੍ਹ ਵਿੱਚ ਰਹਿਣ ਲੱਗਾ, ਇਸ ਲਈ ਉਹ ਉਸ ਨੂੰ ਦਾਊਦ ਦਾ ਸ਼ਹਿਰ ਕਰਕੇ ਆਖਦੇ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 8] ਅਤੇ ਉਸ ਨੇ ਸ਼ਹਿਰ ਨੂੰ ਚਾਰੇ ਪਾਸਿਓਂ ਬਣਾਇਆ, ਅਰਥਾਤ ਮਿੱਲੋ ਤੋਂ ਲੈ ਕੇ ਚੁਫ਼ੇਰੇ ਤੱਕ ਸ਼ਹਿਰਪਨਾਹ ਬਣਾਈ, ਅਤੇ ਯੋਆਬ ਨੇ ਰਹਿੰਦੇ ਸ਼ਹਿਰ ਨੂੰ ਸਵਾਰਿਆ,
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 9] ਅਤੇ ਦਾਊਦ ਬਹੁਤ ਵੱਧਦਾ ਗਿਆ, ਕਿਉਂ ਜੋ ਸੈਨਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਉਸ ਦੇ ਅੰਗ-ਸੰਗ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 10] ਦਾਊਦ ਦੇ ਸਾਥੀ ਸੂਰਬੀਰਾਂ ਦੇ ਮੁਖੀਏ ਜਿਹੜੇ ਉਹ ਦੇ ਰਾਜ ਵਿੱਚ ਉਹ ਦੇ ਪੱਖ ਵਿੱਚ ਰਹੇ ਸਨ, ਅਤੇ ਜਿਨ੍ਹਾਂ ਨੇ ਸਾਰੇ ਇਸਰਾਏਲ ਨਾਲ ਉਸ ਨੂੰ ਰਾਜਾ ਬਣਾਉਣ ਲਈ ਜੋਰ ਦਿੱਤਾ, ਜਿਹ ਦੀ ਯਹੋਵਾਹ ਨੇ ਇਸਰਾਏਲ ਦੇ ਲਈ ਆਗਿਆ ਦਿੱਤੀ ਸੀ, ਇਹ ਹਨ
[IRV | PA | OT | 1 Chronicles | Chapter 11 | Verse 11] ਅਤੇ ਦਾਊਦ ਦੇ ਸੂਰਮਿਆਂ ਦੀ ਗਿਣਤੀ ਇਹ ਹੈ, ਹਕਮੋਨੀ ਦਾ ਪੁੱਤਰ ਯਾਸ਼ਾਬਆਮ ਸੂਬੇਦਾਰਾਂ ਦਾ ਮੁਖੀਆ ਜਿਸ ਨੇ ਤਿੰਨ ਸੌ ਮਨੁੱਖਾਂ ਉੱਤੇ ਆਪਣਾ ਬਰਛਾ ਚਲਾਇਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਇੱਕੋ ਵਾਰ ਮਾਰ ਸੁੱਟਿਆ
