[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 1] ਦਾਊਦ ਨੇ ਇਸਰਾਏਲ ਦੇ ਸਾਰਿਆਂ ਸਰਦਾਰਾਂ ਨੂੰ, ਅਰਥਾਤ ਗੋਤਾਂ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ ਅਤੇ ਉਨ੍ਹਾਂ ਮੰਡਲੀਆਂ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ, ਜਿਹੜੇ ਵਾਰੋ-ਵਾਰੀ ਪਾਤਸ਼ਾਹ ਦੀ ਸੇਵਾ ਕਰਦੇ ਸਨ ਅਤੇ ਹਜ਼ਾਰਾਂ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ, ਸੈਂਕੜਿਆਂ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ, ਪਾਤਸ਼ਾਹ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਸਾਰੇ ਮਾਲ ਧਨ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ, ਹੁੱਦੇਦਾਰਾਂ ਨੂੰ, ਸੂਰਮਿਆਂ ਨੂੰ, ਅਤੇ ਸਾਰੇ ਮਹਾਂ ਬਲੀਆਂ ਨੂੰ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਇਕੱਠਿਆਂ ਕੀਤਾ
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 2] ਤਾਂ ਦਾਊਦ ਪਾਤਸ਼ਾਹ ਨੇ ਆਪਣੇ ਪੱਬਾਂ ਦੇ ਭਾਰ ਖੜਾ ਹੋ ਕੇ ਆਖਿਆ, ਹੇ ਮੇਰੇ ਭਾਈਓ ਅਤੇ ਹੇ ਮੇਰੀ ਪਰਜਾ, ਮੇਰੀ ਸੁਣੋ! ਮੇਰੇ ਮਨ ਵਿੱਚ ਸੀ ਕਿ ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਨੇਮ ਦੇ ਸੰਦੂਕ ਦੇ ਲਈ ਸੁੱਖ ਸਥਾਨ ਅਤੇ ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੈਰਾਂ ਦੇ ਤਲੇ ਦੀ ਚੌਂਕੀ ਬਣਾਵਾਂ, ਅਤੇ ਮੈਂ ਉਸ ਦੇ ਬਣਾਉਣ ਦੇ ਲਈ ਤਿਆਰੀ ਕੀਤੀ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 3] ਪਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੈਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੇਰੇ ਨਾਮ ਦੇ ਲਈ ਭਵਨ ਨਾ ਬਣਾ, ਕਿਉਂਕਿ ਤੂੰ ਇੱਕ ਯੋਧਾ ਹੈ ਅਤੇ ਤੂੰ ਲਹੂ ਵਹਾਇਆ ਹੈ,
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 4] ਪਰੰਤੂ ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੈਨੂੰ ਮੇਰੇ ਪਿਤਾ ਦੇ ਸਾਰੇ ਵੰਸ਼ ਵਿੱਚੋਂ ਚੁਣ ਲਿਆ, ਜੋ ਮੈਂ ਇਸਰਾਏਲ ਦੇ ਉੱਤੇ ਸਦਾ ਤੱਕ ਪਾਤਸ਼ਾਹ ਹੋਵਾਂ, ਕਿਉਂ ਜੋ ਉਸ ਨੇ ਯਹੂਦਾਹ ਨੂੰ ਆਗੂ ਹੋਣ ਦੇ ਲਈ ਚੁਣ ਕੇ ਕੱਢਿਆ ਅਤੇ ਯਹੂਦਾਹ ਦੇ ਵੰਸ਼ ਵਿੱਚੋਂ ਮੇਰੇ ਪਿਤਾ ਦੇ ਪਰਿਵਾਰ ਨੂੰ ਅਤੇ ਮੇਰੇ ਪਿਤਾ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਮੈਨੂੰ ਪਸੰਦ ਕੀਤਾ, ਜੋ ਮੈਨੂੰ ਸਾਰੇ ਇਸਰਾਏਲ ਦਾ ਪਾਤਸ਼ਾਹ ਬਣਾਵੇ
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 5] ਅਤੇ ਮੇਰਿਆਂ ਸਾਰਿਆਂ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ (ਹਾਂ ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਬਹੁਤ ਪੁੱਤਰ ਬਖਸ਼ ਦਿੱਤੇ ਹਨ) ਉਸ ਨੇ ਮੇਰੇ ਪੁੱਤਰ ਸੁਲੇਮਾਨ ਨੂੰ ਪਸੰਦ ਕੀਤਾ, ਤਾਂ ਕਿ ਯਹੋਵਾਹ ਦੇ ਰਾਜ ਵਿੱਚ ਇਸਰਾਏਲ ਦੀ ਗੱਦੀ ਉੱਤੇ ਬਿਰਾਜਮਾਨ ਹੋਵੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 6] ਉਸ ਨੇ ਮੈਨੂੰ ਕਿਹਾ, ਤੇਰਾ ਪੁੱਤਰ ਸੁਲੇਮਾਨ ਮੇਰੇ ਲਈ ਭਵਨ ਅਤੇ ਦਰਬਾਰਾਂ ਨੂੰ ਬਣਾਵੇਗਾ ਕਿਉਂ ਜੋ ਮੈਂ ਉਸ ਨੂੰ ਚੁਣ ਲਿਆ ਹੈ, ਜੋ ਉਹ ਮੇਰਾ ਪੁੱਤਰ ਹੋਵੇ ਅਤੇ ਮੈਂ ਉਸ ਦਾ ਪਿਤਾ ਹੋਵਾਂ
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 7] ਅਤੇ ਜੇ ਉਹ ਮੇਰੇ ਨਿਆਂਵਾਂ ਅਤੇ ਮੇਰਿਆਂ ਹੁਕਮਾਂ ਦੇ ਮੰਨਣ ਵਿੱਚ ਪੱਕਾ ਰਹੇਗਾ, ਜਿਵੇਂ ਇਸ ਵੇਲੇ ਹੈ ਤਾਂ ਮੈਂ ਉਸ ਦਾ ਰਾਜ ਸਦਾ ਤੱਕ ਸਥਿਰ ਕਰਾਂਗਾ
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 8] ਇਸ ਲਈ ਹੁਣ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਵੇਖਦਿਆਂ, ਅਰਥਾਤ ਯਹੋਵਾਹ ਦੀ ਸਭਾ ਦੇ ਅੱਗੇ ਅਤੇ ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੁਣਨ ਵਿੱਚ ਤੁਹਾਨੂੰ ਸਮਝਾਉਂਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀਆਂ ਸਾਰੀਆਂ ਆਗਿਆਵਾਂ ਉੱਤੇ ਧਿਆਨ ਰੱਖੋ, ਅਤੇ ਉਸ ਦੀ ਖੋਜ ਕਰੋ ਤਾਂ ਜੋ ਤੁਸੀਂ ਇਸ ਚੰਗੇ ਦੇਸ ਦੇ ਮਾਲਕ ਹੋਵੋ ਅਤੇ ਆਪਣੇ ਪਿੱਛੋਂ ਆਪਣੀ ਸੰਤਾਨ ਨੂੰ ਸਦਾ ਦੇ ਅਧਿਕਾਰ ਲਈ ਛੱਡ ਜਾਓ।
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 9] ਤੂੰ ਹੇ ਮੇਰੇ ਪੁੱਤਰ ਸੁਲੇਮਾਨ, ਤੂੰ ਆਪਣੇ ਪਿਤਾ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਜਾਣ ਅਤੇ ਦ੍ਰਿੜ੍ਹ ਮਨ ਨਾਲ, ਅਤੇ ਚਿੱਤ ਦੇ ਪ੍ਰੇਮ ਨਾਲ ਉਸ ਦੀ ਟਹਿਲ ਸੇਵਾ ਕਰ, ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਸਾਰਿਆਂ ਮਨਾਂ ਨੂੰ ਜਾਂਚਦਾ ਹੈ ਅਤੇ ਜੋ ਵਿਚਾਰ ਪੈਦਾ ਹੁੰਦੇ ਹਨ ਉਹਨਾਂ ਨੂੰ ਜਾਣਦਾ ਹੈ। ਜੇ ਤੂੰ ਉਸ ਨੂੰ ਖ਼ੋਜੇਂਗਾ ਤਾਂ ਉਹ ਤੈਨੂੰ ਮਿਲ ਜਾਵੇਗਾ ਪਰ ਜੇ ਤੂੰ ਉਸ ਨੂੰ ਤਿਆਗ ਦੇਵੇਂ ਤਾਂ ਉਹ ਤੈਨੂੰ ਸਦੀਪਕਾਲ ਤੱਕ ਤਿਆਗ ਦੇਵੇਗਾ
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 10] ਹੁਣ ਵੇਖ, ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਨੇ ਤੈਨੂੰ ਚੁਣਿਆ ਹੈ, ਤਾਂ ਕਿ ਤੂੰ ਪਵਿੱਤਰ ਸਥਾਨ ਦੇ ਲਈ ਇੱਕ ਭਵਨ ਬਣਾਵੇਂ। ਉੱਠ, ਤਕੜਾ ਹੋ ਅਤੇ ਉਸ ਨੂੰ ਬਣਾ!।
[IRV | PA | OT | 1 Chronicles | Chapter 28 | Verse 11] ਤਾਂ ਦਾਊਦ ਨੇ ਆਪਣੇ ਪੁੱਤਰ ਸੁਲੇਮਾਨ ਨੂੰ ਉਸ ਦੇ ਦਲਾਨਾਂ ਦਾ, ਉਸ ਦੇ ਘਰਾਂ ਦਾ, ਉਸ ਦੇ ਭੰਡਾਰਾਂ ਦਾ, ਉਸ ਦੀਆਂ ਉੱਪਰਲੀਆਂ ਕੋਠੜੀਆਂ ਦਾ, ਉਸ ਦੀਆਂ ਅੰਦਰਲੀਆਂ ਕੋਠੜੀਆਂ ਦਾ ਅਤੇ ਉਸ ਦੀ ਪ੍ਰਾਸਚਿੱਤ ਦੇ ਸਥਾਨ ਦਾ ਨਕਸ਼ਾ ਦਿੱਤਾ
