[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 1] ਹੁਣ ਦਾਊਦ ਬੁੱਢਾ ਹੋ ਗਿਆ ਅਤੇ ਉਮਰ ਭੋਗ ਚੁੱਕਿਆ। ਉਸ ਨੇ ਆਪਣੇ ਪੁੱਤਰ ਸੁਲੇਮਾਨ ਨੂੰ ਇਸਰਾਏਲ ਉੱਤੇ ਪਾਤਸ਼ਾਹ ਬਣਾਇਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 2] ਉਸ ਨੇ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਸਰਦਾਰਾਂ ਨੂੰ ਜਾਜਕਾਂ ਅਤੇ ਲੇਵੀਆਂ ਸਣੇ ਇਕੱਠਿਆਂ ਕੀਤਾ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 3] ਅਤੇ ਲੇਵੀ ਜਿਹੜੇ ਤੀਹ ਸਾਲਾਂ ਦੇ ਅਤੇ ਉਸ ਤੋਂ ਵੱਧ ਉਮਰ ਵਾਲੇ ਸਨ, ਉਹ ਗਿਣੇ ਗਏ। ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਅਠੱਤੀ ਹਜ਼ਾਰ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 4] ਇੰਨ੍ਹਾਂ ਵਿੱਚੋਂ ਚੌਵੀ ਹਜ਼ਾਰ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੀ ਸੇਵਾ ਦੇ ਲਈ ਨਿਯੁਕਤ ਕੀਤੇ ਹੋਏ ਸਨ ਅਤੇ ਛੇ ਹਜ਼ਾਰ ਲਿਖਾਰੀ, ਅਤੇ ਨਿਆਈਂ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 5] ਅਤੇ ਚਾਰ ਹਜ਼ਾਰ ਦਰਬਾਨ ਸਨ ਅਤੇ ਚਾਰ ਹਜ਼ਾਰ ਉਨ੍ਹਾਂ ਸਾਜ਼ਾਂ ਅਤੇ ਵਜੰਤ੍ਰਾਂ ਨੂੰ ਵਜਾਉਂਦੇ ਸਨ ਜਿਹੜੇ ਮੈਂ, ਦਾਊਦ ਨੇ ਆਖਿਆ ਹੈ, ਯਹੋਵਾਹ ਦੀ ਉਸਤਤ ਲਈ ਬਣਾਏ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 6] ਦਾਊਦ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਲੇਵੀ ਦੇ ਪੁੱਤਰਾਂ ਦੀ ਗਿਣਤੀ ਅਨੁਸਾਰ ਅਰਥਾਤ ਗੇਰਸ਼ੋਨ, ਕਹਾਥ ਅਤੇ ਮਰਾਰੀ ਨੂੰ ਅਲੱਗ-ਅਲੱਗ ਦਲਾਂ ਵਿੱਚ ਵੰਡ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 7] ਗੇਰਸ਼ੋਨੀਆਂ ਵਿੱਚੋਂ, ਲਅਦਾਨ ਤੇ ਸ਼ਿਮਈ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 8] ਲਅਦਾਨ ਦੇ ਪੁੱਤਰ, ਯਹੀਏਲ ਮੁਖੀਆ ਤੇ ਜ਼ੇਥਾਮ ਤੇ ਯੋਏਲ ਤਿੰਨ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 9] ਸ਼ਿਮਈ ਦੇ ਪੁੱਤਰ, ਸ਼ਲੋਮੀਥ ਤੇ ਹਜ਼ੀਏਲ ਤੇ ਹਾਰਾਨ, ਤਿੰਨ। ਇਹ ਲਅਦਾਨ ਦੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 10] ਸ਼ਿਮਈ ਦੇ ਪੁੱਤਰ, ਯਹਥ, ਜ਼ੀਨਾ ਤੇ ਯਊਸ਼ ਤੇ ਬਰੀਆਹ ਇਹ ਸ਼ਿਮਈ ਦੇ ਪੁੱਤਰ ਸਨ, ਚਾਰ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 11] ਅਤੇ ਯਹਥ ਮੁਖੀਆ ਤੇ ਜ਼ੀਜ਼ਾਹ ਦੂਜਾ ਪਰ ਯਊਸ਼ ਤੇ ਬਰੀਆਹ ਦੇ ਬਹੁਤ ਪੁੱਤਰ ਨਹੀਂ ਸਨ, ਤਦੇ ਉਹ ਮਿਲ ਕੇ ਪਿਤਾਵਾਂ ਦਾ ਇੱਕ ਘਰਾਣਾ ਠਹਿਰੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 12] ਕਹਾਥ ਦੇ ਪੁੱਤਰ, ਅਮਰਾਮ, ਯਿਸਹਾਰ, ਹਬਰੋਨ ਤੇ ਉੱਜ਼ੀਏਲ, ਚਾਰ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 13] ਅਮਰਾਮ ਦੇ ਪੁੱਤਰ, ਹਾਰੂਨ ਤੇ ਮੂਸਾ, ਅਤੇ ਹਾਰੂਨ ਵੱਖਰਾ ਕੀਤਾ ਗਿਆ ਕਿ ਉਹ ਅੱਤ ਪਵਿੱਤਰ ਵਸਤਾਂ ਨੂੰ ਪਵਿੱਤਰ ਰੱਖੇ, ਉਹ ਤੇ ਉਹ ਦੇ ਪੁੱਤਰ ਸਦਾ ਲਈ, ਅਤੇ ਉਹ ਯਹੋਵਾਹ ਅੱਗੇ ਧੂਪ ਵੀ ਧੁਖਾਉਣ, ਉਹ ਦੀ ਉਪਾਸਨਾ ਕਰਨ ਤੇ ਸਦੀਪਕ ਕਾਲ ਉਹ ਦਾ ਨਾਮ ਲੈ ਕੇ ਬਰਕਤ ਦੇਣ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 14] ਮੂਸਾ ਪਰਮੇਸ਼ੁਰ ਦਾ ਭਗਤ ਸੀ, ਉਹ ਦੇ ਪੁੱਤਰ ਲੇਵੀ ਦੇ ਗੋਤ ਵਿੱਚ ਗਿਣੇ ਗਏ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 15] ਮੂਸਾ ਦੇ ਪੁੱਤਰ, ਗੇਰਸ਼ੋਮ ਤੇ ਅਲੀਅਜ਼ਰ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 16] ਗੇਰਸ਼ੋਮ ਦੇ ਪੁੱਤਰ, ਸ਼ਬੂਏਲ ਮੁਖੀਆ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 17] ਅਤੇ ਅਲੀਅਜ਼ਰ ਦੇ ਪੁੱਤਰ, ਰਹਾਬਯਾਹ ਮੁਖੀਆ ਸੀ ਅਤੇ ਅਲੀਅਜ਼ਰ ਦੇ ਹੋਰ ਪੁੱਤਰ ਨਹੀਂ ਸਨ ਪਰ ਰਹਾਬਯਾਹ ਦੇ ਪੁੱਤਰ ਬਹੁਤ ਸਾਰੇ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 18] ਯਿਸਹਾਰ ਦੇ ਪੁੱਤਰ, ਸ਼ਲੋਮੀਥ ਮੁਖੀਆ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 19] ਹਬਰੋਨ ਦੇ ਪੁੱਤਰ, ਯਰੀਯਾਹ ਮੁਖੀਆ, ਅਮਰਯਾਹ ਦੂਜਾ, ਯਹਜ਼ੀਏਲ ਤੀਜਾ ਤੇ ਯਿਕਮਆਮ ਚੌਥਾ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 20] ਉੱਜ਼ੀਏਲ ਦੇ ਪੁੱਤਰ, ਮੀਕਾਹ ਮੁਖੀਆ ਤੇ ਯਿੱਸ਼ੀਯਾਹ ਦੂਜਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 21] ਮਰਾਰੀ ਦੇ ਪੁੱਤਰ, ਮਹਲੀ ਤੇ ਮੂਸ਼ੀ। ਮਹਲੀ ਦੇ ਪੁੱਤਰ ਅਲਆਜ਼ਾਰ ਤੇ ਕੀਸ਼
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 22] ਅਤੇ ਅਲਆਜ਼ਾਰ ਮਰ ਗਿਆ ਅਤੇ ਉਹ ਦੇ ਪੁੱਤਰ ਨਹੀਂ ਸਨ ਪਰ ਧੀਆਂ ਸਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਭਰਾਵਾਂ ਕੀਸ਼ ਦੇ ਪੁੱਤਰਾਂ ਨੇ ਉਨ੍ਹਾਂ ਨਾਲ ਵਿਆਹ ਕੀਤੇ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 23] ਮੂਸ਼ੀ ਦੇ ਪੁੱਤਰ, ਮਹਲੀ ਤੇ ਏਦਰ ਤੇ ਯਿਰੇਮੋਥ, ਤਿੰਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 24] ਇਹ ਲੇਵੀ ਦੇ ਪੁੱਤਰ ਆਪਣਿਆਂ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਅਰਥਾਤ ਇਹ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ ਜਿਹੜੇ ਨਾਮ ਲੈ ਲੈ ਕੇ ਵੱਖੋ-ਵੱਖਰੇ ਕਰ ਕੇ ਗਿਣੇ ਗਏ ਸਨ ਅਤੇ ਵੀਹ ਵਰਿਆਂ ਦੀ ਉਮਰ ਤੇ ਉਸ ਤੋਂ ਉੱਤੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੀ ਉਪਾਸਨਾ ਦਾ ਕੰਮ ਕਰਦੇ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 25] ਕਿਉਂ ਜੋ ਦਾਊਦ ਨੇ ਆਖਿਆ, ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਪਣੀ ਪਰਜਾ ਨੂੰ ਵਿਸ਼ਰਾਮ ਦਿੱਤਾ ਹੈ ਅਤੇ ਉਸ ਦੀ ਪਰਜਾ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਸਦੀਪਕ ਕਾਲ ਤੱਕ ਵੱਸੇਗੀ l
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 26] ਨਾਲੇ ਲੇਵੀਆਂ ਨੂੰ ਵੀ ਡੇਰਾ ਤੇ ਉਹ ਦਾ ਸਾਰਾ ਸਮਾਨ ਉਸ ਦੀ ਉਪਾਸਨਾ ਲਈ ਫੇਰ ਨਾ ਚੁੱਕਣਾ ਪਵੇਗਾ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 27] ਕਿਉਂ ਜੋ ਦਾਊਦ ਦੇ ਆਖਰੀ ਹੁਕਮ ਅਨੁਸਾਰ ਉਹ ਲੇਵੀ ਜਿਹੜੇ ਵੀਹ ਸਾਲ ਤੋਂ ਉੱਤੇ ਸਨ, ਗਿਣੇ ਗਏ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 28] ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਕੰਮ ਇਹ ਸੀ ਜੋ ਹਾਰੂਨ ਦੀ ਸੰਤਾਨ ਕੋਲ ਹਾਜ਼ਰ ਰਹਿਣ ਕਿ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੀ ਉਪਾਸਨਾ ਵਿਹੜਿਆਂ ਤੇ ਕੋਠੜੀਆਂ ਵਿੱਚ ਕਰਨ, ਅਤੇ ਸਾਰੀਆਂ ਪਵਿੱਤਰ ਵਸਤਾਂ ਨੂੰ ਸ਼ੁੱਧ ਕਰਨ ਅਰਥਾਤ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਦੀ ਉਪਾਸਨਾ ਕਰਨ
[IRV | PA | OT | 1 Chronicles | Chapter 23 | Verse 29] ਚੜਾਵੇ ਦੀ ਰੋਟੀ, ਅੰਨ ਬਲੀ ਦੇ ਮੈਦੇ, ਪਤੀਰਿਆਂ ਫੁਲਕਿਆਂ, ਤਵੇ ਉੱਤੇ ਪਕਾਈਆਂ ਹੋਈਆਂ ਰੋਟੀਆਂ, ਪੂਰੀਆਂ ਦੇ ਲਈ ਅਤੇ ਹਰ ਤਰ੍ਹਾਂ ਦੀ ਮਿਣਤੀ ਲਈ
