[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 1] ਦਾਊਦ ਪਾਤਸ਼ਾਹ ਨੇ ਸਾਰੀ ਸਭਾ ਨੂੰ ਆਖਿਆ, ਮੇਰਾ ਪੁੱਤਰ ਸੁਲੇਮਾਨ ਜੋ ਇਕੱਲਾ ਪਰਮੇਸ਼ੁਰ ਨੇ ਚੁਣ ਲਿਆ ਹੈ, ਉਹ ਬਾਲਕ ਅਤੇ ਮਾਸੂਮ ਹੈ, ਪਰ ਕੰਮ ਬਹੁਤ ਵੱਡਾ ਹੈ ਕਿਉਂ ਜੋ ਉਹ ਭਵਨ ਮਨੁੱਖ ਦੇ ਲਈ ਨਹੀਂ ਸਗੋਂ ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਦੇ ਲਈ ਹੋਵੇਗਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 2] ਮੈਂ ਤਾਂ ਆਪਣੀ ਸਾਰੀ ਸ਼ਕਤੀ ਨਾਲ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਹੈਕਲ ਦੇ ਲਈ ਤਿਆਰੀ ਕੀਤੀ ਹੈ, ਸੋਨੇ ਦੀਆਂ ਵਸਤਾਂ ਦੇ ਲਈ ਸੋਨਾ, ਚਾਂਦੀ ਦੀਆਂ ਵਸਤਾਂ ਦੇ ਲਈ ਚਾਂਦੀ, ਪਿੱਤਲ ਦੀਆਂ ਵਸਤਾਂ ਦੇ ਲਈ ਪਿੱਤਲ, ਲੋਹੇ ਵਾਲੀਆਂ ਵਸਤਾਂ ਲਈ ਲੋਹਾ, ਲੱਕੜ ਗੜ੍ਹਾਂ ਦੇ ਲਈ ਲੱਕੜ, ਬਲੌਰੀ ਪੱਥਰ, ਜੜਨ ਘੜਨ ਲਈ ਭਾਂਤ-ਭਾਂਤ ਦੇ ਰੰਗੀਲੇ ਪੱਥਰ, ਹਰੇਕ ਪਰਕਾਰ ਦੇ ਅਨਮੋਲ ਪੱਥਰ ਅਤੇ ਬੇਅੰਤ ਚਿੱਟੇ ਪੱਥਰ ਤਿਆਰ ਕੀਤੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 3] ਕਿਉਂ ਜੋ ਮੈਂ ਆਪਣਾ ਮਨ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਉੱਤੇ ਲਾਇਆ ਹੈ, ਇਸ ਲਈ ਮੈਂ ਇਸ ਤੋਂ ਇਲਾਵਾ ਜੋ ਮੈਂ ਪਵਿੱਤਰ ਸਥਾਨ ਦੇ ਲਈ ਤਿਆਰ ਕਰ ਛੱਡਿਆ, ਮੈਂ ਆਪਣੇ ਨਿੱਜ ਧਨ ਵਿੱਚੋਂ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਘਰ ਲਈ ਸੋਨਾ ਅਤੇ ਚਾਂਦੀ ਦਿੰਦਾ ਹਾਂ
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 4] ਅਰਥਾਤ ਤਿੰਨ ਹਜ਼ਾਰ ਕਤਾਰ ਸੋਨਾ ਓਫੀਰੀ ਸੋਨੇ ਤੋਂ, ਅਤੇ ਸੱਤ ਹਜ਼ਾਰ ਕੰਤਾਰ ਖਰੀ ਚਾਂਦੀ ਸਥਾਨ ਦੀਆਂ ਕੰਧਾਂ ਤੇ ਮੜ੍ਹਨ ਲਈ
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 5] ਉਹ ਸੋਨਾ ਸੋਨੇ ਦੀਆਂ ਵਸਤਾਂ ਦੇ ਲਈ, ਅਤੇ ਚਾਂਦੀ ਦੀਆਂ ਵਸਤਾਂ ਦੇ ਲਈ, ਅਤੇ ਕਾਰੀਗਰੀਆਂ ਦੇ ਹਰੇਕ ਪ੍ਰਕਾਰ ਦੇ ਕੰਮ ਦੇ ਲਈ ਹੈ। ਅਤੇ ਅਜਿਹਾ ਕਿਹੜਾ ਹੈ ਜੋ ਮਨ ਦੇ ਪ੍ਰੇਮ ਨਾਲ ਭੇਟਾਂ ਚੜ੍ਹਾ ਕੇ ਯਹੋਵਾਹ ਦੇ ਲਈ ਆਪਣੇ ਆਪ ਨੂੰ ਅਰਪਣ ਕਰੇ?
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 6] ਤਦ ਪਿਤਾਵਾਂ ਦੀਆਂ ਕੁਲਾਂ ਦੇ ਸਰਦਾਰਾਂ ਅਤੇ ਇਸਰਾਏਲ ਦੇ ਗੋਤਾਂ ਦੇ ਸਰਦਾਰਾਂ ਅਤੇ ਹਜ਼ਾਰਾਂ ਅਤੇ ਸੈਂਕੜਿਆਂ ਦੇ ਸਰਦਾਰਾਂ ਅਤੇ ਪਾਤਸ਼ਾਹ ਦੇ ਰਾਜ ਕਾਜ ਦੇ ਸਰਦਾਰਾਂ ਨੇ ਮਨ ਦੇ ਪ੍ਰੇਮ ਨਾਲ ਭੇਟਾਂ ਚੜ੍ਹਾਈਆਂ
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 7] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਦੀ ਟਹਿਲ ਸੇਵਾ ਲਈ ਇੱਕ ਸੌ ਅਠਾਸੀ ਟਨ ਸੋਨਾ ਅਤੇ ਦਸ ਹਜ਼ਾਰ ਮੋਹਰਾਂ ਅਤੇ ਲੱਗਭੱਗ ਤਿੰਨ ਸੌ ਪੰਝੱਤਰ ਟਨ ਚਾਂਦੀ ਅਤੇ ਛੇ ਸੌ ਪੰਝੱਤਰ ਟਨ ਪਿੱਤਲ ਅਤੇ ਤਿੰਨ ਹਜ਼ਾਰ ਸੱਤ ਸੌ ਟਨ ਲੋਹਾ ਦਿੱਤਾ
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 8] ਅਤੇ ਜਿਨ੍ਹਾਂ ਦੇ ਕੋਲ ਅਣਮੋਲਕ ਪੱਥਰ ਸਨ, ਉਹਨਾਂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਯਹੀਏਲ ਗੇਰਸ਼ੋਨੀ ਦੇ ਹੱਥੀਂ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੇ ਖਜ਼ਾਨੇ ਵਿੱਚ ਦੇ ਦਿੱਤਾ
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 9] ਤਾਂ ਲੋਕਾਂ ਨੇ ਵੱਡਾ ਅਨੰਦ ਕੀਤਾ ਇਸ ਕਾਰਨ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਮਨ ਦੇ ਪ੍ਰੇਮ ਨਾਲ ਭੇਟਾਂ ਦਿੱਤੀਆਂ ਸਨ, ਕਿਉਂ ਜੋ ਸਿੱਧੇ ਮਨ ਨਾਲ ਉਨ੍ਹਾਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਲਈ ਭੇਟਾਂ ਚੜ੍ਹਾਈਆਂ ਸਨ ਅਤੇ ਦਾਊਦ ਪਾਤਸ਼ਾਹ ਨੇ ਵੀ ਬਹੁਤ ਅਨੰਦ ਕੀਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 10] ਇਸ ਲਈ ਦਾਊਦ ਨੇ ਸਾਰੀ ਸਭਾ ਦੇ ਅੱਗੇ ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਕੀਤਾ ਅਤੇ ਦਾਊਦ ਨੇ ਆਖਿਆ, ਹੇ ਯਹੋਵਾਹ ਸਾਡੇ ਪਿਤਾ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ, ਤੂੰ ਸਦੀਪਕਾਲ ਤੱਕ ਧੰਨ ਹੋ
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 11] ਹੇ ਯਹੋਵਾਹ, ਵਡਿਆਈ, ਸ਼ਕਤੀ, ਪਰਤਾਪ, ਫ਼ਤਹ ਅਤੇ ਮਹਿਮਾ ਤੇਰੀ ਹੀ ਹੈ, ਕਿਉਂ ਜੋ ਸੱਭੋ ਕੁਝ ਜਿਹੜਾ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਦੇ ਵਿੱਚ ਹੈ ਤੇਰਾ ਹੀ ਹੈ। ਹੇ ਯਹੋਵਾਹ, ਰਾਜ ਤੇਰਾ ਹੀ ਹੈ, ਤੂੰ ਸਭਨਾਂ ਦੇ ਸਿਰ ਉੱਤੇ ਅੱਤ ਉੱਚੇ ਤੋਂ ਉੱਚਾ ਹੈਂ।
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 12] ਧਨ, ਮਾਯਾ ਅਤੇ ਪਤ ਤੇਰੀ ਵੱਲੋਂ ਹੀ ਆਉਂਦੀਆਂ ਹਨ ਅਤੇ ਤੂੰ ਸਾਰਿਆਂ ਦੇ ਸਿਰ ਉੱਤੇ ਰਾਜ ਕਰਦਾ ਹੈਂ, ਅਤੇ ਤੇਰੇ ਹੱਥ ਵਿੱਚ ਸ਼ਕਤੀ ਅਤੇ ਬਲ ਹਨ, ਅਤੇ ਤੇਰੇ ਅਧੀਨ ਹੈ ਜੋ ਵਡਿਆਈ ਅਤੇ ਬਲ ਸਾਰਿਆਂ ਨੂੰ ਬਖ਼ਸ਼ੇਂ
[IRV | PA | OT | 1 Chronicles | Chapter 29 | Verse 13] ਹੁਣ ਇਸ ਲਈ ਹੇ ਸਾਡੇ ਪਰਮੇਸ਼ੁਰ, ਅਸੀਂ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਦੇ ਹਾਂ ਅਤੇ ਤੇਰੇ ਪ੍ਰਤਾਪ ਵਾਲੇ ਨਾਮ ਦੀ ਮਹਿਮਾ ਕਰਦੇ ਹਾਂ
