[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 1] ਇਸਰਾਏਲ ਦੇ ਪਹਿਲੌਠੇ ਰਊਬੇਨ ਦੇ ਪੁੱਤਰ (ਉਹ ਪਹਿਲੌਠਾ ਸੀ ਪਰ ਇਸ ਲਈ ਜੋ ਉਸ ਨੇ ਆਪਣੇ ਪਿਤਾ ਦੇ ਬਿਸਤਰ ਨੂੰ ਭਰਿਸ਼ਟ ਕੀਤਾ ਸੀ, ਉਸ ਦੇ ਪਹਿਲੌਠੇ ਹੋਣ ਦਾ ਹੱਕ ਇਸਰਾਏਲ ਦੇ ਪੁੱਤਰ ਯੂਸੁਫ਼ ਦੇ ਪੁੱਤਰਾਂ ਨੂੰ ਦਿੱਤਾ ਗਿਆ ਅਤੇ ਉਹ ਕੁਲ ਪੱਤ੍ਰੀ ਵਿੱਚ ਪਹਿਲੌਠਾ ਕਰਕੇ ਨਹੀਂ ਗਿਣਿਆ ਜਾਂਦਾ)
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 2] ਯਹੂਦਾਹ ਆਪਣੇ ਭਰਾਵਾਂ ਨਾਲੋਂ ਬਲਵਾਨ ਸੀ ਅਤੇ ਉਸ ਤੋਂ ਪ੍ਰਧਾਨ ਨਿੱਕਲਿਆ ਪਰ ਪਹਿਲੌਠਾ ਹੋਣ ਦਾ ਹੱਕ ਯੂਸੁਫ਼ ਦਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 3] ਇਸਰਾਏਲ ਦੇ ਪਹਿਲੌਠੇ ਰਊਬੇਨ ਦੇ ਪੁੱਤਰ, ਹਨੋਕ ਤੇ ਪੱਲੂ, ਹਸਰੋਨ ਤੇ ਕਰਮੀ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 4] ਯੋਏਲ ਦੇ ਪੁੱਤਰ, ਸ਼ਮਅਯਾਹ ਉਹ ਦਾ ਪੁੱਤਰ, ਗੋਗ ਉਹ ਦਾ ਪੁੱਤਰ ਸ਼ਿਮਈ ਉਹ ਦਾ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 5] ਮੀਕਾਹ ਉਹ ਦਾ ਪੁੱਤਰ, ਰਆਯਾਹ ਉਹ ਦਾ ਪੁੱਤਰ, ਬਆਲ ਉਹ ਦਾ ਪੁੱਤਰ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 6] ਬਏਰਾਹ ਉਹ ਦਾ ਪੁੱਤਰ, ਜਿਸ ਨੂੰ ਅੱਸ਼ੂਰ ਦਾ ਰਾਜਾ ਤਿਲਗਥ ਪਿਲਨਅਸਰ ਬੰਧੂਆ ਬਣਾ ਕੇ ਲੈ ਗਿਆ। ਉਹ ਰਊਬੇਨੀਆਂ ਦਾ ਸਰਦਾਰ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 7] ਉਹ ਦੇ ਭਰਾ ਉਨ੍ਹਾਂ ਦੀਆਂ ਕੁਲਾਂ ਅਨੁਸਾਰ ਜਦ ਉਨ੍ਹਾਂ ਦੀਆਂ ਪੀੜ੍ਹੀਆਂ ਦੀ ਕੁਲ ਪੱਤ੍ਰੀ ਬਣੀ ਇਹ ਸਨ, ਮੁਖੀ, ਯਈਏਲ ਤੇ ਜ਼ਕਰਯਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 8] ਅਤੇ ਬਲਾ ਆਜ਼ਾਜ਼ ਦਾ ਪੁੱਤਰ, ਸ਼ਮਆ ਦਾ ਪੁੱਤਰ, ਯੋਏਲ ਦਾ ਪੁੱਤਰ ਜਿਹੜਾ ਅਰੋਏਰ ਵਿੱਚ ਨਬੋ ਤੇ ਬਆਲ-ਮਓਨ ਤੱਕ ਵੱਸਦਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 9] ਅਤੇ ਉਹ ਚੜਦੇ ਪਾਸੇ ਫ਼ਰਾਤ ਦਰਿਆ ਤੋਂ ਉਜਾੜ ਦੇ ਰਸਤੇ ਤੱਕ ਵੱਸਦਾ ਸੀ ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਦੇ ਪਸ਼ੂ ਗਿਲਆਦ ਦੇ ਦੇਸ ਵਿੱਚ ਵਧ ਗਏ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 10] ਅਤੇ ਸ਼ਾਊਲ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਉਨ੍ਹਾਂ ਨੇ ਹਗਰੀਆਂ ਨਾਲ ਯੁੱਧ ਕੀਤਾ ਜਿਹੜੇ ਉਨ੍ਹਾਂ ਦੇ ਹੱਥੋਂ ਮਾਰੇ ਗਏ ਅਤੇ ਓਹ ਗਿਲਆਦ ਦੇ ਸਾਰੇ ਚੜਦੇ ਵੱਲ ਆਪਣੇ ਤੰਬੂਆਂ ਵਿੱਚ ਵੱਸੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 5 | Verse 11] ਗਾਦੀ ਉਨ੍ਹਾਂ ਦੇ ਸਾਹਮਣੇ ਬਾਸ਼ਾਨ ਦੇ ਦੇਸ ਵਿੱਚ ਸਲਕਾਹ ਤੱਕ ਵੱਸੇ
