[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 1] ਦਾਊਦ ਨੇ ਆਪਣੇ ਲਈ ਆਪਣੇ ਨਗਰ ਵਿੱਚ ਮਹਿਲ ਬਣਾਵੇ, ਉਸ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਲਈ ਇੱਕ ਸਥਾਨ ਬਣਵਾਇਆ ਅਤੇ ਉਸ ਦੇ ਲਈ ਇੱਕ ਤੰਬੂ ਖੜਾ ਕੀਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 2] ਉਸ ਵੇਲੇ ਦਾਊਦ ਨੇ ਆਖਿਆ, “ਲੇਵੀਆਂ ਤੋਂ ਬਿਨ੍ਹਾਂ ਕੋਈ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਦੇ ਚੁੱਕਣ ਜੋਗ ਨਹੀਂ, ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਚੁੱਕਣ ਲਈ ਅਤੇ ਸਦਾ ਤੱਕ ਉਸ ਦੇ ਅੱਗੇ ਸੇਵਾ ਕਰਨ ਲਈ ਚੁਣਿਆ ਹੈ।”
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 3] ਦਾਊਦ ਨੇ ਸਾਰੇ ਇਸਰਾਏਲ ਨੂੰ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਸੱਦ ਕੇ ਇਕੱਠਾ ਕੀਤਾ ਤਾਂ ਕਿ ਉਹ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਨੂੰ ਉਸ ਸਥਾਨ ਵਿੱਚ ਲੈ ਆਉਣ, ਜਿਹੜਾ ਉਸ ਨੇ ਉਹ ਦੇ ਲਈ ਤਿਆਰ ਕੀਤਾ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 4] ਅਤੇ ਦਾਊਦ ਨੇ ਹਾਰੂਨ ਦੇ ਵੰਸ਼ ਨੂੰ ਅਤੇ ਲੇਵੀਆਂ ਨੂੰ ਇਕੱਠਾ ਕੀਤਾ,
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 5] ਕਹਾਥੀਆਂ ਵਿੱਚੋਂ ਸਰਦਾਰ ਊਰੀਏਲ ਤੇ ਉਹ ਦੇ ਭਰਾ, ਇੱਕ ਸੌ ਵੀਹ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 6] ਮਰਾਰੀਆਂ ਵਿੱਚੋਂ ਉਹ ਦੇ ਸਰਦਾਰ ਅਸਾਯਾਹ ਤੇ ਉਹ ਦੇ ਭਰਾ, ਦੋ ਸੌ ਵੀਹ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 7] ਗੇਰਸ਼ੋਮੀਆਂ ਵਿੱਚੋਂ ਸਰਦਾਰ ਯੋਏਲ ਤੇ ਉਹ ਦਾ ਭਰਾ, ਇੱਕ ਸੌ ਤੀਹ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 8] ਅਲੀਸਾਫ਼ਾਨ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਸਰਦਾਰ ਸ਼ਮਅਯਾਹ ਤੇ ਉਹ ਦੇ ਭਰਾ, ਦੋ ਸੌ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 9] ਹਬਰੋਨ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਸਰਦਾਰ ਅਲੀਏਲ ਤੇ ਉਹ ਦੇ ਭਰਾ, ਅੱਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 10] ਉੱਜ਼ੀਏਲ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਸਰਦਾਰ ਅੰਮੀਨਾਦਾਬ ਤੇ ਉਹ ਦੇ ਭਰਾ, ਇੱਕ ਸੌ ਬਾਰਾਂ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 11] ਅਤੇ ਦਾਊਦ ਨੇ ਸਾਦੋਕ ਤੇ ਅਬਯਾਥਾਰ ਜਾਜਕਾਂ ਨੂੰ ਅਤੇ ਊਰੀਏਲ, ਅਸਾਯਾਹ ਤੇ ਯੋਏਲ, ਸ਼ਮਅਯਾਹ ਤੇ ਅਲੀਏਲ ਤੇ ਅੰਮੀਨਾਦਾਬ ਲੇਵੀਆਂ ਨੂੰ ਸੱਦਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 12] ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਤੁਸੀਂ ਲੇਵੀਆਂ ਦੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਹੋ। ਤੁਸੀਂ ਆਪਣੇ ਆਪ ਨੂੰ ਪਵਿੱਤਰ ਕਰੋ, ਨਾਲੇ ਤੁਸੀਂ ਤੇ ਤੁਹਾਡੇ ਭਰਾ ਵੀ ਤਾਂ ਕਿ ਤੁਸੀਂ ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਉਸ ਸਥਾਨ ਉੱਤੇ ਲੈ ਆਓ, ਜਿਹੜਾ ਮੈਂ ਉਸ ਲਈ ਤਿਆਰ ਕੀਤਾ ਹੈ।
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 13] ਤੁਸੀਂ ਲੋਕਾਂ ਨੇ ਪਹਿਲੀ ਵਾਰੀ ਸੰਦੂਕ ਨਾ ਚੁੱਕਿਆ, ਇਸ ਲਈ ਯਹੋਵਾਹ ਸਾਡਾ ਪਰਮੇਸ਼ੁਰ ਸਾਡੇ ਉੱਤੇ ਕ੍ਰੋਧਿਤ ਹੋਇਆ, ਕਿਉਂਕਿ ਅਸੀਂ ਉਸ ਦੀ ਭਾਲ ਠਹਿਰਾਈ ਹੋਈ ਰੀਤੀ ਨਾਲ ਨਾ ਕੀਤੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 14] ਤਦ ਜਾਜਕਾਂ ਅਤੇ ਲੇਵੀਆਂ ਨੇ ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਲਿਆਉਣ ਲਈ, ਆਪਣੇ ਆਪ ਨੂੰ ਪਵਿੱਤਰ ਕੀਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 15] ਲੇਵੀਆਂ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਚੋਬਾਂ ਨਾਲ ਆਪਣੇ ਮੋਢੇ ਉੱਤੇ ਚੁੱਕਿਆ, ਜਿਵੇਂ ਮੂਸਾ ਨੇ ਯਹੋਵਾਹ ਦੀ ਬਾਣੀ ਦੇ ਅਨੁਸਾਰ ਆਗਿਆ ਦਿੱਤੀ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 16] ਦਾਊਦ ਨੇ ਲੇਵੀਆਂ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ ਆਗਿਆ ਦਿੱਤੀ ਜੋ ਆਪਣੇ ਭਰਾਵਾਂ ਵਿੱਚੋਂ ਗਵੱਈਯਾਂ ਨੂੰ ਠਹਿਰਾਉਣ, ਤਾਂ ਕਿ ਉਹ ਜੈ ਕਾਰ ਤੇ ਵਜੰਤਰ ਅਰਥਾਤ ਤੰਬੂਰੇ, ਸਤਾਰਾਂ, ਮਜੀਰੇ ਛੇੜਨ, ਉੱਚੀਆਂ ਸੁਰਾਂ ਕਰ ਕੇ ਅਨੰਦਤਾਈ ਦੇ ਨਾਲ ਗਾਉਣ।
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 17] ਸੋ ਲੇਵੀਆਂ ਨੇ ਯੋਏਲ ਦੇ ਪੁੱਤਰ ਹੇਮਾਨ ਨੂੰ ਠਹਿਰਾਇਆ, ਨਾਲੇ ਉਹ ਦੇ ਭਰਾਵਾਂ ਵਿੱਚੋਂ ਬਰਕਯਾਹ ਦੇ ਪੁੱਤਰ ਆਸਾਫ਼ ਨੂੰ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਮਰਾਰੀ ਭਰਾਵਾਂ ਵਿੱਚੋਂ ਕੂਸ਼ਾਯਾਹ ਦੇ ਪੁੱਤਰ ਏਥਾਨ ਨੂੰ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 18] ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਭਰਾਵਾਂ ਨੂੰ ਜਿਹੜੇ ਦੂਜੇ ਦਰਜੇ ਦੇ ਸਨ, ਜ਼ਕਰਯਾਹ, ਬੇਨ, ਯਅਜ਼ੀਏਲ, ਸ਼ਮੀਰਾਮੋਥ, ਯਹੀਏਲ, ਉੱਨੀ, ਅਲੀਆਬ, ਬਨਾਯਾਹ, ਮਅਸੇਯਾਹ, ਮੱਤਿਥਯਾਹ, ਅਲੀਫਲੇਹੂ, ਮਿਕਨੇਯਾਹ, ਓਬੇਦ-ਅਦੋਮ ਅਤੇ ਯਈਏਲ ਦਰਬਾਨਾਂ ਨੂੰ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 19] ਅਤੇ ਹੇਮਾਨ, ਆਸਾਫ਼ ਤੇ ਏਥਾਨ ਗਵੱਯੇ ਪਿੱਤਲ ਦੇ ਛੈਣਿਆਂ ਨਾਲ ਵਜਾਉਣ ਲਈ ਠਹਿਰਾਏ ਗਏ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 20] ਅਤੇ ਜ਼ਕਰਯਾਹ, ਅਜ਼ੀਏਲ, ਸ਼ਮੀਰਾਮੋਥ, ਯਹੀਏਲ, ਉੱਨੀ, ਅਲੀਆਬ, ਮਅਸੇਯਾਹ, ਬਨਾਯਾਹ ਅਤੇ ਅਲਾਮੋਥ ਸੁਰ ਉੱਤੇ ਸਿਤਾਰਾਂ ਨਾਲ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 21] ਅਤੇ ਮੱਤਿਥਯਾਹ ਤੇ ਅਲੀਫਲੇਹੂ ਤੇ ਮਿਕਨੇਯਾਹ ਤੇ ਓਬੇਦ-ਅਦੋਮ ਤੇ ਯਈਏਲ ਤੇ ਅਜ਼ਜ਼ਯਾਹ, ਕਿ ਉਹ ਸ਼ਮੀਨੀਥ ਸੂਰ ਉੱਤੇ ਬਰਬਤਾਂ ਨਾਲ ਅਗਵਾਈ ਕਰਨ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 22] ਅਤੇ ਲੇਵੀਆਂ ਦਾ ਸਰਦਾਰ ਕਾਨਨਯਾਹ ਗਾਉਣ ਲਈ। ਉਹ ਗਾਉਣਾ ਸਿਖਾਉਂਦਾ ਸੀ ਕਿਉਂ ਜੋ ਉਹ ਵੱਡਾ ਗੁਣੀ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 15 | Verse 23] ਅਤੇ ਬਰਕਯਾਹ ਤੇ ਅਲਕਾਨਾਹ ਸੰਦੂਕ ਦੇ ਦਰਬਾਨ ਸਨ
