[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 1] ਇਹ ਇਸਰਾਏਲ ਦੇ ਪੁੱਤਰ ਸਨ: ਰਊਬੇਨ, ਸ਼ਿਮਓਨ, ਲੇਵੀ, ਯਹੂਦਾਹ, ਯਿੱਸਾਕਾਰ, ਜ਼ਬੂਲੁਨ
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 2] ਦਾਨ, ਯੂਸੁਫ਼, ਬਿਨਯਾਮੀਨ, ਨਫ਼ਤਾਲੀ, ਗਾਦ ਅਤੇ ਆਸ਼ੇਰ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 3] ਯਹੂਦਾਹ ਦੇ ਪੁੱਤਰ: ਏਰ, ਓਨਾਨ ਅਤੇ ਸ਼ੇਲਾਹ ਜਿਹਨਾਂ ਤਿੰਨਾਂ ਨੂੰ ਉਸ ਕਨਾਨਣ ਸ਼ੂਆ ਦੀ ਧੀ ਨੇ, ਉਹ ਦੇ ਲਈ ਜਨਮ ਦਿੱਤਾ। ਏਰ ਯਹੂਦਾਹ ਦਾ ਪਹਿਲੌਠਾ ਯਹੋਵਾਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਬੁਰਾ ਸੀ, ਇਸ ਲਈ ਉਸ ਨੇ ਉਹ ਨੂੰ ਮਾਰ ਸੁੱਟਿਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 4] ਤਾਮਾਰ ਉਹ ਦੀ ਨੂੰਹ ਨੇ ਉਹ ਦੇ ਲਈ ਪਰਸ ਤੇ ਜ਼ਰਹ ਨੂੰ ਜਨਮ ਦਿੱਤਾ। ਯਹੂਦਾਹ ਦੇ ਪੰਜ ਪੁੱਤਰ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 5] ਪਰਸ ਦੇ ਪੁੱਤਰ: ਹਸਰੋਨ ਅਤੇ ਹਾਮੂਲ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 6] ਜ਼ਰਹ ਦੇ ਪੁੱਤਰ: ਜ਼ਿਮਰੀ, ਏਥਾਨ, ਹੇਮਾਨ, ਕਲਕੋਲ ਅਤੇ ਦਾਰਾ ਇਹ ਸਾਰੇ ਪੰਜ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 7] ਕਰਮੀ ਦਾ ਪੁੱਤਰ: ਆਕਾਰ ਜਿਹੜਾ ਇਸਰਾਏਲ ਦਾ ਦੁੱਖ ਦੇਣ ਵਾਲਾ ਸੀ ਜਦੋਂ ਉਸ ਨੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਸਮਰਪਤ ਚੀਜ਼ ਦੇ ਵਿਖੇ ਅਪਰਾਧ ਕੀਤਾ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 8] ਏਥਾਨ ਦਾ ਪੁੱਤਰ: ਅਜ਼ਰਯਾਹ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 9] ਹਸਰੋਨ ਦੇ ਪੁੱਤਰ: ਯਰਹਮਏਲ, ਰਾਮ ਅਤੇ ਕਲੂਬਾਈ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 10] ਰਾਮ ਦਾ ਪੁੱਤਰ ਅੰਮੀਨਾਦਾਬ ਸੀ ਅਤੇ ਅੰਮੀਨਾਦਾਬ ਦਾ ਪੁੱਤਰ ਨਹਸ਼ੋਨ ਯਹੂਦੀਆਂ ਦਾ ਸ਼ਹਿਜ਼ਾਦਾ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 11] ਨਹਸ਼ੋਨ ਦਾ ਪੁੱਤਰ ਸਲਮਾ ਸੀ ਅਤੇ ਸਲਮਾ ਦਾ ਪੁੱਤਰ ਬੋਅਜ਼ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 12] ਬੋਅਜ਼ ਦਾ ਪੁੱਤਰ ਓਬੇਦ ਸੀ ਅਤੇ ਓਬੇਦ ਦਾ ਪੁੱਤਰ ਯੱਸੀ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 13] ਯੱਸੀ ਦਾ ਪਹਿਲੌਠਾ ਪੁੱਤਰ ਅਲੀਆਬ ਸੀ, ਅਬੀਨਾਦਾਬ ਦੂਜਾ, ਸ਼ਿਮਆਹ ਤੀਜਾ,
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 14] ਨਥਨੇਲ ਚੌਥਾ, ਰੱਦਈ ਪੰਜਵਾਂ,
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 15] ਓਸਮ ਛੇਵਾਂ ਅਤੇ ਦਾਊਦ ਸੱਤਵਾਂ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 16] ਜਿਨ੍ਹਾਂ ਦੀਆਂ ਭੈਣਾਂ ਸਰੂਯਾਹ ਅਤੇ ਅਬੀਗੈਲ ਸਨ ਅਤੇ ਸਰੂਯਾਹ ਦੇ ਪੁੱਤਰ: ਅਬੀਸ਼ਈ, ਯੋਆਬ ਅਤੇ ਅਸਾਹੇਲ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 17] ਅਬੀਗੈਲ ਦਾ ਪੁੱਤਰ ਅਮਾਸਾ ਸੀ ਅਤੇ ਅਮਾਸਾ ਦਾ ਪਿਤਾ ਯਥਰ ਇਸਮਾਏਲੀ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 2 | Verse 18] ਹਸਰੋਨ ਦੇ ਪੁੱਤਰ ਕਾਲੇਬ ਲਈ ਉਹ ਦੀ ਔਰਤ ਅਜ਼ੁਬਾਹ ਅਤੇ ਉਸ ਦੀ ਧੀ ਯਰੀਓਥ ਨੇ ਪੁੱਤਰਾਂ ਨੂੰ ਜਨਮ ਦਿੱਤਾ ਅਤੇ ਇਹ ਉਹ ਦੇ ਪੁੱਤਰ ਸਨ: ਯੇਸ਼ਰ, ਸੋਬਾਬ ਅਤੇ ਅਰਿਦੋਨ।
