[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 1] ਸ਼ੈਤਾਨ ਇਸਰਾਏਲ ਦੇ ਵਿਰੁੱਧ ਉੱਠਿਆ ਅਤੇ ਉਸ ਨੇ ਦਾਊਦ ਨੂੰ ਉਕਸਾਇਆ ਕਿ ਉਹ ਇਸਰਾਏਲ ਦੀ ਗਿਣਤੀ ਕਰੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 2] ਦਾਊਦ ਨੇ ਯੋਆਬ ਨੂੰ ਅਤੇ ਲੋਕਾਂ ਦੇ ਸਰਦਾਰਾਂ ਨੂੰ ਇਹ ਆਗਿਆ ਕੀਤੀ ਕਿ ਜਾਓ, ਬਏਰਸ਼ਬਾ ਤੋਂ ਲੈ ਕੇ ਦਾਨ ਤੱਕ ਇਸਰਾਏਲ ਦੀ ਗਿਣਤੀ ਕਰਕੇ ਮੈਨੂੰ ਦੱਸੋ, ਤਾਂ ਜੋ ਮੈਨੂੰ ਪਤਾ ਹੋਵੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 3] ਪਰ ਯੋਆਬ ਨੇ ਆਖਿਆ, ਯਹੋਵਾਹ ਆਪਣੀ ਪਰਜਾ ਇਸ ਨਾਲੋਂ ਵੀ ਸੌ ਗੁਣਾ ਵਧਾਵੇ, ਪਰ ਹੇ ਮੇਰੇ ਸੁਆਮੀ ਮਹਾਰਾਜ, ਕੀ ਇਹ ਸਾਰਿਆਂ ਦੇ ਸਾਰੇ ਮੇਰੇ ਸੁਆਮੀ ਦੇ ਦਾਸ ਨਹੀਂ ਹਨ? ਫੇਰ ਮੇਰਾ ਸੁਆਮੀ ਇਹ ਕਿਉਂ ਚਾਹੁੰਦਾ ਹੈ? ਤੁਸੀਂ ਕਿਉਂ ਇਸਰਾਏਲ ਦੇ ਲਈ ਅਪਰਾਧੀ ਹੋਣ ਦਾ ਕਾਰਨ ਹੋਵੇ?
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 4] ਪਰ ਰਾਜੇ ਦੀ ਆਗਿਆ ਯੋਆਬ ਉੱਤੇ ਪਰਬਲ ਹੋਈ ਸੋ ਯੋਆਬ ਤੁਰ ਗਿਆ ਅਤੇ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਦੇਸ ਦੇ ਵਿੱਚੋਂ ਲੰਘ ਕੇ ਯਰੂਸ਼ਲਮ ਨੂੰ ਮੁੜ ਆਇਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 5] ਤਾਂ ਯੋਆਬ ਨੇ ਲੋਕਾਂ ਦੀ ਗਿਣਤੀ ਦਾ ਲੇਖਾ ਦਾਊਦ ਨੂੰ ਦਿੱਤਾ ਅਤੇ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਤਲਵਾਰ ਧਾਰੀਆਂ ਦੀ ਗਿਣਤੀ ਗਿਆਰ੍ਹਾਂ ਲੱਖ ਸੀ ਅਤੇ ਯਹੂਦਾਹ ਦੇ ਚਾਰ ਲੱਖ ਸੱਤਰ ਹਜ਼ਾਰ ਤਲਵਾਰ ਧਾਰੀ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 6] ਪਰ ਉਸ ਨੇ ਇਨ੍ਹਾਂ ਦੇ ਵਿੱਚ ਲੇਵੀ ਅਤੇ ਬਿਨਯਾਮੀਨ ਦੇ ਲੋਕਾਂ ਦੀ ਗਿਣਤੀ ਨਾ ਕੀਤੀ, ਕਿਉਂ ਜੋ ਯੋਆਬ ਨੂੰ ਪਾਤਸ਼ਾਹ ਦੀ ਆਗਿਆ ਅੱਤ ਘਿਣਾਉਣੀ ਲੱਗੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 7] ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਇਹ ਗੱਲ ਬਹੁਤ ਬੁਰੀ ਲੱਗੀ, ਇਸ ਲਈ ਉਸ ਨੇ ਇਸਰਾਏਲ ਨੂੰ ਮਾਰਿਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 8] ਤਾਂ ਦਾਊਦ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਹਜ਼ੂਰੀ ਵਿੱਚ ਬੇਨਤੀ ਕੀਤੀ ਕਿ ਮੇਰੇ ਕੋਲੋਂ ਵੱਡਾ ਪਾਪ ਹੋਇਆ, ਜੋ ਮੈਂ ਇਹ ਕੰਮ ਕੀਤਾ, ਪਰ ਹੁਣ ਆਪਣੇ ਦਾਸ ਦੀ ਬਦੀ ਦੂਰ ਕਰ, ਕਿਉਂ ਜੋ ਮੈਂ ਵੱਡੀ ਮੂਰਖਤਾਈ ਦਾ ਕੰਮ ਕੀਤਾ ਹੈ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 9] ਯਹੋਵਾਹ ਨੇ ਦਾਊਦ ਦੇ ਅਗੰਮ ਗਿਆਨੀ ਗਾਦ ਨੂੰ ਆਗਿਆ ਦਿੱਤੀ
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 10] ਕਿ ਤੂੰ ਜਾ ਕੇ ਦਾਊਦ ਨੂੰ ਆਖ ਕਿ ਯਹੋਵਾਹ ਇਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ ਕਿ ਮੈਂ ਤੇਰੇ ਅੱਗੇ ਤਿੰਨ ਬਿਪਤਾਵਾਂ ਰੱਖਦਾ ਹਾਂ, ਸੋ ਤੂੰ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਚੁਣ ਲੈ, ਜੋ ਮੈਂ ਤੇਰੇ ਉੱਤੇ ਪਾਵਾਂ।
[IRV | PA | OT | 1 Chronicles | Chapter 21 | Verse 11] ਅਖ਼ੀਰ, ਗਾਦ ਦਾਊਦ ਕੋਲ ਆਇਆ ਅਤੇ ਉਸ ਨੂੰ ਆਖਿਆ ਕਿ ਯਹੋਵਾਹ ਦੀ ਇਹ ਆਗਿਆ ਹੈ ਜੋ ਤੂੰ ਇੰਨ੍ਹਾਂ ਵਿੱਚੋਂ ਇੱਕ ਚੁਣ ਲੈ,
