[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 1] ਫਿਰ ਦਾਊਦ ਅਤੇ ਸੈਨਾਪਤੀਆਂ ਨੇ ਆਸਾਫ਼, ਹੇਮਾਨ ਅਤੇ ਯਦੂਥੂਨ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਕਈਆਂ ਨੂੰ ਉਪਾਸਨਾ ਲਈ ਵੱਖਰਾ ਰੱਖਿਆ ਕਿ ਉਹ ਬਰਬਤਾਂ, ਸਿਤਾਰਾਂ ਤੇ ਛੈਣਿਆਂ ਨਾਲ ਅਗੰਮ ਵਾਕ ਕਰਨ ਅਤੇ ਕੰਮ ਕਰਨ ਵਾਲਿਆਂ ਦੀ ਗਿਣਤੀ ਉਨ੍ਹਾਂ ਦੀ ਸੇਵਾ ਅਨੁਸਾਰ ਇਹ ਸੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 2] ਆਸਾਫ਼ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਜ਼ੱਕੂਰ ਤੇ ਯੂਸੁਫ਼ ਤੇ ਨਥਨਯਾਹ ਤੇ ਅਸ਼ਰੇਲਾਹ ਆਸਾਫ਼ ਦੇ ਪੁੱਤਰ। ਉਹ ਆਸਾਫ਼ ਦੇ ਮੁਤੀਹ ਸਨ ਜਿਹੜਾ ਪਾਤਸ਼ਾਹ ਦੇ ਹੁਕਮ ਅਨੁਸਾਰ ਅਗੰਮ ਵਾਕ ਕਰਦਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 3] ਯਦੂਥੂਨ ਦੇ ਪੁੱਤਰ ਗਦਲਯਾਹ ਤੇ ਸਰੀ ਤੇ ਯਸਾਯਾਹ, ਹਸ਼ਬਯਾਹ, ਤੇ ਮੱਤਿਥਯਾਹ ਛੇ ਆਪਣੇ ਪਿਤਾ ਯਦੂਥੂਨ ਦੇ ਅਧੀਨ ਸਨ ਜਿਹੜਾ ਬਰਬਤ ਨਾਲ ਯਹੋਵਾਹ ਦਾ ਧੰਨਵਾਦ ਤੇ ਉਸਤਤ ਕਰ ਕੇ ਅਗੰਮ ਵਾਕ ਕਰਦਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 4] ਹੇਮਾਨ ਤੋਂ ਹੇਮਾਨ ਦੇ ਪੁੱਤਰ, ਬੁੱਕੀਯਾਹ, ਮੱਤਨਯਾਹ, ਉੱਜ਼ੀਏਲ, ਸ਼ਬੂਏਲ, ਯਰੀਮੋਥ, ਹਨਨਯਾਹ, ਹਨਾਨੀ, ਅਲੀਆਥਾਹ, ਗੱਦਲਤੀ ਤੇ ਰੋਮਮਤੀ-ਅਜ਼ਰ, ਯਾਸ਼ਬਕਾਸ਼ਾਹ ਮੱਲੋਥੀ, ਹੋਥੀਰ ਤੇ ਮਹਜ਼ੀਓਥ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 5] ਇਹ ਸਭੇ ਪਾਤਸ਼ਾਹ ਦੇ ਅਗੰਮ ਗਿਆਨੀ ਹੇਮਾਨ ਦੇ ਪੁੱਤਰ ਸਨ ਜਿਹੜਾ ਨਰਸਿੰਗਾ ਫੂਕਦਿਆਂ ਹੋਇਆਂ ਪਰਮੇਸ਼ੁਰ ਦੀਆਂ ਬਾਣੀਆਂ ਸੁਣਾਉਂਦਾ ਸੀ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਹੇਮਾਨ ਨੂੰ ਚੌਦਾਂ ਪੁੱਤਰ ਤੇ ਤਿੰਨ ਧੀਆਂ ਦਿੱਤੇ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 6] ਇਹ ਸਾਰੇ ਆਪਣੇ ਪਿਤਾ ਦੇ ਅਧੀਨ ਸਨ ਕਿ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਛੈਣਿਆਂ, ਸਤਾਰਾਂ ਤੇ ਬਰਬਤਾਂ ਨਾਲ ਗਾ ਵਜਾ ਕੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਦੀ ਉਪਾਸਨਾ ਕਰਨ, ਜਿਵੇਂ ਪਾਤਸ਼ਾਹ ਦਾ ਹੁਕਮ ਆਸਾਫ਼, ਯਦੂਥੂਨ ਅਤੇ ਹੇਮਾਨ ਨੂੰ ਹੁੰਦਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 7] ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਉਨ੍ਹਾਂ ਦੇ ਭਰਾਵਾਂ ਸਮੇਤ, ਜਿਹੜੇ ਯਹੋਵਾਹ ਦੇ ਲਈ ਭਜਨ ਗਾਉਣ ਨੂੰ ਸਿਖਾਏ ਹੋਏ ਸਨ ਅਰਥਾਤ ਸਾਰੇ ਜਿਹੜੇ ਸਿਆਣੇ ਸਨ, ਦੋ ਸੌ ਅਠਾਸੀ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 8] ਅਤੇ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਨੇ, ਕੀ ਨਿੱਕੇ, ਕੀ ਵੱਡੇ, ਕੀ ਗੁਰੂ, ਕੀ ਚੇਲੇ, ਸਾਰਿਆਂ ਨੇ ਆਪਣੀਆਂ ਜ਼ਿੰਮੇਵਾਰੀਆਂ ਲਈ ਪਰਚੀਆਂ ਪਾਈਆਂ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 9] ਪਹਿਲੀ ਪਰਚੀ ਆਸਾਫ਼ ਲਈ ਯੂਸੁਫ਼ ਦੀ ਨਿੱਕਲੀ, ਦੂਜੀ ਗਦਲਯਾਹ ਦੀ। ਉਹ ਤੇ ਉਹ ਦੇ ਭਰਾ ਤੇ ਪੁੱਤਰ ਬਾਰਾਂ ਜਣੇ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 10] ਤੀਜੀ ਜ਼ੱਕੂਰ ਦੀ। ਉਹ ਦੇ ਪੁੱਤਰ ਤੇ ਭਰਾ ਬਾਰਾਂ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 25 | Verse 11] ਚੌਥੀ ਯਸਰੀ ਦੀ। ਉਹ ਦੇ ਪੁੱਤਰ ਤੇ ਭਰਾ ਬਾਰਾਂ ਸਨ
