[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 1] ਲੇਵੀ ਦੇ ਪੁੱਤਰ, ਗੇਰਸ਼ੋਨ, ਕਹਾਥ ਤੇ ਮਰਾਰੀ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 2] ਅਤੇ ਕਹਾਥ ਦੇ ਪੁੱਤਰ, ਅਮਰਾਮ, ਯਿਸਹਾਰ ਤੇ ਹਬਰੋਨ ਤੇ ਉੱਜ਼ੀਏਲ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 3] ਅਤੇ ਅਮਰਾਮ ਦੇ ਪੁੱਤਰ, ਹਾਰੂਨ ਦੇ ਮੂਸਾ ਤੇ ਮਿਰਯਮ, ਅਤੇ ਹਾਰੂਨ ਦੇ ਪੁੱਤਰ, ਨਾਦਾਬ ਤੇ ਅਬੀਹੂ, ਅਲਆਜ਼ਾਰ ਤੇ ਈਥਾਮਾਰ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 4] ਅਲਆਜ਼ਾਰ ਤੋਂ ਫ਼ੀਨਹਾਸ ਜੰਮਿਆ, ਫ਼ੀਨਹਾਸ ਤੋਂ ਅਬੀਸ਼ੂਆ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 5] ਅਤੇ ਅਬੀਸ਼ੂਆ ਤੋਂ ਬੁੱਕੀ ਜੰਮਿਆ ਅਤੇ ਬੁੱਕੀ ਤੋਂ ਉੱਜ਼ੀ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 6] ਅਤੇ ਉੱਜ਼ੀ ਤੋਂ ਜ਼ਰਹਯਾਹ ਜੰਮਿਆ ਜ਼ਰਹਯਾਹ ਤੋਂ ਮਰਾਯੋਥ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 7] ਮਰਾਯੋਥ ਤੋਂ ਅਮਰਯਾਹ ਜੰਮਿਆ ਤੇ ਅਮਰਯਾਹ ਤੋਂ ਅਹੀਟੂਬ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 8] ਅਤੇ ਅਹੀਟੂਬ ਤੋਂ ਸਾਦੋਕ ਜੰਮਿਆ ਅਤੇ ਸਾਦੋਕ ਤੋਂ ਅਹੀਮਅਸ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 9] ਅਤੇ ਅਹੀਮਅਸ ਤੋਂ ਅਜ਼ਰਯਾਹ ਜੰਮਿਆ ਅਤੇ ਅਜ਼ਰਯਾਹ ਤੋਂ ਯੋਹਾਨਾਨ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 10] ਅਤੇ ਯੋਹਾਨਾਨ ਤੋਂ ਅਜ਼ਰਯਾਹ ਜੰਮਿਆ ਉਹੀ ਜਿਹੜਾ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਸੁਲੇਮਾਨ ਦੇ ਬਣਾਏ ਹੋਏ ਭਵਨ ਵਿੱਚ ਜਾਜਕਾਈ ਦਾ ਕੰਮ ਕਰਦਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 11] ਅਤੇ ਅਜ਼ਰਯਾਹ ਤੋਂ ਅਮਰਯਾਹ ਜੰਮਿਆ ਅਤੇ ਅਮਰਯਾਹ ਤੋਂ ਅਹੀਟੂਬ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 12] ਅਤੇ ਅਹੀਟੂਬ ਤੋਂ ਸਾਦੋਕ ਜੰਮਿਆ ਅਤੇ ਸਾਦੋਕ ਤੋਂ ਸ਼ੱਲੂਮ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 13] ਅਤੇ ਸ਼ੱਲੂਮ ਤੋਂ ਹਿਲਕੀਯਾਹ ਜੰਮਿਆ ਅਤੇ ਹਿਲਕੀਯਾਹ ਤੋਂ ਅਜ਼ਰਯਾਹ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 14] ਅਤੇ ਅਜ਼ਰਯਾਹ ਤੋਂ ਸਰਾਯਾਹ ਜੰਮਿਆ ਅਤੇ ਸਰਾਯਾਹ ਤੋਂ ਯਹੋਸਾਦਾਕ ਜੰਮਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 15] ਅਤੇ ਜਦ ਯਹੋਵਾਹ ਯਹੂਦਾਹ ਦੇ ਯਰੂਸ਼ਲਮ ਨੂੰ ਨਬੂਕਦਨੱਸਰ ਦੇ ਹੱਥੋਂ ਲੈ ਗਿਆ ਤਦ ਯਹੋਸਾਦਾਕ ਵੀ ਗ਼ੁਲਾਮ ਹੋ ਕੇ ਗਿਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 16] ਲੇਵੀ ਦੇ ਪੁੱਤਰ, ਗੇਰਸ਼ੋਮ, ਕਹਾਥ ਤੇ ਮਰਾਰੀ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 17] ਇਹ ਗੇਰਸ਼ੋਮ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਨਾਮ ਸਨ, ਲਿਬਨੀ ਤੇ ਸ਼ਿਮਈ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 18] ਅਤੇ ਕਹਾਥ ਦੇ ਪੁੱਤਰ, ਅਮਰਾਮ ਤੇ ਯਿਸਹਾਰ ਤੇ ਹਬਰੋਨ ਤੇ ਉੱਜ਼ੀਏਲ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 19] ਮਰਾਰੀ ਦੇ ਪੁੱਤਰ, ਮਹਲੀ ਤੇ ਮੂਸ਼ੀ ਤੇ ਇਹ ਲੇਵੀ ਦੀਆਂ ਕੁਲ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 20] ਗੇਰਸ਼ੋਮ ਦੀ, ਉਹ ਦਾ ਪੁੱਤਰ ਲਿਬਨੀ, ਉਹ ਦਾ ਪੁੱਤਰ ਯਹਥ, ਉਹ ਦਾ ਪੁੱਤਰ ਜ਼ਿੰਮਾਹ,
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 21] ਉਹ ਦਾ ਪੁੱਤਰ ਯੋਆਹ, ਉਹ ਦਾ ਪੁੱਤਰ ਇੱਦੋ, ਉਹ ਦਾ ਪੁੱਤਰ ਜ਼ਰਹ, ਉਹ ਦਾ ਪੁੱਤਰ ਯਅਥਰਈ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 22] ਕਹਾਥ ਦੇ ਪੁੱਤਰ, ਉਹ ਦਾ ਪੁੱਤਰ ਅੰਮੀਨਾਦਾਬ, ਉਹ ਦਾ ਪੁੱਤਰ ਕੋਰਹ, ਉਹ ਦਾ ਪੁੱਤਰ ਅੱਸੀਰ,
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 23] ਉਹਦਾ ਪੁੱਤਰ ਅਲਕਾਨਾਹ ਤੇ ਉਹਦਾ ਪੁੱਤਰ ਅਬਯਾਸਾਫ ਤੇ ਉਹਦਾ ਪੁੱਤਰ ਅੱਸੀਰ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 24] ਉਹ ਦਾ ਪੁੱਤਰ ਤਹਥ, ਉਹ ਦਾ ਪੁੱਤਰ ਊਰੀਏਲ, ਉਹ ਦਾ ਪੁੱਤਰ ਉੱਜ਼ੀਯਾਹ ਅਤੇ ਉਹ ਦਾ ਪੁੱਤਰ ਸ਼ਾਊਲ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 25] ਅਤੇ ਅਲਕਾਨਾਹ ਦੇ ਪੁੱਤਰ ਅਮਾਸਈ ਤੇ ਅਹੀਮੋਥ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 26] ਅਲਕਾਨਾਹ ਦੇ ਪੁੱਤਰ, ਉਹ ਦਾ ਪੁੱਤਰ ਸੋਫ਼ਈ ਤੇ ਉਹ ਦਾ ਪੁੱਤਰ ਨਹਥ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 27] ਉਹ ਦਾ ਪੁੱਤਰ ਅਲੀਆਬ, ਉਹ ਦਾ ਪੁੱਤਰ ਯਰੋਹਾਮ, ਉਹ ਦਾ ਪੁੱਤਰ ਅਲਕਾਨਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 28] ਅਤੇ ਸਮੂਏਲ ਦੇ ਪੁੱਤਰ, ਉਹ ਦਾ ਪਹਿਲੌਠਾ ਵਸ਼ਨੀ ਤੇ ਅਬਿਯਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 6 | Verse 29] ਮਰਾਰੀ ਦੇ ਪੁੱਤਰ, ਮਹਲੀ, ਉਹ ਦਾ ਪੁੱਤਰ ਲਿਬਨੀ, ਉਹ ਦਾ ਪੁੱਤਰ ਸ਼ਿਮਈ, ਉਹ ਦਾ ਪੁੱਤਰ ਉੱਜ਼ਾਹ,
