[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 1] ਯਹੂਦਾਹ ਦੇ ਪੁੱਤਰ: ਪਰਸ, ਹਸਰੋਨ, ਕਰਮੀ, ਹੂਰ ਅਤੇ ਸ਼ੋਬਾਲ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 2] ਸ਼ੋਬਾਲ ਦੇ ਪੁੱਤਰ ਰਆਯਾਹ, ਉਹ ਦਾ ਪੁੱਤਰ ਯਹਥ, ਉਹ ਦੇ ਪੁੱਤਰ ਅਹੂਮਈ ਤੇ ਲਹਦ। ਇਹ ਸਾਰਆਥੀਆਂ ਦੇ ਕੁੱਲਾਂ ਦੇ ਪੁਰਖੇ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 3] ਏਟਾਮ ਦੇ ਪਿਤਾ ਦੇ ਇਹ ਪੁੱਤਰ ਸਨ: ਯਿਜ਼ਰਏਲ, ਯਿਸ਼ਮਾ, ਯਿਦਬਾਸ਼ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਭੈਣ ਹੱਸਲਲਪੋਨੀ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 4] ਫਨੂਏਲ ਗਦੋਰ ਦਾ ਪਿਤਾ ਏਜ਼ਰ, ਹੂਸ਼ਾਹ ਦਾ ਪਿਤਾ। ਇਹ ਬੈਤਲਹਮ ਦੇ ਪਿਤਾ ਅਫਰਾਥਾਹ ਦੇ ਪਹਿਲੌਠੇ ਹੂਰ ਦੇ ਪੁੱਤਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 5] ਅਤੇ ਤਕੋਆਹ ਦੇ ਪਿਤਾ ਅਸ਼ਹੂਰ ਦੀਆਂ ਦੋ ਪਤਨੀਆਂ ਸਨ, ਹਲਾਹ ਅਤੇ ਨਅਰਾਹ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 6] ਨਅਰਾਹ ਨੇ ਉਹ ਦੇ ਲਈ ਅਹੁੱਜ਼ਾਮ, ਹੇਫ਼ਰ, ਤੇਮਨੀ ਅਤੇ ਹਾਅਹਸ਼ਤਾਰੀ ਨੂੰ ਜਨਮ ਦਿੱਤਾ। ਇਹ ਨਅਰਾਹ ਦੇ ਪੁੱਤਰ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 7] ਹਲਾਹ ਦੇ ਪੁੱਤਰ: ਸਰਥ, ਯਿਸਹਰ ਅਤੇ ਅਥਨਾਨ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 8] ਕੋਸ ਤੋਂ ਆਨੂਬ, ਸੋਬੇਬਾਹ ਅਤੇ ਹਾਰੁਮ ਦੇ ਪੁੱਤਰ ਅਹਰਹੇਲ ਦੇ ਪਰਿਵਾਰ ਜੰਮੇ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 9] ਯਾਬੇਸ ਆਪਣੇ ਭਰਾਵਾਂ ਨਾਲੋਂ ਪਤਵੰਤ ਸੀ ਅਤੇ ਉਹ ਦੀ ਮਾਤਾ ਨੇ ਇਹ ਆਖ ਕੇ ਉਹ ਦਾ ਨਾਮ ਯਅਬੇਸ ਰੱਖਿਆ ਕਿ ਮੈਂ ਉਹ ਨੂੰ ਦੁੱਖ ਨਾਲ ਜਨਮ ਦਿੱਤਾ ਹੈ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 10] ਯਾਬੇਸ ਨੇ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਅੱਗੇ ਬੇਨਤੀ ਕਰ ਕੇ ਆਖਿਆ, “ਕਾਸ਼ ਕਿ ਤੂੰ ਮੈਨੂੰ ਸੱਚ-ਮੁੱਚ ਬਰਕਤ ਦਿੰਦਾ, ਮੇਰੀਆਂ ਹੱਦਾਂ ਨੂੰ ਵਧਾਉਂਦਾ, ਤੇਰਾ ਹੱਥ ਮੇਰੇ ਨਾਲ ਰਹਿੰਦਾ ਅਤੇ ਤੂੰ ਮੈਨੂੰ ਬੁਰਿਆਈ ਤੋਂ ਬਚਾਉਂਦਾ ਤਾਂ ਜੋ ਉਹ ਮੈਨੂੰ ਨੂੰ ਦੁੱਖ ਨਾ ਦੇਵੇ!” ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਸ ਦੀ ਪ੍ਰਾਰਥਨਾ ਸੁਣ ਲਈ ਅਤੇ ਉਸ ਦੇ ਅਨੁਸਾਰ ਕੀਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 11] ਸ਼ੂਹਾਹ ਦੇ ਭਰਾ ਕਲੂਬ ਤੋਂ ਮਹੀਰ ਜੰਮਿਆ ਜੋ ਅਸ਼ਤੋਨ ਦਾ ਪਿਤਾ ਸੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 12] ਅਸ਼ਤੋਨ ਤੋਂ ਬੈਤਰਾਫਾ, ਪਾਸੇਆਹ ਅਤੇ ਈਰ-ਨਾਹਾਸ਼ ਦੇ ਪਿਤਾ ਤਹਿੰਨਾਹ ਜਨਮੇ। ਇਹ ਰੇਕਾਹ ਦੇ ਮਨੁੱਖ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 13] ਕਨਜ਼ ਦੇ ਪੁੱਤਰ ਆਥਨੀਏਲ ਅਤੇ ਸਰਾਯਾਹ, ਆਥਨੀਏਲ ਦਾ ਪੁੱਤਰ ਹਥਥ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 14] ਮਓਨੋਥਈ ਤੋਂ ਆਫਰਾਹ ਜੰਮਿਆ ਅਤੇ ਸਰਾਯਾਹ ਤੋਂ ਯੋਆਬ ਜੰਮਿਆ ਜਿਹੜਾ ਗੇ-ਹਰਾਸ਼ੀਮ ਦਾ ਪੁਰਖਾ ਸੀ, ਜਿਸ ਦੇ ਲੋਕ ਕਾਰੀਗਰ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 15] ਯਫ਼ੁੰਨਹ ਦੇ ਪੁੱਤਰ ਕਾਲੇਬ ਦੇ ਪੁੱਤਰ: ਈਰੂ, ਏਲਾਹ ਅਤੇ ਨਅਮ ਸਨ ਅਤੇ ਏਲਾਹ ਪੁੱਤਰ ਕਨਜ਼
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 16] ਅਤੇ ਯਹੱਲੇਲ ਦੇ ਪੁੱਤਰ, ਜ਼ੀਫ ਤੇ ਜ਼ੀਫਾਹ, ਤੀਰਯਾ ਤੇ ਅਸਰੇਲ
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 17] ਅਤੇ ਅਜ਼ਰਾਹ ਦੇ ਪੁੱਤਰ ਯਥਰ, ਮਰਦ, ਏਫਰ ਅਤੇ ਯਾਲੋਨ ਅਤੇ ਉਹ ਮਿਰਯਮ ਤੇ ਸ਼ੰਮਈ ਤੇ ਯਿਸ਼ਬਹ ਅਸ਼ਤਮੋਆ ਦਾ ਪਿਤਾ ਜਣੀ
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 18] ਅਤੇ ਉਹ ਦੀ ਯਹੂਦਣ ਔਰਤ ਨੇ ਗਦੋਰ ਦਾ ਪਿਤਾ ਯਰਦ ਤੇ ਸੋਕੋਹ ਦਾ ਪਿਤਾ ਹੇਬਰ ਤੇ ਜ਼ਾਨੋਅਹ ਦਾ ਪਿਤਾ ਯਕੂਥੀਏਲ ਜਣੇ ਅਤੇ ਇਹ ਫ਼ਿਰਊਨ ਦੀ ਧੀ ਬਿਥਯਾਹ ਦੇ ਪੁੱਤਰ ਸਨ ਜਿਹ ਨੂੰ ਮਰਦ ਨੇ ਵਿਆਹ ਲਿਆ
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 19] ਅਤੇ ਹੋਦੀਯਾਹ ਦੀ ਔਰਤ ਨਹਮ ਦੀ ਭੈਣ ਦੇ ਪੁੱਤਰ ਗਰਮੀ ਕਈਲਾਹ ਦਾ ਪਿਤਾ ਅਤੇ ਮਆਕਾਥੀ ਅਸ਼ਤਮੋਆ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 20] ਅਤੇ ਸ਼ੀਮੋਨ ਦੇ ਪੁੱਤਰ ਅਮਨੋਨ ਤੇ ਰਿੰਨਾਹ ਬਨ-ਹਾਨਾਨ ਤੇ ਤੀਲੋਨ ਅਤੇ ਯਿਸ਼ਈ ਦੇ ਪੁੱਤਰ ਜ਼ੋਹੇਥ ਤੇ ਬਨ-ਜ਼ੋਹੇਥ।
[IRV | PA | OT | 1 Chronicles | Chapter 4 | Verse 21] ਯਹੂਦਾਹ ਦੇ ਪੁੱਤਰ ਸ਼ੇਲਾਹ ਦੇ ਪੁੱਤਰ, ਲੇਕਾਹ ਦਾ ਪਿਤਾ ਏਰ ਤੇ ਮਾਰੇਸ਼ਾਹ ਦਾ ਪਿਤਾ ਲਅਦਾਹ ਅਤੇ ਬੈਤ ਅਸ਼ਬੇਆ ਦੇ ਘਰਾਣੇ ਦੇ ਪਰਿਵਾਰ ਜਿਹੜੇ ਮਹੀਨ ਕਤਾਨ ਬੁਣਨ ਵਾਲਿਆਂ ਦੇ ਘਰਾਣੇ ਦੇ ਸਨ
