[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 1] ਹੁਣ ਇਸਰਾਏਲੀ ਆਪਣੀ ਗਿਣਤੀ ਦੇ ਅਨੁਸਾਰ ਜਿਹੜੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਏ ਸਨ ਤੇ ਹਜ਼ਾਰਾਂ ਤੇ ਸੈਂਕੜਿਆਂ ਦੇ ਸਰਦਾਰ ਸਨ ਤੇ ਉਨ੍ਹਾਂ ਦੇ ਅਫ਼ਸਰ ਜਿਹੜੇ ਵਾਰੀ ਵਾਲਿਆਂ ਦੀ ਹਰ ਇੱਕ ਗੱਲ ਵਿੱਚ ਪਾਤਸ਼ਾਹ ਦੀ ਸੇਵਾ ਕਰਦੇ ਸਨ ਅਤੇ ਸਾਲ ਦੇ ਬਾਰਾਂ ਮਹੀਨਿਆਂ ਵਿੱਚ ਮਹੀਨੇ ਦੇ ਮਹੀਨੇ ਆਇਆ ਜਾਇਆ ਕਰਦੇ ਸਨ, ਸੋ ਹਰੇਕ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 2] ਪਹਿਲੇ ਮਹੀਨੇ ਦੀ ਪਹਿਲੀ ਵਾਰੀ ਉੱਤੇ ਜ਼ਬਦੀਏਲ ਦਾ ਪੁੱਤਰ ਯਾਸ਼ਾਬਆਮ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 3] ਪਰਸ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਉਹ ਸੀ ਅਤੇ ਪਹਿਲੇ ਮਹੀਨੇ ਦੇ ਸੈਨਾਂ ਪਤੀਆਂ ਦਾ ਮੁਖੀਆ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 4] ਅਤੇ ਦੂਜੇ ਮਹੀਨੇ ਦੀ ਵਾਰੀ ਉੱਤੇ ਅਹੋਹੀ ਦੋਦਈ ਸੀ ਅਤੇ ਉਸ ਦੀ ਵਾਰੀ ਉੱਤੇ ਮਿਕਲੋਥ ਹਾਕਮ ਸੀ। ਉਹ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 5] ਤੀਜੇ ਮਹੀਨੇ ਦੀ ਤੀਜੀ ਸੈਨਾਂ ਦਾ ਸਰਦਾਰ ਬਨਾਯਾਹ ਸੀ ਜਿਹੜਾ ਯਹੋਯਾਦਾ ਪ੍ਰਧਾਨ ਜਾਜਕ ਦਾ ਪੁੱਤਰ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 6] ਇਹ ਉਹ ਬਨਾਯਾਹ ਹੈ ਜਿਹੜਾ ਤੀਹਾਂ ਵਿੱਚੋਂ ਮਹਾਂ ਸੂਰਮਾ ਸੀ, ਅਤੇ ਉਨ੍ਹਾਂ ਤੀਹਾਂ ਦੇ ਉੱਤੇ ਸੀ, ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਉਸ ਦਾ ਪੁੱਤਰ ਅੰਮੀਜ਼ਾਬਾਦ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 7] ਚੌਥੇ ਮਹੀਨੇ ਦੇ ਲਈ ਚੌਥਾ ਸਰਦਾਰ ਯੋਆਬ ਦਾ ਭਰਾ ਅਸਾਹੇਲ ਸੀ ਅਤੇ ਉਸ ਦੇ ਪਿੱਛੇ ਉਸ ਦਾ ਪੁੱਤਰ ਜ਼ਬਦਯਾਹ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 8] ਪੰਜਵੇਂ ਮਹੀਨੇ ਦੇ ਲਈ ਪੰਜਵਾਂ ਸਰਦਾਰ ਸ਼ਮਹੂਥ ਇਜ਼ਰਾਹੀ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 9] ਛੇਵੇਂ ਮਹੀਨੇ ਦੇ ਲਈ ਛੇਵਾਂ ਸਰਦਾਰ ਤਕੋਈ ਇੱਕੇਸ਼ ਦਾ ਪੁੱਤਰ ਈਰਾ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 10] ਸੱਤਵੇਂ ਮਹੀਨੇ ਦੇ ਲਈ ਸੱਤਵਾਂ ਸਰਦਾਰ ਇਫ਼ਰਾਈਮੀਆਂ ਵਿੱਚੋਂ ਹਲਸ ਪਲੋਨੀ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 11] ਅੱਠਵੇਂ ਮਹੀਨੇ ਦੇ ਲਈ ਅੱਠਵਾਂ ਸਰਦਾਰ ਹੁਸ਼ਾਥੀ ਸਿਬਕੀ ਜ਼ਰਹੀਆਂ ਵਿੱਚੋਂ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 12] ਨੌਵੇਂ ਮਹੀਨੇ ਲਈ ਨੌਵਾਂ ਸਰਦਾਰ ਬਿਨਯਾਮੀਨੀਆਂ ਵਿੱਚੋਂ ਅੰਨਥੋਥੀ ਅਬੀਅਜ਼ਰ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 13] ਦਸਵੇਂ ਮਹੀਨੇ ਲਈ ਦਸਵਾਂ ਸਰਦਾਰ ਜ਼ਰਹੀਆਂ ਵਿੱਚੋਂ ਮਹਰਈ ਨਟੋਫਾਥੀ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 14] ਗਿਆਰਵੇਂ ਮਹੀਨੇ ਲਈ ਗਿਆਰਵਾਂ ਸਰਦਾਰ ਇਫ਼ਰਾਈਮੀਆਂ ਵਿੱਚੋਂ ਪਿਰਾਥੋਨੀ ਬਨਾਯਾਹ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 15] ਬਾਰਵੇਂ ਮਹੀਨੇ ਲਈ ਬਾਰਵਾਂ ਸਰਦਾਰ ਆਥਨੀਏਲ ਤੋਂ ਨਟੋਫਾਥੀ ਹਲਦਈ ਸੀ। ਉਸ ਦੀ ਵਾਰੀ ਵਿੱਚ ਚੌਵੀ ਹਜ਼ਾਰ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 16] ਉਪਰੰਤ ਇਸਰਾਏਲ ਦਿਆਂ ਗੋਤਾਂ ਦੇ ਉੱਤੇ ਅਧਿਕਾਰੀ ਇਹ ਸਨ, ਰਊਬੇਨੀਆਂ ਦਾ ਹਾਕਮ ਜ਼ਿਕਰੀ ਦਾ ਪੁੱਤਰ ਅਲੀਅਜ਼ਰ ਸੀ। ਸ਼ਿਮਓਨੀਆਂ ਦਾ ਮਆਕਾਹ ਦਾ ਪੁੱਤਰ ਸ਼ਫਟਯਾਹ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 17] ਲੇਵੀਆਂ ਦਾ, ਕਮੂਏਲ ਦਾ ਪੁੱਤਰ ਹਸ਼ਬਯਾਹ, ਹਾਰੂਨ ਦੀ ਅੰਸ ਦਾ ਸਾਦੋਕ,
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 18] ਯਹੂਦਾਹ ਦਾ, ਦਾਊਦ ਦੇ ਭਰਾਵਾਂ ਵਿੱਚੋਂ ਅਲੀਹੂ। ਯਿੱਸਾਕਾਰ ਦਾ, ਮੀਕਾਏਲ ਦਾ ਪੁੱਤਰ ਆਮਰੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 19] ਜ਼ਬੂਲੁਨ ਦਾ, ਓਬਦਯਾਹ ਦਾ ਪੁੱਤਰ ਯਿਸ਼ਮਅਯਾਹ। ਨਫ਼ਤਾਲੀ ਦਾ, ਅਜ਼ਰੀਏਲ ਦਾ ਪੁੱਤਰ ਯਰੀਮੋਥ,
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 20] ਇਫ਼ਰਾਈਮੀਆਂ ਦਾ, ਅਜ਼ਜ਼ਯਾਹ ਦਾ ਪੁੱਤਰ ਹੋਸ਼ੇਆ। ਮਨੱਸ਼ਹ ਦੇ ਅੱਧੀ ਗੋਤ ਦਾ, ਪਦਾਯਾਹ ਦਾ ਪੁੱਤਰ ਯੋਏਲ,
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 21] ਮਨੱਸ਼ਹ ਦੇ ਅੱਧੇ ਗੋਤ ਦਾ ਗਿਲਆਦ ਵੱਲ ਜ਼ਕਰਯਾਹ ਦਾ ਪੁੱਤਰ ਯਿੱਦੋ। ਬਿਨਯਾਮੀਨ ਦਾ, ਅਬਨੇਰ ਦਾ ਪੁੱਤਰ ਯਅਸੀਏਲ,
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 22] ਦਾਨ ਦਾ, ਯਰੋਹਾਮ ਦਾ ਪੁੱਤਰ ਅਜ਼ਰਏਲ। ਇਹ ਇਸਰਾਏਲ ਦੇ ਗੋਤਾਂ ਦੇ ਸਰਦਾਰ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 23] ਅਤੇ ਦਾਊਦ ਨੇ ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਨਾ ਕੀਤੀ ਜਿਹੜੇ ਵੀਹ ਸਾਲਾਂ ਅਤੇ ਇਸ ਤੋਂ ਘੱਟ ਉਮਰ ਵਾਲੇ ਸਨ, ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਨੇ ਬਚਨ ਕੀਤਾ ਸੀ ਕਿ ਮੈਂ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਅਕਾਸ਼ ਦੇ ਤਾਰਿਆਂ ਵਾਂਗੂੰ ਵਧਾਵਾਂਗਾ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 24] ਸਰੂਯਾਹ ਦੇ ਪੁੱਤਰ ਯੋਆਬ ਨੇ ਗਿਣਤੀ ਕਰਨ ਦਾ ਅਰੰਭ ਕੀਤਾ ਪਰ ਸਮਾਪਤ ਨਾ ਕੀਤਾ, ਇਸੇ ਕਾਰਨ ਕਿ ਇਸਰਾਏਲ ਉੱਤੇ ਕ੍ਰੋਧ ਹੋਇਆ ਅਤੇ ਉਹ ਗਿਣਤੀ ਦਾਊਦ ਪਾਤਸ਼ਾਹ ਦੇ ਇਤਿਹਾਸ ਦੇ ਵਰਨਣ ਵਿੱਚ ਨਹੀਂ ਲਿਖੀ ਗਈ।
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 25] ਪਾਤਸ਼ਾਹ ਦੇ ਭੰਡਾਰਾਂ ਉੱਤੇ ਅਦੀਏਲ ਦਾ ਪੁੱਤਰ ਅਜ਼ਮਾਵਥ ਸੀ, ਅਤੇ ਖੇਤਾਂ ਵਿੱਚ, ਨਗਰਾਂ ਵਿੱਚ, ਪਿੰਡਾਂ ਵਿੱਚ ਅਤੇ ਗੜਾਂ ਵਿੱਚ ਦੇ ਭੰਡਾਰਾਂ ਉੱਤੇ ਉੱਜ਼ੀਯਾਹ ਦਾ ਪੁੱਤਰ ਯੋਨਾਥਾਨ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 26] ਅਤੇ ਖੇਤਾਂ ਵਾਲਿਆਂ ਉੱਤੇ ਜਿਹੜੇ ਧਰਤੀ ਨੂੰ ਵਾਹੁੰਦੇ ਬੀਜਦੇ ਸਨ, ਕਲੂਬ ਦਾ ਪੁੱਤਰ ਅਜ਼ਰੀ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 27] ਅਤੇ ਦਾਖ਼ ਦੇ ਬਾਗ਼ਾਂ ਉੱਤੇ ਸ਼ਿਮਈ ਰਾਮਾਥੀ ਸੀ, ਅਤੇ ਦਾਖ਼ ਦੀ ਪੈਦਾਵਾਰੀ ਉੱਤੇ ਅਤੇ ਦਾਖ਼ਰਸ ਦੇ ਭੰਡਾਰਾਂ ਉੱਤੇ ਜ਼ਬਦੀ ਸ਼ਿਫਮੀ ਵਾਲਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 28] ਅਤੇ ਜ਼ੈਤੂਨ ਦੇ ਬਾਗ਼ਾਂ ਅਤੇ ਗੁੱਲਰ ਦੇ ਬੂਟਿਆਂ ਉੱਤੇ ਜਿਹੜੇ ਨਿਵਾਣਾਂ ਵਿੱਚ ਸਨ, ਬਆਲਹਾਨਾਨ ਗਦੇਰੀ ਸੀ, ਅਤੇ ਯੋਆਸ਼ ਤੇਲ ਦੇ ਭੰਡਾਰ ਉੱਤੇ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 29] ਅਤੇ ਗਊਆਂ ਬਲ਼ਦਾਂ ਦੇ ਵੱਗਾਂ ਉੱਤੇ ਜਿਹੜੇ ਸ਼ਾਰੋਨ ਵਿੱਚ ਚਰਦੇ ਸਨ, ਸ਼ਿਟਰਈ ਸ਼ਾਰੋਨੀ ਸੀ ਅਤੇ ਅਦਲਾਇ ਦਾ ਪੁੱਤਰ ਸ਼ਾਫਾਟ ਉਨ੍ਹਾਂ ਵੱਗਾਂ ਉੱਤੇ ਸੀ ਜਿਹੜੇ ਨਿਵਾਣਾਂ ਵਿੱਚ ਚਰਦੇ ਹੁੰਦੇ ਸਨ,
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 30] ਅਤੇ ਓਬੀਲ ਇਸਮਾਏਲੀ ਊਠਾਂ ਉੱਤੇ ਸੀ ਅਤੇ ਗਧੀਆਂ ਉੱਤੇ ਯਹਦੇਯਾਹ ਮੇਰੋਨੋਥੀ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 31] ਅਤੇ ਯਾਜ਼ੀਜ਼ ਹਗਰੀ ਇੱਜੜਾਂ ਉੱਤੇ ਸੀ। ਇਹ ਸਭ ਦਾਊਦ ਪਾਤਸ਼ਾਹ ਦੇ ਮਾਲ ਉੱਤੇ ਠਹਿਰਾਏ ਹੋਏ ਸਨ।
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 32] ਦਾਊਦ ਦਾ ਚਾਚਾ ਯੋਨਾਥਾਨ ਵੀ ਵਜ਼ੀਰ, ਬੁੱਧਵਾਨ ਤੇ ਲਿਖਾਰੀ ਸੀ, ਅਤੇ ਯਹੀਏਲ ਹਕਮੋਨੀ ਦਾ ਪੁੱਤਰ ਰਾਜਕੁਮਾਰਾਂ ਦੇ ਨਾਲ ਰਹਿੰਦਾ ਸੀ
[IRV | PA | OT | 1 Chronicles | Chapter 27 | Verse 33] ਅਤੇ ਅਹੀਥੋਫ਼ਲ ਪਾਤਸ਼ਾਹ ਦਾ ਮੰਤਰੀ ਸੀ ਅਤੇ ਹੂਸ਼ਈ ਅਰਕੀ ਪਾਤਸ਼ਾਹ ਦਾ ਮਿੱਤਰ ਸੀ
