[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 1] ਹਾਰੂਨ ਦੇ ਪੁੱਤਰਾਂ ਦੇ ਦਲ ਇਹ ਹਨ, ਹਾਰੂਨ ਦੇ ਪੁੱਤਰ ਨਾਦਾਬ ਤੇ ਅਬੀਹੂ, ਅਲਆਜ਼ਾਰ ਤੇ ਈਥਾਮਾਰ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 2] ਪਰ ਨਾਦਾਬ ਤੇ ਅਬੀਹੂ ਆਪਣੇ ਪਿਤਾ ਦੇ ਮਰਨ ਤੋਂ ਪਹਿਲਾ ਬੇ-ਔਲਾਦ ਮਰ ਗਏ ਇਸ ਕਾਰਨ ਅਲਆਜ਼ਾਰ ਤੇ ਈਥਾਮਾਰ ਨੇ ਜਾਜਕਾਈ ਦਾ ਕੰਮ ਕੀਤਾ।
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 3] ਅਤੇ ਦਾਊਦ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਅਰਥਾਤ ਅਲਆਜ਼ਾਰ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਅਹੀਮਲਕ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਫਰਜ਼ਾਂ ਅਨੁਸਾਰ ਉਨ੍ਹਾਂ ਦੀ ਉਪਾਸਨਾ ਲਈ ਵੰਡ ਦਿੱਤਾ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 4] ਅਤੇ ਅਲਆਜ਼ਾਰ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਈਥਾਮਾਰ ਦੇ ਪੁੱਤਰਾਂ ਨਾਲੋਂ ਵੱਧ ਮੁਖੀਏ ਪੁਰਸ਼ ਪਾਏ ਗਏ ਸਨ ਅਤੇ ਉਹ ਇਸ ਤਰ੍ਹਾਂ ਵੰਡੇ ਗਏ, ਅਲਆਜ਼ਾਰ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਸੋਲ਼ਾਂ ਮੁਖੀਏ ਸਨ ਅਤੇ ਈਥਾਮਾਰ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਅੱਠ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 5] ਇਸ ਤਰ੍ਹਾਂ ਪਰਚੀਆਂ ਪਾ ਕੇ ਉਹ ਬਰਾਬਰ ਵੰਡੇ ਗਏ ਕਿਉਂ ਜੋ ਅਲਆਜ਼ਾਰ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਨਾਲੇ ਈਥਾਮਾਰ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਪਵਿੱਤਰ ਸਥਾਨ ਦੇ ਸਰਦਾਰ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਰਦਾਰ ਸਨ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 6] ਅਤੇ ਲੇਵੀਆਂ ਵਿੱਚੋਂ ਨਥਨਏਲ ਦੇ ਪੁੱਤਰ ਸ਼ਮਅਯਾਹ ਲਿਖਾਰੀ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਪਾਤਸ਼ਾਹ ਦੇ ਅਤੇ ਸਰਦਾਰਾਂ ਦੇ ਅਤੇ ਸਾਦੋਕ ਜਾਜਕ ਦੇ ਅਤੇ ਅਬਯਾਥਾਰ ਦੇ ਪੁੱਤਰ ਅਹੀਮਲਕ ਦੇ ਅਤੇ ਲੇਵੀਆਂ ਦੇ ਜਾਜਕਾਂ ਦੇ ਪਿਤਾਵਾਂ ਦੇ ਘਰਾਣਿਆਂ ਦੇ ਮੁਖੀਆਂ ਦੇ ਸਨਮੁਖ ਲਿਖਿਆ। ਪਿਤਾਵਾਂ ਦਾ ਇੱਕ ਘਰਾਣਾ ਅਲਆਜ਼ਾਰ ਲਈ ਅਤੇ ਇੱਕ ਈਥਾਮਾਰ ਲਈ ਲਿਆ ਗਿਆ।
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 7] ਪਹਿਲੀ ਪਰਚੀ ਯਹੋਯਾਰੀਬ ਦੀ ਨਿੱਕਲੀ, ਦੂਜੀ ਯਦਾਯਾਹ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 8] ਤੀਸਰੀ ਹਾਰੀਮ ਦੀ, ਚੌਥੀ ਸਓਰੀਮ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 9] ਪੰਜਵੀਂ ਮਲਕੀਯਾਹ ਦੀ, ਛੇਵੀਂ ਮੀਯਾਮੀਨ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 10] ਸੱਤਵੀਂ ਹਕੋਸ ਦੀ, ਅੱਠਵੀਂ ਅਬਿਯਾਹ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 11] ਨੌਵੀਂ ਯੇਸ਼ੂਆ ਦੀ, ਦਸਵੀਂ ਸ਼ਕਨਯਾਹ ਦੀ
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 12] ਗਿਆਰਵੀਂ ਅਲਯਾਸ਼ੀਬ ਦੀ, ਬਾਰਵੀਂ ਯਾਕੀਮ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 13] ਤੇਰ੍ਹਵੀਂ ਹੁੱਪਾਹ ਦੀ, ਚੌਦਵੀਂ ਯਸ਼ਬਆਬ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 14] ਪੰਦਰਵੀਂ ਬਿਲਗਾਹ ਦੀ, ਸੋਲ਼ਵੀਂ ਇੰਮੇਰ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 15] ਸਤਾਰਵੀਂ ਹੇਜ਼ੀਰ ਦੀ, ਅਠਾਰਵੀਂ ਹੱਪੀਸੇਸ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 16] ਉਂਨੀਵੀਂ ਪਥਹਯਾਹ ਦੀ, ਵੀਹਵੀਂ ਯਹਜ਼ਕੇਲ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 17] ਇੱਕੀਵੀਂ ਯਾਕੀਨ ਦੀ, ਬਾਈਵੀਂ ਗਾਮੂਲ ਦੀ,
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 18] ਤੇਈਵੀਂ ਦਲਾਯਾਹ ਦੀ, ਚੌਵੀਵੀਂ ਮਅਜ਼ਯਾਹ ਦੀ।
[IRV | PA | OT | 1 Chronicles | Chapter 24 | Verse 19] ਇਹ ਉਨ੍ਹਾਂ ਦੀ ਉਪਾਸਨਾ ਦੀਆਂ ਵਾਰੀਆਂ ਸਨ ਕਿ ਉਹ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਉਸ ਦੇ ਹੁਕਮ ਦੇ ਅਨੁਸਾਰ ਆਉਣ ਜਿਹ ਦਾ ਹੁਕਮ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਨੇ ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਹਾਰੂਨ ਦੇ ਰਾਹੀਂ ਦਿੱਤਾ ਸੀ।
