[WEB | EN | OT | Exodus | Chapter 24 | Verse 1] He said to Moses, “Come up to the LORD, you, and Aaron, Nadab, and Abihu, and seventy of the elders of Israel; and worship from a distance.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 2] Moses alone shall come near to the LORD, but they shall not come near. The people shall not go up with him.”
[WEB | EN | OT | Exodus | Chapter 24 | Verse 3] Moses came and told the people all the LORD’s words, and all the ordinances; and all the people answered with one voice, and said, “All the words which the LORD has spoken will we do.”
[WEB | EN | OT | Exodus | Chapter 24 | Verse 4] Moses wrote all the LORD’s words, then rose up early in the morning and built an altar at the base of the mountain, with twelve pillars for the twelve tribes of Israel.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 5] He sent young men of the children of Israel, who offered burnt offerings and sacrificed peace offerings of cattle to the LORD.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 6] Moses took half of the blood and put it in basins, and half of the blood he sprinkled on the altar.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 7] He took the book of the covenant and read it in the hearing of the people, and they said, “We will do all that the LORD has said, and be obedient.”
[WEB | EN | OT | Exodus | Chapter 24 | Verse 8] Moses took the blood, and sprinkled it on the people, and said, “Look, this is the blood of the covenant, which the LORD has made with you concerning all these words.”
[WEB | EN | OT | Exodus | Chapter 24 | Verse 9] Then Moses, Aaron, Nadab, Abihu, and seventy of the elders of Israel went up.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 10] They saw the God of Israel. Under his feet was like a paved work of sapphire stone, like the skies for clearness.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 11] He didn’t lay his hand on the nobles of the children of Israel. They saw God, and ate and drank.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 12] The LORD said to Moses, “Come up to me on the mountain, and stay here, and I will give you the stone tablets with the law and the commands that I have written, that you may teach them.”
[WEB | EN | OT | Exodus | Chapter 24 | Verse 13] Moses rose up with Joshua, his servant, and Moses went up onto God’s Mountain.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 14] He said to the elders, “Wait here for us, until we come again to you. Behold, Aaron and Hur are with you. Whoever is involved in a dispute can go to them.”
[WEB | EN | OT | Exodus | Chapter 24 | Verse 15] Moses went up on the mountain, and the cloud covered the mountain.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 16] The LORD’s glory settled on Mount Sinai, and the cloud covered it six days. The seventh day he called to Moses out of the middle of the cloud.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 17] The appearance of the LORD’s glory was like devouring fire on the top of the mountain in the eyes of the children of Israel.
[WEB | EN | OT | Exodus | Chapter 24 | Verse 18] Moses entered into the middle of the cloud, and went up on the mountain; and Moses was on the mountain forty days and forty nights.
