[WEB | EN | OT | Exodus | Chapter 1 | Verse 1] Now these are the names of the sons of Israel, who came into Egypt (every man and his household came with Jacob):
[WEB | EN | OT | Exodus | Chapter 1 | Verse 2] Reuben, Simeon, Levi, and Judah,
[WEB | EN | OT | Exodus | Chapter 1 | Verse 3] Issachar, Zebulun, and Benjamin,
[WEB | EN | OT | Exodus | Chapter 1 | Verse 4] Dan and Naphtali, Gad and Asher.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 5] All the souls who came out of Jacob’s body were seventy souls, and Joseph was in Egypt already.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 6] Joseph died, as did all his brothers, and all that generation.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 7] The children of Israel were fruitful, and increased abundantly, and multiplied, and grew exceedingly mighty; and the land was filled with them.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 8] Now there arose a new king over Egypt, who didn’t know Joseph.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 9] He said to his people, “Behold, the people of the children of Israel are more and mightier than we.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 10] Come, let’s deal wisely with them, lest they multiply, and it happen that when any war breaks out, they also join themselves to our enemies and fight against us, and escape out of the land.”
[WEB | EN | OT | Exodus | Chapter 1 | Verse 11] Therefore they set taskmasters over them to afflict them with their burdens. They built storage cities for Pharaoh: Pithom and Raamses.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 12] But the more they afflicted them, the more they multiplied and the more they spread out. They started to dread the children of Israel.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 13] The Egyptians ruthlessly made the children of Israel serve,
[WEB | EN | OT | Exodus | Chapter 1 | Verse 14] and they made their lives bitter with hard service in mortar and in brick, and in all kinds of service in the field, all their service, in which they ruthlessly made them serve.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 15] The king of Egypt spoke to the Hebrew midwives, of whom the name of the one was Shiphrah, and the name of the other Puah,
[WEB | EN | OT | Exodus | Chapter 1 | Verse 16] and he said, “When you perform the duty of a midwife to the Hebrew women, and see them on the birth stool, if it is a son, then you shall kill him; but if it is a daughter, then she shall live.”
[WEB | EN | OT | Exodus | Chapter 1 | Verse 17] But the midwives feared God, and didn’t do what the king of Egypt commanded them, but saved the baby boys alive.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 18] The king of Egypt called for the midwives, and said to them, “Why have you done this thing and saved the boys alive?”
[WEB | EN | OT | Exodus | Chapter 1 | Verse 19] The midwives said to Pharaoh, “Because the Hebrew women aren’t like the Egyptian women; for they are vigorous and give birth before the midwife comes to them.”
[WEB | EN | OT | Exodus | Chapter 1 | Verse 20] God dealt well with the midwives, and the people multiplied, and grew very mighty.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 21] Because the midwives feared God, he gave them families.
[WEB | EN | OT | Exodus | Chapter 1 | Verse 22] Pharaoh commanded all his people, saying, “You shall cast every son who is born into the river, and every daughter you shall save alive.”
