[WEB | EN | OT | Exodus | Chapter 15 | Verse 1] Then Moses and the children of Israel sang this song to the LORD, and said, “I will sing to the LORD, for he has triumphed gloriously. He has thrown the horse and his rider into the sea.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 2] The LORD is my strength and song. He has become my salvation. This is my God, and I will praise him; my father’s God, and I will exalt him.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 3] The LORD is a man of war. The LORD is his name.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 4] He has cast Pharaoh’s chariots and his army into the sea. His chosen captains are sunk in the Red Sea.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 5] The deeps cover them. They went down into the depths like a stone.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 6] Your right hand, LORD, is glorious in power. Your right hand, LORD, dashes the enemy in pieces.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 7] In the greatness of your excellency, you overthrow those who rise up against you. You send out your wrath. It consumes them as stubble.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 8] With the blast of your nostrils, the waters were piled up. The floods stood upright as a heap. The deeps were congealed in the heart of the sea.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 9] The enemy said, ‘I will pursue. I will overtake. I will divide the plunder. My desire will be satisfied on them. I will draw my sword. My hand will destroy them.’
[WEB | EN | OT | Exodus | Chapter 15 | Verse 10] You blew with your wind. The sea covered them. They sank like lead in the mighty waters.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 11] Who is like you, LORD, among the gods? Who is like you, glorious in holiness, fearful in praises, doing wonders?
[WEB | EN | OT | Exodus | Chapter 15 | Verse 12] You stretched out your right hand. The earth swallowed them.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 13] “You, in your loving kindness, have led the people that you have redeemed. You have guided them in your strength to your holy habitation.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 14] The peoples have heard. They tremble. Pangs have taken hold of the inhabitants of Philistia.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 15] Then the chiefs of Edom were dismayed. Trembling takes hold of the mighty men of Moab. All the inhabitants of Canaan have melted away.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 16] Terror and dread falls on them. By the greatness of your arm they are as still as a stone, until your people pass over, LORD, until the people you have purchased pass over.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 17] You will bring them in, and plant them in the mountain of your inheritance, the place, LORD, which you have made for yourself to dwell in: the sanctuary, Lord, which your hands have established.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 18] The LORD will reign forever and ever.”
[WEB | EN | OT | Exodus | Chapter 15 | Verse 19] For the horses of Pharaoh went in with his chariots and with his horsemen into the sea, and the LORD brought back the waters of the sea on them; but the children of Israel walked on dry land in the middle of the sea.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 20] Miriam the prophetess, the sister of Aaron, took a tambourine in her hand; and all the women went out after her with tambourines and with dances.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 21] Miriam answered them, “Sing to the LORD, for he has triumphed gloriously. He has thrown the horse and his rider into the sea.”
[WEB | EN | OT | Exodus | Chapter 15 | Verse 22] Moses led Israel onward from the Red Sea, and they went out into the wilderness of Shur; and they went three days in the wilderness, and found no water.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 23] When they came to Marah, they couldn’t drink from the waters of Marah, for they were bitter. Therefore its name was called Marah.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 24] The people murmured against Moses, saying, “What shall we drink?”
[WEB | EN | OT | Exodus | Chapter 15 | Verse 25] Then he cried to the LORD. The LORD showed him a tree, and he threw it into the waters, and the waters were made sweet. There he made a statute and an ordinance for them, and there he tested them.
[WEB | EN | OT | Exodus | Chapter 15 | Verse 26] He said, “If you will diligently listen to the LORD your God’s voice, and will do that which is right in his eyes, and will pay attention to his commandments, and keep all his statutes, I will put none of the diseases on you which I have put on the Egyptians; for I am the LORD who heals you.”
[WEB | EN | OT | Exodus | Chapter 15 | Verse 27] They came to Elim, where there were twelve springs of water and seventy palm trees. They encamped there by the waters.
