[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 1] Give ear, O heavens, to my voice; let the earth take note of the words of my mouth:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 2] My teaching is dropping like rain, coming down like dew on the fields; like rain on the young grass and showers on the garden plants:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 3] For I will give honour to the name of the Lord: let our God be named great.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 4] He is the Rock, complete is his work; for all his ways are righteousness: a God without evil who keeps faith, true and upright is he.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 5] They have become false, they are not his children, the mark of sin is on them; they are an evil and hard-hearted generation.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 6] Is this your answer to the Lord, O foolish people and unwise? Is he not your father who has given you life? He has made you and given you your place.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 7] Keep in mind the days of the past, give thought to the years of generations gone by: go to your father and he will make it clear to you, to the old men and they will give you the story.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 8] When the Most High gave the nations their heritage, separating into groups the children of men, he had the limits of the peoples marked out, keeping in mind the number of the children of Israel.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 9] For the Lord's wealth is his people; Jacob is the land of his heritage.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 10] He came to him in the waste land, in the unpeopled waste of sand: putting his arms round him and caring for him, he kept him as the light of his eye.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 11] As an eagle, teaching her young to make their flight, with her wings outstretched over them, takes them up on her strong feathers:
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 12] So the Lord only was his guide, no other god was with him.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 13] He put him on the high places of the earth, his food was the increase of the field; honey he gave him out of the rock and oil out of the hard rock;
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 14] Butter from his cows and milk from his sheep, with fat of lambs and sheep of Bashan, and goats, and the heart of the grain; and for your drink, wine from the blood of the grape.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 15] But Jeshurun became fat and would not be controlled: you have become fat, you are thick and full of food: then he was untrue to the God who made him, giving no honour to the Rock of his salvation.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 16] The honour which was his they gave to strange gods; by their disgusting ways he was moved to wrath.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 17] They made offerings to evil spirits which were not God, to gods who were strange to them, which had newly come up, not feared by your fathers.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 18] You have no thought for the Rock, your father, you have no memory of the God who gave you birth.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 19] And the Lord saw with disgust the evil-doing of his sons and daughters.
[BBE | EN | OT | Deuteronomy | Chapter 32 | Verse 20] And he said, My face will be veiled from them, I will see what their end will be: for they are an uncontrolled generation, children in whom is no faith.
