[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 1] How beautiful are your feet in sandals, prince’s daughter! Your rounded thighs are like jewels, the work of the hands of a skillful workman.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 2] Your body is like a round goblet, no mixed wine is wanting. Your waist is like a heap of wheat, set about with lilies.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 3] Your two breasts are like two fawns, that are twins of a roe.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 4] Your neck is like an ivory tower. Your eyes are like the pools in Heshbon by the gate of Bathrabbim. Your nose is like the tower of Lebanon which looks toward Damascus.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 5] Your head on you is like Carmel. The hair of your head like purple. The king is held captive in its tresses.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 6] How beautiful and how pleasant you are, love, for delights!
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 7] This, your stature, is like a palm tree, your breasts like its fruit.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 8] I said, “I will climb up into the palm tree. I will take hold of its fruit.” Let your breasts be like clusters of the vine, the smell of your breath like apples.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 9] Your mouth is like the best wine, that goes down smoothly for my beloved, gliding through the lips of those who are asleep.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 10] I am my beloved’s. His desire is toward me.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 11] Come, my beloved! Let’s go out into the field. Let’s lodge in the villages.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 12] Let’s go early up to the vineyards. Let’s see whether the vine has budded, its blossom is open, and the pomegranates are in flower. There I will give you my love.
[WEB | EN | OT | Song of Solomon | Chapter 7 | Verse 13] The mandrakes produce fragrance. At our doors are all kinds of precious fruits, new and old, which I have stored up for you, my beloved.
