[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 1] In the hundred forty and ninth year tidings were brought to Judas and his company that Antiochus Eupator was coming with great multitudes against Judea,
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 2] and with him Lysias his guardian and chancellor, each having a Greek force, a hundred and ten thousand footmen, and five thousand and three hundred horsemen, and two and twenty elephants, and three hundred chariots armed with scythes.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 3] And Menelaus also joined himself with them, and with great dissimulation encouraged Antiochus, not for the saving of his country, but because he thought that he would be set over the government.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 4] But the King of kings stirred up the passion of Antiochus against the wicked wretch; and when Lysias informed him that this man was the cause of all the evils, the king commanded to bring him unto Berea, and to put him to death after the manner of that place.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 5] Now there is in that place a tower of fifty cubits high, full of ashes, and it had all round it a gallery descending sheer on every side into the ashes.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 6] Here him that is guilty of sacrilege, or hath attained a preeminence in any other evil deeds, they all push forward into destruction.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 7] By such a fate it befell the breaker of the law, Menelaus, to die, without obtaining so much as a grave in the earth, and that right justly;
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 8] for inasmuch as he had perpetrated many sins against the altar, whose fire and whose ashes were holy, in ashes did he receive his death.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 9] Now the king, infuriated in spirit, was coming with intent to inflict on the Jews the very worst of the sufferings that had befallen them in his father’s time.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 10] But when Judas heard of these things, he gave charge to the multitude to call upon the Lord day and night, beseeching him, if ever at any other time, so now to succor them that were at the point to be deprived of the law and their country and the holy temple,
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 11] and not to suffer the people that had been but now a little while revived to fall into the hands of those profane heathen.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 12] So when they had all done the same thing together, beseeching the merciful Lord with weeping and fastings and prostration for three days without ceasing, Judas exhorted them and commanded they should join him for service.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 13] And having gone apart with the elders he resolved that, before the king’s army should enter into Judea and make themselves masters of the city, they should go forth and try the matter in fight by the help of God.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 14] And committing the decision to the Lord of the world, and exhorting them that were with him to contend nobly even unto death for laws, temple, city, country, commonwealth, he pitched his camp by Modein.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 15] And given out to his men the watchword, VICTORY IS GOD’S, with a chosen body of the bravest young men he fell upon the camp by night and penetrated to the king’s tent, and slew of the army as many as two thousand men, and brought down the chiefest elephant with him that was in the tower upon him.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 16] And at last they filled the army with terror and alarm, and departed with good success.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 17] And this had been accomplished when the day was but now dawning, because of the Lord’s protection that gave Judas help.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 18] But the king, having had a taste of the exceeding boldness of the Jews, made attempts by stratagem upon their positions,
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 19] and upon a strong fortress of the Jews at Beth-zur; he advanced, was turned back, failed, was defeated,
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 20] And Judas conveyed such things as were necessary unto them that were within.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 21] But Rhodocus, from the Jewish ranks, made known to the enemy the secrets of his countrymen. He was sought out, and taken, and shut up in prison.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 22] The king treated with them in Beth-zur the second time, gave his hand, took theirs, departed, attacked the forces of Judas, was put to the worse,
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 23] heard that Philip who had been left as chancellor in Antioch had become reckless, was confounded, made to the Jews an overture of peace, submitted himself and sware to acknowledge all their rights, came to terms with them and offered sacrifice, honored the sanctuary and the place,
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 24] showed kindness and graciously received Maccabeus, left Hegemonides governor from Ptolemais even unto the Gerrenians,
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 25] came to Ptolemais. The men of Ptolemais were displeased at the treaty, for they had exceeding great indignation against the Jews: they desired to annul the articles of the agreement.
[ASV | EN | OT | 2 Maccabees | Chapter 13 | Verse 26] Lysias came forward to speak, made the best defense that was possible, persuaded, pacified, made them well affected, departed unto Antioch. This was the issue of the inroad and departure of the king.
