[ERV | EN | OT | Ezra | Chapter 10 | Verse 1] Now while Ezra prayed, and made confession, weeping and casting himself down before the house of God, there was gathered together unto him out of Israel a very great congregation of men and women and children: for the people wept very sore.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 2] And Shecaniah the son of Jehiel, one of the sons of Elam, answered and said unto Ezra, We have trespassed against our God, and have married strange women of the peoples of the land: yet now there is hope for Israel concerning this thing.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 3] Now therefore let us make a covenant with our God to put away all the wives, and such as are born of them, according to the counsel of my lord, and of those that tremble at the commandment of our God; and let it be done according to the law.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 4] Arise; for the matter belongeth unto thee, and we are with thee: be of good courage, and do it.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 5] Then arose Ezra, and made the chiefs of the priests, the Levites, and all Israel, to swear that they would do according to this word. So they sware.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 6] Then Ezra rose up from before the house of God, and went into the chamber of Jehohanan the son of Eliashib: and when he came thither, he did eat no bread, nor drink water: for he mourned because of the trespass of them of the captivity.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 7] And they made proclamation throughout Judah and Jerusalem unto all the children of the captivity, that they should gather themselves together unto Jerusalem;
[ERV | EN | OT | Ezra | Chapter 10 | Verse 8] and that whosoever came not within three days, according to the counsel of the princes and the elders, all his substance should be forfeited, and himself separated from the congregation of the captivity.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 9] Then all the men of Judah and Benjamin gathered themselves together unto Jerusalem within the three days; it was the ninth month, on the twentieth day of the month: and all the people sat in the broad place before the house of God, trembling because of this matter, and for the great rain.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 10] And Ezra the priest stood up, and said unto them, Ye have trespassed, and have married strange women, to increase the guilt of Israel.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 11] Now therefore make confession unto the LORD, the God of your fathers, and do his pleasure: and separate yourselves from the peoples of the land, and from the strange women.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 12] Then all the congregation answered and said with a loud voice, as thou hast said concerning us, so must we do.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 13] But the people are many, and it is a time of much rain, and we are not able to stand without, neither is this a work of one day or two: for we have greatly transgressed in this matter.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 14] Let now our princes be appointed for all the congregation, and let all them that are in our cities which have married strange women come at appointed times, and with them the elders of every city, and the judges thereof, until the fierce wrath of our God be turned from us, until this matter be despatched.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 15] Only Jonathan the son of Asahel and Jahzeiah the son of Tikvah stood up against this matter: and Meshullam and Shabbethai the Levite helped them.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 16] And the children of the captivity did so. And Ezra the priest, with certain heads of fathers’ houses, after their fathers’ houses, and all of them by their names, were separated; and they sat down in the first day of the tenth month to examine the matter.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 17] And they made an end with all the men that had married strange women by the first day of the first month.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 18] And among the sons of the priests there were found that had married strange women: namely, of the sons of Jeshua, the son of Jozadak, and his brethren, Maaseiah, and Eliezer, and Jarib, and Gedaliah.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 19] And they gave their hand that they would put away their wives; and being guilty, they offered a ram of the flock for their guilt.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 20] And of the sons of Immer; Hanani and Zebadiah.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 21] And of the sons of Harim; Maaseiah, and Elijah, and Shemaiah, and Jehiel, and Uzziah.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 22] And of the sons of Pashhur; Elioenai, Maaseiah, Ishmael, Nethanel, Jozabad, and Elasah.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 23] And of the Levites; Jozabad, and Shimei, and Kelaiah ( the same is Kelita), Pethahiah, Judah, and Eliezer.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 24] And of the singers; Eliashib; and of the porters; Shallum, and Telem, and Uri.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 25] And of Israel: of the sons of Parosh; Ramiah, and Izziah, and Malchijah, and Mijamin, and Eleazar, and Malchijah, and Benaiah.
[ERV | EN | OT | Ezra | Chapter 10 | Verse 26] And of the sons of Elam; Mattaniah, Zechariah, and Jehiel, and Abdi, and Jeremoth, and Elijah.
