[IRV | PA | OT | Joshua | Chapter 23 | Verse 1] ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਜਦ ਯਹੋਵਾਹ ਨੇ ਬਹੁਤੇ ਦਿਨਾਂ ਦੇ ਪਿੱਛੋਂ ਇਸਰਾਏਲ ਨੂੰ ਉਹਨਾਂ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਦੇ ਵੈਰੀਆਂ ਤੋਂ ਸੁੱਖ ਦਿੱਤਾ ਅਤੇ ਯਹੋਸ਼ੁਆ ਬੁੱਢਾ ਅਤੇ ਵੱਡੀ ਉਮਰ ਦਾ ਹੋ ਗਿਆ।
[IRV | PA | OT | Joshua | Chapter 23 | Verse 2] ਤਾਂ ਯਹੋਸ਼ੁਆ ਨੇ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਬਜ਼ੁਰਗਾਂ, ਸਰਦਾਰਾਂ, ਨਿਆਂਈਆਂ ਅਤੇ ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਸੱਦ ਕੇ ਆਖਿਆ, ਮੈਂ ਬੁੱਢਾ ਅਤੇ ਵੱਡੀ ਉਮਰ ਦਾ ਹੋ ਗਿਆ ਹਾਂ।
[IRV | PA | OT | Joshua | Chapter 23 | Verse 3] ਜੋ ਕੁਝ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਇਨ੍ਹਾਂ ਸਾਰੀਆਂ ਕੌਮਾਂ ਨਾਲ ਤੁਹਾਡੇ ਕਾਰਨ ਕੀਤਾ ਤੁਸੀਂ ਵੇਖ ਲਿਆ ਹੈ ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਹੀ ਤੁਹਾਡੇ ਲਈ ਲੜਿਆ ਹੈ।
[IRV | PA | OT | Joshua | Chapter 23 | Verse 4] ਵੇਖੋ, ਮੈਂ ਤੁਹਾਡੇ ਲਈ ਇਨ੍ਹਾਂ ਬਾਕੀ ਦੀਆਂ ਕੌਮਾਂ ਨੂੰ ਤੁਹਾਡੀਆਂ ਗੋਤਾਂ ਅਨੁਸਾਰ ਮਿਲਖ਼ ਵਿੱਚ ਵੰਡ ਦਿੱਤਾ ਹੈ ਅਰਥਾਤ ਯਰਦਨ ਤੋਂ ਵੱਡੇ ਸਮੁੰਦਰ ਤੱਕ ਸੂਰਜ ਦੇ ਲਹਿੰਦੇ ਪਾਸੇ ਵੱਲ ਨੂੰ ਸਾਰੀਆਂ ਕੌਮਾਂ ਸਣੇ ਜਿਹੜੀਆਂ ਮੈਂ ਵੱਢ ਛੱਡੀਆਂ ਸਨ
[IRV | PA | OT | Joshua | Chapter 23 | Verse 5] ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਹੀ ਉਹਨਾਂ ਨੂੰ ਤੁਹਾਡੇ ਅੱਗੋਂ ਕੱਢ ਦੇਵੇਗਾ ਤਦ ਤੁਸੀਂ ਉਹਨਾਂ ਦੇ ਦੇਸ ਉੱਤੇ ਕਬਜ਼ਾ ਕਰ ਲਓਗੇ ਜਿਵੇਂ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਤੁਹਾਡੇ ਨਾਲ ਬਚਨ ਕੀਤਾ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 23 | Verse 6] ਸੋ ਬਹੁਤ ਤਕੜੇ ਹੋਵੋ ਅਤੇ ਮੂਸਾ ਦੀ ਬਿਵਸਥਾ ਦੀ ਪੋਥੀ ਦੀ ਸਾਰੀ ਲਿਖਤ ਨੂੰ ਪੂਰਾ ਕਰ ਕੇ ਪਾਲਨਾ ਕਰੋ ਤਾਂ ਜੋ ਤੁਸੀਂ ਉਸ ਤੋਂ ਸੱਜੇ ਖੱਬੇ ਨਾ ਮੁੜੋ
[IRV | PA | OT | Joshua | Chapter 23 | Verse 7] ਇਸ ਲਈ ਕਿ ਤੁਸੀਂ ਇਨ੍ਹਾਂ ਕੌਮਾਂ ਦੇ ਵਿੱਚ ਨਾ ਵੜੋ ਜਿਹੜੀਆਂ ਤੁਹਾਡੇ ਵਿੱਚ ਬਾਕੀ ਰਹਿ ਗਈਆਂ ਹਨ ਅਤੇ ਤੁਸੀਂ ਉਹਨਾਂ ਦੇ ਦੇਵਤਿਆਂ ਦਾ ਨਾਮ ਵੀ ਜੁਬਾਨ ਤੇ ਨਾ ਲਿਆਓ, ਨਾ ਉਹਨਾਂ ਦੀ ਸਹੁੰ ਦੇਵੋ, ਨਾ ਉਹਨਾਂ ਦੀ ਉਪਾਸਨਾ ਕਰੋ ਅਤੇ ਨਾ ਉਹਨਾਂ ਦੇ ਅੱਗੇ ਮੱਥਾ ਟੇਕੋ।
[IRV | PA | OT | Joshua | Chapter 23 | Verse 8] ਸਗੋਂ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਨਾਲ ਜੁੜ੍ਹੇ ਰਹੋ ਜਿਵੇਂ ਅੱਜ ਦੇ ਦਿਨ ਤੱਕ ਤੁਸੀਂ ਕੀਤਾ।
[IRV | PA | OT | Joshua | Chapter 23 | Verse 9] ਯਹੋਵਾਹ ਨੇ ਤੁਹਾਡੇ ਅੱਗੋਂ ਵੱਡੀਆਂ ਅਤੇ ਬਲਵੰਤ ਕੌਮਾਂ ਨੂੰ ਕੱਢ ਛੱਡਿਆ ਹੈ ਪਰ ਤੁਹਾਡੇ ਵਿਖੇ ਇਹ ਹੈ ਕਿ ਅੱਜ ਦੇ ਦਿਨ ਤੱਕ ਤੁਹਾਡੇ ਅੱਗੇ ਕੋਈ ਮਨੁੱਖ ਠਹਿਰ ਨਹੀਂ ਸਕਿਆ
[IRV | PA | OT | Joshua | Chapter 23 | Verse 10] ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਇੱਕ ਮਨੁੱਖ ਹਜ਼ਾਰ ਨੂੰ ਭਜਾਵੇਗਾ ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਤੁਹਾਡਾ ਪਰਮੇਸ਼ੁਰ ਹੀ ਤੁਹਾਡੇ ਲਈ ਲੜਦਾ ਹੈ ਜਿਵੇਂ ਉਸ ਤੁਹਾਡੇ ਨਾਲ ਬਚਨ ਕੀਤਾ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 23 | Verse 11] ਤੁਸੀਂ ਆਪਣੀਆਂ ਜਾਨਾਂ ਲਈ ਬਹੁਤ ਸੁਚੇਤ ਰਹੋ ਅਤੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਨਾਲ ਪਿਆਰ ਕਰੋ।
