[IRV | PA | OT | Joshua | Chapter 19 | Verse 1] ਦੂਜੀ ਪਰਚੀ ਸ਼ਿਮਓਨ ਲਈ ਅਰਥਾਤ ਸ਼ਿਮਓਨੀਆਂ ਦੇ ਗੋਤ ਲਈ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਨਿੱਕਲੀ ਅਤੇ ਉਹਨਾਂ ਦੀ ਵਿਰਾਸਤ ਯਹੂਦੀਆਂ ਦੇ ਹਿੱਸੇ ਵਿੱਚ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 2] ਅਤੇ ਉਹਨਾਂ ਦਾ ਹਿੱਸਾ ਇਹ ਸੀ, ਬਏਰਸ਼ਬਾ, ਸ਼ਬਾ ਅਤੇ ਮੋਲਾਦਾਹ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 3] ਅਤੇ ਹਸਰਸ਼ੂਆਲ ਅਤੇ ਬਾਲਾਹ ਅਤੇ ਆਸਮ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 4] ਅਲਤੋਲਦ ਅਤੇ ਬਥੂਲ ਅਤੇ ਹਾਰਮਾਹ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 5] ਸਿਕਲਗ ਅਤੇ ਬੈਤ ਮਰਕਾਬੋਥ ਅਤੇ ਹਸਰ ਸੂਸਾਹ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 6] ਬੈਤ ਲਬਾਓਥ ਅਤੇ ਸਾਰੂਹਨ, ਇਹ ਤੇਰ੍ਹਾਂ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 7] ਏਨ ਰਿੰਮੋਨ ਅਤੇ ਅਥਰ ਅਤੇ ਆਸ਼ਾਨ, ਇਹ ਚਾਰੇ ਸ਼ਹਿਰ ਅਤੇ ਉਹਨਾਂ ਦੇ ਪਿੰਡ
[IRV | PA | OT | Joshua | Chapter 19 | Verse 8] ਨਾਲ ਹੀ ਸਾਰੇ ਪਿੰਡ ਜਿਹੜੇ ਇਨ੍ਹਾਂ ਸ਼ਹਿਰਾਂ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਸਨ। ਬਆਲਥ-ਬਏਰ ਦੱਖਣੀ ਰਾਮਥ ਤੱਕ, ਇਹ ਸ਼ਿਮਓਨੀਆਂ ਦੇ ਗੋਤ ਦੀ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਮਿਲਖ਼ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 9] ਯਹੂਦੀਆਂ ਦੇ ਹਿੱਸੇ ਵਿੱਚੋਂ ਸ਼ਿਮਓਨੀਆਂ ਦੀ ਮਿਲਖ਼ ਸੀ ਕਿਉਂ ਜੋ ਯਹੂਦੀਆਂ ਦੀ ਵੰਡ ਉਹਨਾਂ ਲਈ ਵੱਧ ਸੀ। ਇਸ ਕਾਰਨ ਸ਼ਿਮਓਨੀਆਂ ਨੇ ਆਪਣੇ ਲਈ ਮਿਲਖ਼ ਉਹਨਾਂ ਦੀ ਮਿਲਖ਼ ਦੇ ਵਿੱਚੋਂ ਲਈ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 10] ਤੀਜੀ ਪਰਚੀ ਜ਼ਬੂਲੁਨੀਆਂ ਦਾ ਉਹਨਾਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਨਿੱਕਲੀ ਅਤੇ ਉਹਨਾਂ ਦੀ ਮਿਲਖ਼ ਦੀ ਹੱਦ ਸਾਰੀਦ ਤੱਕ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 19 | Verse 11] ਉਹਨਾਂ ਦੀ ਹੱਦ ਲਹਿੰਦੇ ਵੱਲ ਮਰਾਲਾਹ ਨੂੰ ਚੜ੍ਹੀ ਅਤੇ ਦੱਬਾਸਥ ਪਹੁੰਚ ਕੇ ਉਸ ਵਾਦੀ ਨੂੰ ਜਾ ਪਹੁੰਚੀ ਜਿਹੜੀ ਯਾਕਨੁਆਮ ਦੇ ਸਾਹਮਣੇ ਹੈ।
