[IRV | PA | OT | Joshua | Chapter 12 | Verse 1] ਇਹ ਉਹ ਦੇਸ ਦੇ ਰਾਜੇ ਹਨ, ਜਿਨ੍ਹਾਂ ਨੂੰ ਇਸਰਾਏਲੀਆਂ ਨੇ ਮਾਰਿਆ ਅਤੇ ਜਿਨ੍ਹਾਂ ਦੇ ਦੇਸ ਉੱਤੇ ਯਰਦਨ ਦੇ ਪਾਰ ਸੂਰਜ ਦੇ ਚੜ੍ਹਦੇ ਪਾਸੇ ਕਬਜ਼ਾ ਕਰ ਲਿਆ ਅਰਥਾਤ ਅਰਨੋਨ ਦੀ ਵਾਦੀ ਤੋਂ ਹਰਮੋਨ ਦੇ ਪਰਬਤ ਤੱਕ ਅਤੇ ਸਾਰਾ ਮੈਦਾਨ ਚੜ੍ਹਦੇ ਪਾਸੇ ਵੱਲ।
[IRV | PA | OT | Joshua | Chapter 12 | Verse 2] ਸੀਹੋਨ ਅਮੋਰੀਆਂ ਦਾ ਰਾਜਾ ਜਿਹੜਾ ਹਸ਼ਬੋਨ ਵਿੱਚ ਵੱਸਦਾ ਸੀ ਅਤੇ ਅਰੋਏਰ ਤੋਂ ਰਾਜ ਕਰਦਾ ਸੀ ਜਿਹੜਾ ਅਰਨੋਨ ਦੀ ਵਾਦੀ ਦੇ ਕੰਢੇ ਉੱਤੇ ਹੈ ਅਤੇ ਉਸ ਵਾਦੀ ਵਿੱਚ ਹੈ ਅਤੇ ਗਿਲਆਦ ਤੋਂ ਅੱਧ ਯਬੋਕ ਨਦੀ ਤੱਕ ਜਿਹੜੀ ਅੰਮੋਨੀਆਂ ਦੀ ਹੱਦ ਹੈ।
[IRV | PA | OT | Joshua | Chapter 12 | Verse 3] ਉਹ ਮੈਦਾਨ ਕਿੰਨਰਥ ਦੇ ਸਮੁੰਦਰ ਤੱਕ ਚੜ੍ਹਦੇ ਪਾਸੇ ਵੱਲ ਅਤੇ ਅਰਾਬਾਹ ਦੇ ਸਮੁੰਦਰ ਤੱਕ ਜਿਹੜਾ ਖਾਰਾ ਸਮੁੰਦਰ ਹੈ, ਪੂਰਬ ਵੱਲ ਬੈਤ ਯਸ਼ਿਮੋਥ ਦੇ ਰਾਹ ਉੱਤੇ ਅਤੇ ਦੱਖਣ ਵਿੱਚ ਪਿਸਗਾਹ ਦੀਆਂ ਢਾਲਾਂ ਹੇਠ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 4] ਅਤੇ ਬਾਸ਼ਾਨ ਦੇ ਰਾਜੇ ਓਗ ਦੀ ਹੱਦ ਜਿਹੜਾ ਰਫ਼ਾਈਆਂ ਦੇ ਬਕੀਏ ਦਾ ਸੀ, ਉਹ ਅਸ਼ਤਾਰੋਥ ਅਤੇ ਅਦਰਈ ਵਿੱਚ ਵੱਸਦਾ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 12 | Verse 5] ਹਰਮੋਨ ਪਰਬਤ ਉੱਤੇ ਅਤੇ ਸਲਕਾਹ ਵਿੱਚ ਅਤੇ ਸਾਰੇ ਬਾਸ਼ਾਨ ਵਿੱਚ ਗਸ਼ੂਰੀਆਂ ਅਤੇ ਮਆਕਾਥੀਆਂ ਦੀ ਹੱਦ ਤੱਕ ਰਾਜ ਕਰਦਾ ਸੀ ਨਾਲੇ ਗਿਲਆਦ ਦਾ ਅੱਧ ਜਿਹੜਾ ਹਸ਼ਬੋਨ ਦੇ ਰਾਜੇ ਸੀਹੋਨ ਦੀ ਹੱਦ ਹੈ।
[IRV | PA | OT | Joshua | Chapter 12 | Verse 6] ਯਹੋਵਾਹ ਦੇ ਦਾਸ ਮੂਸਾ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਨੇ ਉਹਨਾਂ ਨੂੰ ਮਾਰਿਆ ਅਤੇ ਯਹੋਵਾਹ ਦੇ ਦਾਸ ਮੂਸਾ ਨੇ ਉਹ ਨੂੰ ਰਊਬੇਨੀਆਂ, ਗਾਦੀਆਂ ਅਤੇ ਮਨੱਸ਼ਹ ਦੇ ਅੱਧੇ ਗੋਤ ਨੂੰ ਕਬਜ਼ਾ ਕਰਨ ਲਈ ਦਿੱਤਾ।
[IRV | PA | OT | Joshua | Chapter 12 | Verse 7] ਇਹ ਉਸ ਦੇਸ ਦੇ ਰਾਜੇ ਹਨ ਜਿਨ੍ਹਾਂ ਨੂੰ ਯਹੋਸ਼ੁਆ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਨੇ ਯਰਦਨ ਪਾਰ ਲਹਿੰਦੇ ਪਾਸੇ ਬਆਲ ਗਾਦ ਤੋਂ ਜਿਹੜਾ ਲਬਾਨੋਨ ਦੀ ਦੂਣ ਵਿੱਚ ਹੈ, ਹਾਲਾਕ ਪਰਬਤ ਤੱਕ ਜਿਹੜਾ ਸੇਈਰ ਵੱਲ ਚੜ੍ਹਦਾ ਹੈ ਮਾਰਿਆ। ਯਹੋਸ਼ੁਆ ਨੇ ਉਹ ਨੂੰ ਇਸਰਾਏਲ ਦੀਆਂ ਗੋਤਾਂ ਨੂੰ ਉਹਨਾਂ ਦੇ ਹਿੱਸਿਆਂ ਅਨੁਸਾਰ ਕਬਜ਼ਾ ਕਰਨ ਲਈ ਦੇ ਦਿੱਤਾ।
[IRV | PA | OT | Joshua | Chapter 12 | Verse 8] ਪਰਬਤ ਵਿੱਚ, ਬੇਟ ਵਿੱਚ, ਮੈਦਾਨ ਵਿੱਚ, ਢਾਲਾਂ ਵਿੱਚ, ਉਜਾੜ ਵਿੱਚ ਅਤੇ ਦੱਖਣ ਵਿੱਚ, ਹਿੱਤੀ, ਅਮੋਰੀ, ਕਨਾਨੀ, ਫ਼ਰਿੱਜ਼ੀ, ਹਿੱਵੀ ਅਤੇ ਯਬੂਸੀ।
[IRV | PA | OT | Joshua | Chapter 12 | Verse 9] ਯਰੀਹੋ ਦਾ ਰਾਜਾ ਇੱਕ, ਅਈ ਦਾ ਜਿਹੜਾ ਬੈਤਏਲ ਕੋਲ ਹੈ ਰਾਜਾ ਇੱਕ,
[IRV | PA | OT | Joshua | Chapter 12 | Verse 10] ਯਰੂਸ਼ਲਮ ਦਾ ਰਾਜਾ ਇੱਕ, ਹਬਰੋਨ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 11] ਯਰਮੂਥ ਦਾ ਰਾਜਾ ਇੱਕ, ਲਾਕੀਸ਼ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 12] ਅਗਲੋਨ ਦਾ ਰਾਜਾ ਇੱਕ, ਗਜ਼ਰ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 13] ਦਬੀਰ ਦਾ ਰਾਜਾ ਇੱਕ, ਗਦਰ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 14] ਹਾਰਮਾਹ ਦਾ ਰਾਜਾ ਇੱਕ, ਅਰਾਦ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 15] ਲਿਬਨਾਹ ਦਾ ਰਾਜਾ ਇੱਕ, ਅਦੁੱਲਾਮ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 16] ਮੱਕੇਦਾਹ ਦਾ ਰਾਜਾ ਇੱਕ, ਬੈਤਏਲ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 17] ਤੱਪੂਆਹ ਦਾ ਰਾਜਾ ਇੱਕ, ਹੇਫ਼ਰ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 18] ਅਫੇਕ ਦਾ ਰਾਜਾ ਇੱਕ, ਲੱਸ਼ਾਰੋਨ ਦਾ ਰਾਜਾ ਇੱਕ
[IRV | PA | OT | Joshua | Chapter 12 | Verse 19] ਮਾਦੋਨ ਦਾ ਰਾਜਾ ਇੱਕ, ਹਾਸੋਰ ਦਾ ਰਾਜਾ ਇੱਕ
