[IRV | PA | OT | Joshua | Chapter 4 | Verse 1] ਜਦ ਸਾਰੀ ਕੌਮ ਯਰਦਨ ਦੇ ਪਾਰ ਲੰਘ ਚੁੱਕੀ, ਤਦ ਯਹੋਵਾਹ ਨੇ ਯਹੋਸ਼ੁਆ ਨੂੰ ਆਖਿਆ
[IRV | PA | OT | Joshua | Chapter 4 | Verse 2] ਕਿ ਲੋਕਾਂ ਵਿੱਚੋਂ ਆਪਣੇ ਲਈ ਬਾਰਾਂ ਮਨੁੱਖ ਚੁਣ ਲਵੋ, ਹਰੇਕ ਗੋਤ ਵਿੱਚੋਂ ਇੱਕ ਮਨੁੱਖ
[IRV | PA | OT | Joshua | Chapter 4 | Verse 3] ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਹੁਕਮ ਦਿਓ ਕਿ ਤੁਸੀਂ ਯਰਦਨ ਦੇ ਵਿੱਚਕਾਰੋਂ ਉੱਥੋਂ ਜਿੱਥੇ ਜਾਜਕ ਪੱਕੇ ਪੈਰੀਂ ਖਲੋਤੇ ਰਹੇ ਸਨ ਆਪਣੇ ਲਈ ਬਾਰਾਂ ਪੱਥਰ ਚੁੱਕ ਲਵੋ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਆਪਣੇ ਨਾਲ ਲੈ ਜਾ ਕੇ ਉਸ ਜਗ੍ਹਾ ਵਿੱਚ ਰੱਖੋ ਜਿੱਥੇ ਅੱਜ ਦਿਨ ਰਾਤ ਵਸੇਰਾ ਕਰਨਾ ਹੈ।
[IRV | PA | OT | Joshua | Chapter 4 | Verse 4] ਤਦ ਯਹੋਸ਼ੁਆ ਨੇ ਉਹਨਾਂ ਬਾਰਾਂ ਮਨੁੱਖਾਂ ਨੂੰ ਸੱਦਿਆ ਜਿਨ੍ਹਾਂ ਨੂੰ ਉਸਨੇ ਇਸਰਾਏਲੀਆਂ ਵਿੱਚੋਂ ਇੱਕ-ਇੱਕ ਮਨੁੱਖ ਹਰ ਇੱਕ ਗੋਤ ਪਿੱਛੇ ਤਿਆਰ ਕੀਤਾ ਸੀ।
[IRV | PA | OT | Joshua | Chapter 4 | Verse 5] ਯਹੋਸ਼ੁਆ ਨੇ ਉਹਨਾਂ ਨੂੰ ਆਖਿਆ, ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਦੇ ਅੱਗੇ ਯਰਦਨ ਦੇ ਵਿੱਚ ਦੀ ਲੰਘ ਜਾਓ ਅਤੇ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਹਰ ਮਨੁੱਖ ਇਸਰਾਏਲੀਆਂ ਦੇ ਗੋਤਾਂ ਦੇ ਅਨੁਸਾਰ ਇੱਕ-ਇੱਕ ਪੱਥਰ ਆਪਣੇ ਮੋਢਿਆਂ ਉੱਤੇ ਚੁੱਕ ਲਵੇ।
[IRV | PA | OT | Joshua | Chapter 4 | Verse 6] ਇਸ ਲਈ ਤੁਹਾਡੇ ਵਿੱਚ ਇੱਕ ਨਿਸ਼ਾਨੀ ਹੋਵੇ ਜਦ ਤੁਹਾਡੀ ਸੰਤਾਨ ਆਉਣ ਵਾਲੇ ਸਮੇਂ ਪੁੱਛੇ ਕਿ ਇਹਨਾਂ ਪੱਥਰਾਂ ਦਾ ਕੀ ਮਤਲਬ ਹੈ?
[IRV | PA | OT | Joshua | Chapter 4 | Verse 7] ਤਦ ਤੁਸੀਂ ਉਹਨਾਂ ਨੂੰ ਆਖਣਾ ਕਿ ਯਹੋਵਾਹ ਦੇ ਨੇਮ ਦੇ ਸੰਦੂਕ ਦੇ ਅੱਗੇ ਯਰਦਨ ਦੇ ਪਾਣੀ ਵੱਖੋ-ਵੱਖ ਹੋ ਗਏ ਸਨ! ਜਦ ਉਹ ਯਰਦਨ ਤੋਂ ਪਾਰ ਲੰਘਿਆ ਤਾਂ ਯਰਦਨ ਦੇ ਪਾਣੀ ਵੱਖੋ-ਵੱਖ ਹੋ ਗਏ, ਇਸ ਲਈ ਇਹ ਪੱਥਰ ਸਦਾ ਲਈ ਇਸਰਾਏਲੀਆਂ ਲਈ ਯਾਦਗਾਰੀ ਲਈ ਹੋਣਗੇ।
[IRV | PA | OT | Joshua | Chapter 4 | Verse 8] ਉਸ ਤੋਂ ਬਾਅਦ ਜਿਵੇਂ ਯਹੋਸ਼ੁਆ ਨੇ ਹੁਕਮ ਦਿੱਤਾ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਇਸਰਾਏਲੀਆਂ ਨੇ ਕੀਤਾ ਅਤੇ ਜਿਵੇਂ ਯਹੋਵਾਹ ਯਹੋਸ਼ੁਆ ਨਾਲ ਬੋਲਿਆ ਸੀ ਉਹਨਾਂ ਨੇ ਇਸਰਾਏਲੀਆਂ ਦੇ ਗੋਤਾਂ ਦੀ ਗਿਣਤੀ ਅਨੁਸਾਰ ਯਰਦਨ ਦੇ ਵਿੱਚੋਂ ਬਾਰਾਂ ਪੱਥਰ ਚੁੱਕ ਲਏ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਆਪਣੇ ਨਾਲ ਲੈ ਗਏ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਉੱਥੇ ਰੱਖ ਦਿੱਤਾ।
[IRV | PA | OT | Joshua | Chapter 4 | Verse 9] ਯਹੋਸ਼ੁਆ ਨੇ ਯਰਦਨ ਦੇ ਵਿੱਚ ਜਿੱਥੇ ਜਾਜਕਾਂ ਦੇ ਪੈਰ ਟਿਕੇ ਸਨ ਜਿਹੜੇ ਨੇਮ ਦੇ ਸੰਦੂਕ ਨੂੰ ਚੁੱਕਦੇ ਸਨ ਬਾਰਾਂ ਪੱਥਰ ਖੜੇ ਕੀਤੇ ਅਤੇ ਉਹ ਅੱਜ ਦੇ ਦਿਨ ਤੱਕ ਉੱਥੇ ਹਨ।
[IRV | PA | OT | Joshua | Chapter 4 | Verse 10] ਕਿਉਂ ਜੋ ਉਹ ਜਾਜਕ ਜਿਹੜੇ ਸੰਦੂਕ ਨੂੰ ਚੁੱਕੀ ਜਾਂਦੇ ਸਨ ਯਰਦਨ ਦੇ ਵਿੱਚਕਾਰ ਖੜੇ ਰਹੇ ਜਦ ਤੱਕ ਸਭ ਕੁਝ ਪੂਰਾ ਨਾ ਹੋ ਗਿਆ ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਯਹੋਸ਼ੁਆ ਨੂੰ ਲੋਕਾਂ ਨਾਲ ਬੋਲਣ ਦਾ ਹੁਕਮ ਦਿੱਤਾ ਸੀ ਅਰਥਾਤ ਉਹਨਾਂ ਸਾਰਿਆਂ ਹੁਕਮਾਂ ਅਨੁਸਾਰ ਜਿਹੜੇ ਮੂਸਾ ਨੇ ਯਹੋਸ਼ੁਆ ਨੂੰ ਦਿੱਤੇ ਸਨ ਤਾਂ ਲੋਕਾਂ ਨੇ ਛੇਤੀ ਕੀਤੀ ਅਤੇ ਪਾਰ ਲੰਘ ਗਏ।
[IRV | PA | OT | Joshua | Chapter 4 | Verse 11] ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਜਦ ਸਾਰੇ ਲੋਕ ਪਾਰ ਲੰਘ ਚੁੱਕੇ ਤਦ ਯਹੋਵਾਹ ਦਾ ਸੰਦੂਕ ਅਤੇ ਜਾਜਕ ਲੋਕਾਂ ਦੇ ਸਾਹਮਣੇ ਪਾਰ ਲੰਘੇ।
