[IRV | PA | OT | Joshua | Chapter 3 | Verse 1] ਅਗਲੇ ਦਿਨ ਯਹੋਸ਼ੁਆ ਸਵੇਰੇ ਜਲਦੀ ਉੱਠਿਆ ਤਾਂ ਉਹ ਅਤੇ ਸਾਰੇ ਇਸਰਾਏਲੀ ਸ਼ਿੱਟੀਮ ਤੋਂ ਕੂਚ ਕਰਕੇ ਯਰਦਨ ਕੋਲ ਆਏ ਅਤੇ ਉਹ ਪਾਰ ਲੰਘਣ ਤੋਂ ਪਹਿਲਾਂ ਉੱਥੇ ਠਹਿਰ ਗਏ l
[IRV | PA | OT | Joshua | Chapter 3 | Verse 2] ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਤਿੰਨ ਦਿਨਾਂ ਦੇ ਪਿੱਛੋਂ ਅਧਿਕਾਰੀ ਡੇਰੇ ਦੇ ਵਿਚਕਾਰ ਦੀ ਲੰਘੇ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 3] ਉਹਨਾਂ ਨੇ ਲੋਕਾਂ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਕਿ ਜਿਸ ਵੇਲੇ ਤੁਸੀਂ ਲੇਵੀ ਜਾਜਕਾਂ ਨੂੰ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨੇਮ ਦਾ ਸੰਦੂਕ ਚੁੱਕਿਆ ਹੋਇਆ ਵੇਖੋ ਤਾਂ ਤੁਸੀਂ ਆਪਣੇ ਸਥਾਨ ਤੋਂ ਕੂਚ ਕਰ ਕੇ ਉਹ ਦੇ ਪਿੱਛੇ-ਪਿੱਛੇ ਚੱਲਿਓ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 4] ਪਰ ਤੁਹਾਡੇ ਅਤੇ ਉਹ ਦੇ ਵਿਚਕਾਰ ਮਿਣਤੀ ਦੇ ਦੋ ਕੁ ਹਜ਼ਾਰ ਹੱਥ ਦਾ ਫ਼ਾਸਲਾ ਹੋਵੇ ਅਤੇ ਉਹ ਦੇ ਨੇੜੇ ਨਾ ਜਾਇਓ ਤਾਂ ਜੋ ਤੁਸੀਂ ਉਹ ਰਾਹ ਨੂੰ ਜਿੱਥੋਂ ਦੀ ਤੁਸੀਂ ਤੁਰਨਾ ਹੈ ਜਾਣੋ ਇਸ ਲਈ ਕਿ ਤੁਸੀਂ ਅੱਜ ਤੋਂ ਪਹਿਲਾਂ ਉਸ ਰਾਹ ਤੋਂ ਕਦੀ ਨਹੀਂ ਲੰਘੇ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 5] ਯਹੋਸ਼ੁਆ ਨੇ ਲੋਕਾਂ ਨੂੰ ਆਖਿਆ ਕਿ ਆਪਣੇ ਆਪ ਨੂੰ ਪਵਿੱਤਰ ਕਰੋ, ਕਿਉਂ ਜੋ ਕੱਲ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਵਿੱਚ ਅਦਭੁੱਤ ਕੰਮ ਕਰੇਗਾ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 6] ਫਿਰ ਯਹੋਸ਼ੁਆ ਨੇ ਜਾਜਕਾਂ ਨੂੰ ਆਖਿਆ ਕਿ ਤੁਸੀਂ ਨੇਮ ਦੇ ਸੰਦੂਕ ਨੂੰ ਚੁੱਕ ਕੇ ਲੋਕਾਂ ਦੇ ਅੱਗੇ-ਅੱਗੇ ਪਾਰ ਲੰਘੋ ਤਾਂ ਉਹਨਾਂ ਨੇ ਨੇਮ ਦੇ ਸੰਦੂਕ ਨੂੰ ਚੁੱਕਿਆ ਅਤੇ ਲੋਕਾਂ ਦੇ ਅੱਗੇ-ਅੱਗੇ ਚੱਲ ਪਏ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 7] ਤਦ ਯਹੋਵਾਹ ਨੇ ਯਹੋਸ਼ੁਆ ਨੂੰ ਆਖਿਆ, ਅੱਜ ਦੇ ਦਿਨ ਮੈਂ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਵੇਖਦਿਆਂ ਤੈਨੂੰ ਵਡਿਆਈ ਦੇਣ ਦੀ ਸ਼ੁਰੂਆਤ ਕਰਾਂਗਾ ਇਸ ਲਈ ਕਿ ਉਹ ਜਾਣਨ ਕਿ ਜਿਵੇਂ ਮੈਂ ਮੂਸਾ ਦੇ ਸੰਗ ਸੀ ਤਿਵੇਂ ਮੈਂ ਤੇਰੇ ਸੰਗ ਵੀ ਹਾਂ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 8] ਤੂੰ ਉਹਨਾਂ ਜਾਜਕਾਂ ਨੂੰ ਜਿਹੜੇ ਨੇਮ ਦੇ ਸੰਦੂਕ ਨੂੰ ਚੁੱਕਦੇ ਹਨ ਹੁਕਮ ਕਰ ਕਿ ਜਦ ਤੁਸੀਂ ਯਰਦਨ ਦੇ ਪਾਣੀ ਦੇ ਕੰਡੇ ਉੱਤੇ ਪਹੁੰਚੇ ਤਾਂ ਤੁਸੀਂ ਯਰਦਨ ਦੇ ਵਿੱਚ ਖੜ੍ਹੇ ਹੋ ਜਾਣਾ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 9] ਇਸ ਲਈ ਯਹੋਸ਼ੁਆ ਨੇ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਆਖਿਆ, ਇੱਧਰ ਆਓ ਅਤੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀਆਂ ਗੱਲਾਂ ਸੁਣੋ
[IRV | PA | OT | Joshua | Chapter 3 | Verse 10] ਤਦ ਯਹੋਸ਼ੁਆ ਨੇ ਆਖਿਆ ਕਿ ਹੁਣ ਤੁਸੀਂ ਇਸ ਤੋਂ ਜਾਣੋਗੇ ਕਿ ਜਿਉਂਦਾ ਪਰਮੇਸ਼ੁਰ ਤੁਹਾਡੇ ਵਿਚਕਾਰ ਹੈ ਅਤੇ ਉਹ ਕਨਾਨੀਆਂ, ਹਿੱਤੀਆਂ, ਹਿੱਵੀਆਂ, ਫ਼ਰਿੱਜ਼ੀਆਂ, ਗਿਰਗਾਸ਼ੀਆਂ, ਅਮੋਰੀਆਂ ਅਤੇ ਯਬੂਸੀਆਂ ਨੂੰ ਤੁਹਾਡੇ ਅੱਗੋਂ ਉਹਨਾਂ ਦੇ ਦੇਸ ਵਿੱਚੋਂ ਜ਼ਰੂਰ ਬਾਹਰ ਕੱਢ ਦੇਵੇਗਾ।
[IRV | PA | OT | Joshua | Chapter 3 | Verse 11] ਵੇਖੋ, ਸਾਰੀ ਧਰਤੀ ਦੇ ਪ੍ਰਭੂ ਦੇ ਨੇਮ ਦਾ ਸੰਦੂਕ ਤੁਹਾਡੇ ਅੱਗੇ ਯਰਦਨ ਦੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘਦਾ ਹੈ।
