[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 1] Διό, ἀφέντες τὸν τῆς ἀρχῆς τοῦ Χριστοῦ λόγον, ἐπὶ τὴν τελειότητα φερώμεθα, μὴ πάλιν θεμέλιον καταβαλλόμενοι μετανοίας ἀπὸ νεκρῶν ἔργων, καὶ πίστεως ἐπὶ Θεόν,
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 2] βαπτισμῶν διδαχῆς, ἐπιθέσεώς τε χειρῶν, ἀναστάσεώς τε νεκρῶν, καὶ κρίματος αἰωνίου.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 3] Καὶ τοῦτο ποιήσομεν, ἐάνπερ ἐπιτρέπῃ ὁ Θεός.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 4] Ἀδύνατον γὰρ τοὺς ἅπαξ φωτισθέντας, γευσαμένους τε τῆς δωρεᾶς τῆς ἐπουρανίου, καὶ μετόχους γενηθέντας πνεύματος ἁγίου,
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 5] καὶ καλὸν γευσαμένους Θεοῦ ῥῆμα, δυνάμεις τε μέλλοντος αἰῶνος,
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 6] καὶ παραπεσόντας, πάλιν ἀνακαινίζειν εἰς μετάνοιαν, ἀνασταυροῦντας ἑαυτοῖς τὸν υἱὸν τοῦ Θεοῦ καὶ παραδειγματίζοντας.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 7] Γῆ γὰρ ἡ πιοῦσα τὸν ἐπ᾿ αὐτῆς πολλάκις ἐρχόμενον ὑετόν, καὶ τίκτουσα βοτάνην εὔθετον ἐκείνοις δι᾿ οὓς καὶ γεωργεῖται, μεταλαμβάνει εὐλογίας ἀπὸ τοῦ Θεοῦ·
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 8] ἐκφέρουσα δὲ ἀκάνθας καὶ τριβόλους, ἀδόκιμος καὶ κατάρας ἐγγύς, ἧς τὸ τέλος εἰς καῦσιν.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 9] Πεπείσμεθα δὲ περὶ ὑμῶν, ἀγαπητοί, τὰ κρείττονα καὶ ἐχόμενα σωτηρίας, εἰ καὶ οὕτω λαλοῦμεν·
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 10] οὐ γὰρ ἄδικος ὁ Θεὸς ἐπιλαθέσθαι τοῦ ἔργου ὑμῶν, καὶ τοῦ κόπου τῆς ἀγάπης ἧς + 6:10 ἐνεδείξασθε ¦ ἐνδείξασθε SCR ἐνεδείξασθε εἰς τὸ ὄνομα αὐτοῦ, διακονήσαντες τοῖς ἁγίοις καὶ διακονοῦντες.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 11] Ἐπιθυμοῦμεν δὲ ἕκαστον ὑμῶν τὴν αὐτὴν ἐνδείκνυσθαι σπουδὴν πρὸς τὴν πληροφορίαν τῆς ἐλπίδος ἄχρι τέλους·
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 12] ἵνα μὴ νωθροὶ γένησθε, μιμηταὶ δὲ τῶν διὰ πίστεως καὶ μακροθυμίας κληρονομούντων τὰς ἐπαγγελίας.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 13] Τῷ γὰρ Ἀβραὰμ ἐπαγγειλάμενος ὁ Θεός, ἐπεὶ κατ᾿ οὐδενὸς εἶχε μείζονος ὀμόσαι, ὤμοσε καθ᾿ ἑαυτοῦ,
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 14] λέγων, Ἦ μὴν εὐλογῶν εὐλογήσω σε, καὶ πληθύνων πληθυνῶ σε.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 15] Καὶ οὕτω μακροθυμήσας ἐπέτυχε τῆς ἐπαγγελίας.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 16] Ἄνθρωποι μὲν γὰρ κατὰ τοῦ μείζονος ὀμνύουσι, καὶ πάσης αὐτοῖς ἀντιλογίας πέρας εἰς βεβαίωσιν ὁ ὅρκος.
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 17] Ἐν ᾧ περισσότερον βουλόμενος ὁ Θεὸς ἐπιδεῖξαι τοῖς κληρονόμοις τῆς ἐπαγγελίας τὸ ἀμετάθετον τῆς βουλῆς αὐτοῦ, ἐμεσίτευσεν ὅρκῳ,
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 18] ἵνα διὰ δύο πραγμάτων ἀμεταθέτων, ἐν οἷς ἀδύνατον ψεύσασθαι Θεόν, ἰσχυρὰν παράκλησιν ἔχωμεν οἱ καταφυγόντες κρατῆσαι τῆς προκειμένης ἐλπίδος·
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 19] ἣν ὡς ἄγκυραν ἔχομεν τῆς ψυχῆς ἀσφαλῆ τε καὶ βεβαίαν, καὶ εἰσερχομένην εἰς τὸ ἐσώτερον τοῦ καταπετάσματος·
[GRCGTR | EL | NT | Hebrews | Chapter 6 | Verse 20] ὅπου πρόδρομος ὑπὲρ ἡμῶν εἰσῆλθεν Ἰησοῦς, κατὰ τὴν τάξιν Μελχισεδὲκ ἀρχιερεὺς γενόμενος εἰς τὸν αἰῶνα.
