[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 1] Ἡ φιλαδελφία μενέτω.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 2] Τῆς φιλοξενίας μὴ ἐπιλανθάνεσθε· διὰ ταύτης γὰρ ἔλαθόν τινες ξενίσαντες ἀγγέλους.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 3] Μιμνῄσκεσθε τῶν δεσμίων, ὡς συνδεδεμένοι· τῶν κακουχουμένων, ὡς καὶ αὐτοὶ ὄντες ἐν σώματι.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 4] Τίμιος ὁ γάμος ἐν πᾶσι, καὶ ἡ κοίτη ἀμίαντος· πόρνους δὲ καὶ μοιχοὺς κρινεῖ ὁ Θεός.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 5] Ἀφιλάργυρος ὁ τρόπος, ἀρκούμενοι τοῖς παροῦσιν· αὐτὸς γὰρ εἴρηκεν, Οὐ μή σε ἀνῶ, οὐδ᾿ οὐ μή σε ἐγκαταλίπω.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 6] Ὥστε θαρροῦντας ἡμᾶς λέγειν, Κύριος ἐμοὶ βοηθός, καὶ οὐ φοβηθήσομαι τί ποιήσει μοι ἄνθρωπος.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 7] Μνημονεύετε τῶν ἡγουμένων ὑμῶν, οἵτινες ἐλάλησαν ὑμῖν τὸν λόγον τοῦ Θεοῦ· ὧν ἀναθεωροῦντες τὴν ἔκβασιν τῆς ἀναστροφῆς, μιμεῖσθε τὴν πίστιν.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 8] Ἰησοῦς Χριστὸς χθὲς καὶ σήμερον ὁ αὐτός, καὶ εἰς τοὺς αἰῶνας.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 9] Διδαχαῖς ποικίλαις καὶ ξέναις μὴ περιφέρεσθε· καλὸν γὰρ χάριτι βεβαιοῦσθαι τὴν καρδίαν, οὐ βρώμασιν, ἐν οἷς οὐκ ὠφελήθησαν οἱ περιπατήσαντες.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 10] Ἔχομεν θυσιαστήριον, ἐξ οὗ φαγεῖν οὐκ ἔχουσιν ἐξουσίαν οἱ τῇ σκηνῇ λατρεύοντες.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 11] Ὧν γὰρ εἰσφέρεται ζῴων τὸ αἷμα περὶ ἁμαρτίας εἰς τὰ ἅγια διὰ τοῦ ἀρχιερέως, τούτων τὰ σώματα κατακαίεται ἔξω τῆς παρεμβολῆς.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 12] Διὸ καὶ Ἰησοῦς, ἵνα ἁγιάσῃ διὰ τοῦ ἰδίου αἵματος τὸν λαόν, ἔξω τῆς πύλης ἔπαθε.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 13] Τοίνυν ἐξερχώμεθα πρὸς αὐτὸν ἔξω τῆς παρεμβολῆς, τὸν ὀνειδισμὸν αὐτοῦ φέροντες.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 14] Οὐ γὰρ ἔχομεν ὧδε μένουσαν πόλιν, ἀλλὰ τὴν μέλλουσαν ἐπιζητοῦμεν.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 15] Δι᾿ αὐτοῦ οὖν ἀναφέρωμεν θυσίαν αἰνέσεως διὰ παντὸς τῷ Θεῷ, τοῦτ᾿ ἔστι, καρπὸν χειλέων ὁμολογούντων τῷ ὀνόματι αὐτοῦ.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 16] Τῆς δὲ εὐποιΐας καὶ κοινωνίας μὴ ἐπιλανθάνεσθε· τοιαύταις γὰρ θυσίαις εὐαρεστεῖται ὁ Θεός.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 17] Πείθεσθε τοῖς ἡγουμένοις ὑμῶν, καὶ ὑπείκετε· αὐτοὶ γὰρ ἀγρυπνοῦσιν ὑπὲρ τῶν ψυχῶν ὑμῶν, ὡς λόγον ἀποδώσοντες· ἵνα μετὰ χαρᾶς τοῦτο ποιῶσι, καὶ μὴ στενάζοντες· ἀλυσιτελὲς γὰρ ὑμῖν τοῦτο.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 18] Προσεύχεσθε περὶ ἡμῶν· πεποίθαμεν γὰρ ὅτι καλὴν συνείδησιν ἔχομεν, ἐν πᾶσι καλῶς θέλοντες ἀναστρέφεσθαι.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 19] Περισσοτέρως δὲ παρακαλῶ τοῦτο ποιῆσαι, ἵνα τάχιον ἀποκατασταθῶ ὑμῖν.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 20] Ὁ δὲ Θεὸς τῆς εἰρήνης, ὁ ἀναγαγὼν ἐκ νεκρῶν τὸν ποιμένα τῶν προβάτων τὸν μέγαν ἐν αἵματι διαθήκης αἰωνίου, τὸν Κύριον ἡμῶν Ἰησοῦν,
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 21] καταρτίσαι ὑμᾶς ἐν παντὶ ἔργῳ ἀγαθῷ εἰς τὸ ποιῆσαι τὸ θέλημα αὐτοῦ, ποιῶν ἐν ὑμῖν τὸ εὐάρεστον ἐνώπιον αὐτοῦ, διὰ Ἰησοῦ Χριστοῦ· ᾧ ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων. Ἀμήν.
[GRCGTR | EL | NT | Hebrews | Chapter 13 | Verse 22] Παρακαλῶ δὲ ὑμᾶς, ἀδελφοί, ἀνέχεσθε τοῦ λόγου τῆς παρακλήσεως· καὶ γὰρ διὰ βραχέων ἐπέστειλα ὑμῖν.
