[ASV | EN | OT | Isaiah | Chapter 37 | Verse 1] And it came to pass, when king Hezekiah heard it, that he rent his clothes, and covered himself with sackcloth, and went into the house of Jehovah.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 2] And he sent Eliakim, who was over the household, and Shebna the scribe, and the elders of the priests, covered with sackcloth, unto Isaiah the prophet the son of Amoz.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 3] And they said unto him, Thus saith Hezekiah, This day is a day of trouble, and of rebuke, and of contumely; for the children are come to the birth, and there is not strength to bring forth.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 4] It may be Jehovah thy God will hear the words of Rabshakeh, whom the king of Assyria his master hath sent to defy the living God, and will rebuke the words which Jehovah thy God hath heard: wherefore lift up thy prayer for the remnant that is left.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 5] So the servants of king Hezekiah came to Isaiah.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 6] And Isaiah said unto them, Thus shall ye say to your master, Thus saith Jehovah, Be not afraid of the words that thou hast heard, wherewith the servants of the king of Assyria have blasphemed me.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 7] Behold, I will put a spirit in him, and he shall hear tidings, and shall return unto his own land; and I will cause him to fall by the sword in his own land.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 8] So Rabshakeh returned, and found the king of Assyria warring against Libnah; for he had heard that he was departed from Lachish.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 9] And he heard say concerning Tirhakah king of Ethiopia, He is come out to fight against thee. And when he heard it, he sent messengers to Hezekiah, saying,
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 10] Thus shall ye speak to Hezekiah king of Judah, saying, Let not thy God in whom thou trustest deceive thee, saying, Jerusalem shall not be given into the hand of the king of Assyria.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 11] Behold, thou hast heard what the kings of Assyria have done to all lands, by destroying them utterly: and shalt thou be delivered?
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 12] Have the gods of the nations delivered them, which my fathers have destroyed, Gozan, and Haran, and Rezeph, and the children of Eden that were in Telassar?
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 13] Where is the king of Hamath, and the king of Arpad, and the king of the city of Sepharvaim, of Hena, and Ivvah?
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 14] And Hezekiah received the letter from the hand of the messengers, and read it; and Hezekiah went up unto the house of Jehovah, and spread it before Jehovah.
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 15] And Hezekiah prayed unto Jehovah, saying,
[ASV | EN | OT | Isaiah | Chapter 37 | Verse 16] O Jehovah of hosts, the God of Israel, that sittest above the cherubim, thou art the God, even thou alone, of all the kingdoms of the earth; thou hast made heaven and earth.
