[ASV | EN | OT | Isaiah | Chapter 32 | Verse 1] Behold, a king shall reign in righteousness, and princes shall rule in justice.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 2] And a man shall be as a hiding place from the wind, and a covert from the tempest, as streams of water in a dry place, as the shade of a great rock in a weary land.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 3] And the eyes of them that see shall not be dim, and the ears of them that hear shall hearken.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 4] And the heart of the rash shall understand knowledge, and the tongue of the stammerers shall be ready to speak plainly.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 5] The fool shall be no more called noble, nor the churl said to be bountiful.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 6] For the fool will speak folly, and his heart will work iniquity, to practice profaneness, and to utter error against Jehovah, to make empty the soul of the hungry, and to cause the drink of the thirsty to fail.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 7] And the instruments of the churl are evil: he deviseth wicked devices to destroy the meek with lying words, even when the needy speaketh right.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 8] But the noble deviseth noble things; and in noble things shall he continue.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 9] Rise up, ye women that are at ease, and hear my voice; ye careless daughters, give ear unto my speech.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 10] For days beyond a year shall ye be troubled, ye careless women; for the vintage shall fail, the ingathering shall not come.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 11] Tremble, ye women that are at ease; be troubled, ye careless ones; strip you, and make you bare, and gird sackcloth upon your loins.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 12] They shall smite upon the breasts for the pleasant fields, for the fruitful vine.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 13] Upon the land of my people shall come up thorns and briers; yea, upon all the houses of joy in the joyous city.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 14] For the palace shall be forsaken; the populous city shall be deserted; the hill and the watchtower shall be for dens forever, a joy of wild asses, a pasture of flocks;
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 15] until the Spirit be poured upon us from on high, and the wilderness become a fruitful field, and the fruitful field be esteemed as a forest.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 16] Then justice shall dwell in the wilderness; and righteousness shall abide in the fruitful field.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 17] And the work of righteousness shall be peace; and the effect of righteousness, quietness and confidence forever.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 18] And my people shall abide in a peaceable habitation, and in safe dwellings, and in quiet resting places.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 19] But it shall hail in the downfall of the forest; and the city shall be utterly laid low.
[ASV | EN | OT | Isaiah | Chapter 32 | Verse 20] Blessed are ye that sow beside all waters, that send forth the feet of the ox and the ass.
