[ASV | EN | OT | Isaiah | Chapter 43 | Verse 1] But now thus saith Jehovah that created thee, O Jacob, and he that formed thee, O Israel: Fear not, for I have redeemed thee; I have called thee by thy name, thou art mine.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 2] When thou passest through the waters, I will be with thee; and through the rivers, they shall not overflow thee: when thou walkest through the fire, thou shalt not be burned, neither shall the flame kindle upon thee.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 3] For I am Jehovah thy God, the Holy One of Israel, thy Savior; I have given Egypt as thy ransom, Ethiopia and Seba in thy stead.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 4] Since thou hast been precious in my sight, and honorable, and I have loved thee; therefore will I give men in thy stead, and peoples instead of thy life.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 5] Fear not; for I am with thee: I will bring thy seed from the east, and gather thee from the west;
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 6] I will say to the north, Give up; and to the south, Keep not back; bring my sons from far, and my daughters from the end of the earth;
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 7] everyone that is called by my name, and whom I have created for my glory, whom I have formed, yea, whom I have made.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 8] Bring forth the blind people that have eyes, and the deaf that have ears.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 9] Let all the nations be gathered together, and let the peoples be assembled: who among them can declare this, and show us former things? let them bring their witnesses, that they may be justified; or let them hear, and say, It is truth.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 10] Ye are my witnesses, saith Jehovah, and my servant whom I have chosen; that ye may know and believe me, and understand that I am he: before me there was no God formed, neither shall there be after me.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 11] I, even I, am Jehovah; and besides me there is no savior.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 12] I have declared, and I have saved, and I have shown; and there was no strange god among you: therefore ye are my witnesses, saith Jehovah, and I am God.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 13] Yea, since the day was I am he; and there is none that can deliver out of my hand: I will work, and who can hinder it?
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 14] Thus saith Jehovah, your Redeemer, the Holy One of Israel: For your sake I have sent to Babylon, and I will bring down all of them as fugitives, even the Chaldeans, in the ships of their rejoicing.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 15] I am Jehovah, your Holy One, the Creator of Israel, your King.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 16] Thus saith Jehovah, who maketh a way in the sea, and a path in the mighty waters;
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 17] who bringeth forth the chariot and horse, the army and the mighty man (they lie down together, they shall not rise; they are extinct, they are quenched as a wick):
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 18] Remember ye not the former things, neither consider the things of old.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 19] Behold, I will do a new thing; now shall it spring forth; shall ye not know it? I will even make a way in the wilderness, and rivers in the desert.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 20] The beasts of the field shall honor me, the jackals and the ostriches; because I give waters in the wilderness, and rivers in the desert, to give drink to my people, my chosen,
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 21] the people which I formed for myself, that they might set forth my praise.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 22] Yet thou hast not called upon me, O Jacob; but thou hast been weary of me, O Israel.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 23] Thou hast not brought me of thy sheep for burnt offerings; neither hast thou honored me with thy sacrifices. I have not burdened thee with offerings, nor wearied thee with frankincense.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 24] Thou hast bought me no sweet cane with money, neither hast thou filled me with the fat of thy sacrifices; but thou hast burdened me with thy sins, thou hast wearied me with thine iniquities.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 25] I, even I, am he that blotteth out thy transgressions for mine own sake; and I will not remember thy sins.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 26] Put me in remembrance; let us plead together: set thou forth thy cause, that thou mayest be justified.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 27] Thy first father sinned, and thy teachers have transgressed against me.
[ASV | EN | OT | Isaiah | Chapter 43 | Verse 28] Therefore I will profane the princes of the sanctuary; and I will make Jacob a curse, and Israel a reviling.
