[IRV | BN | OT | Joshua | Chapter 19 | Verse 1] আর গুলিবাঁট অনুযায়ী দ্বিতীয় অংশ শিমিয়োনের নামে, নিজের নিজের গোষ্ঠী অনুসারে শিমিয়োন-সন্তানদের বংশের নামে উঠল; তাদের অধিকার যিহূদা-সন্তানদের অধিকারের মধ্যে হল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 2] তাদের অধিকার হল বের-শেবা, (বা শেবা)। মোলাদা,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 3] হৎসর-শূয়াল, বালা, এৎসম,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 4] ইল্‌তোলদ, বথুল, হর্মা,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 5] সিক্লগ, বৈৎ-মর্কাবোৎ, হৎসর-সুষা,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 6] বৈৎ-লবায়োৎ ও শারূহণ; তাদের গ্রামের সঙ্গে তেরটি নগর।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 7] ঐন, রিম্মোণ, এথর ও আশন; তাদের গ্রামের সঙ্গে চারটি নগর।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 8] আর বালৎ-বের, [অর্থাৎ] দক্ষিণ দেশের রামা পর্যন্ত সেই সমস্ত নগরের চারিদিকের সমস্ত গ্রাম। নিজের নিজের গোষ্ঠী অনুসারে শিমিয়োন-সন্তানদের বংশের এই অধিকার।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 9] শিমিয়োন-সন্তানদের অধিকার যিহূদা-সন্তানদের অধিকারের এক ভাগ ছিল, কারণ যিহূদা-সন্তানদের অংশ তাদের প্রয়োজনের অপেক্ষা বেশি ছিল; অতএব শিমিয়োন-সন্তানদের তাদের অধিকারের মধ্যে অধিকার পেল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 10] পরে গুলিবাঁট অনুযায়ী তৃতীয় অংশ নিজের নিজের গোষ্ঠী অনুসারে সবূলূন-সন্তানদের নামে উঠল; সারীদ পর্যন্ত তাদের অধিকারের সীমা হল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 11] তাদের সীমা পশ্চিম দিকে অর্থাৎ মারালায় উঠে গেল এবং দব্বেশৎ পর্যন্ত গেল, যক্নিয়ামের সামনে স্রোত পর্যন্ত গেল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 12] আর সারীদ হতে পূর্ব দিকে, সূর্য্য উদয়ের দিকে, ফিরে কিশ্‌লোৎ-তাবোরের সীমা পর্যন্ত গেল; পরে দাবরৎ পর্যন্ত বের হয়ে যাফিয়ে উঠে গেল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 13] আর সেই জায়গা থেকে পূর্ব দিকে, সূর্য্য উদয়ের দিকে, হয়ে গাৎ-হেফর দিয়ে এৎ-কাৎসীন পর্যন্ত গেল এবং নেয়ের দিকে বিস্তৃত রিম্মোণে গেল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 14] আর ঐ সীমা হন্নাথোনের উত্তর দিকে তা বেষ্টন করল, আর যিপ্তহেল উপত্যকা পর্যন্ত গেল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 15] আর কটৎ, নহলাল, শিম্রোণ, যিদালা ও বৈৎলেহম; তাদের গ্রামের সঙ্গে বারটি নগর।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 16] নিজের নিজের গোষ্ঠী অনুসারে সবূলূন-সন্তানদের এই অধিকার; তাদের গ্রামের সঙ্গে এই সব নগরগুলি।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 17] পরে গুলিবাঁট অনুযায়ী চতুর্থ অংশ ইষাখরের নামে, নিজের নিজের গোষ্ঠী অনুসারে ইষাখর-সন্তানদের নামে উঠল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 18] যিষ্রিয়েল, কসুল্লোৎ, শূনেম,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 19] হফারয়িম, শীয়োন, অনহরৎ,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 20] রব্বীৎ, কিশিয়োন, এবস,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 21] রেমৎ, ঐন্‌-গন্নীম, ঐন্‌-হদ্দা ও বৈৎ-পৎসেস তাদের অধিকার হল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 22] আর সেই সীমা তাবোর, শহৎসূমা ও বৈৎ-শেমশ পর্যন্ত গেল, আর যর্দ্দন তাদের সীমার প্রান্ত হল; তাদের গ্রামের সঙ্গে ষোলটি নগর।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 23] নিজের নিজের গোষ্ঠী অনুসারে ইষাখর-সন্তানদের বংশের এই অধিকার; তাদের গ্রামের সঙ্গে এই সব নগরগুলি।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 24] পরে গুলিবাঁট অনুযায়ী পঞ্চম অংশ নিজের নিজের গোষ্ঠী অনুসারে আশের-সন্তানদের নামে উঠল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 25] তাদের সীমা হিল্‌কৎ, হলী, বেটন, অক্‌ষফ,
[IRV | BN | OT | Joshua | Chapter 19 | Verse 26] অলম্মেলক, অমাদ, মিশাল এবং পশ্চিমদিকে কর্মিল ও শীহোর-লিব্‌নৎ পর্যন্ত গেল।
[IRV | BN | OT | Joshua | Chapter 19 | Verse 27] আর সূর্য্যোদয় দিকে বৈৎ-দাগোনের অভিমুখে ঘুরে সবূলূন ও উত্তরদিকে ষিপ্তহেল উপত্যকা, বৈৎ-এমক ও ন্যীয়েল পর্যন্ত গেল, পরে বাঁ দিকে কাবূলে
