[IRV | BN | OT | Joshua | Chapter 15 | Verse 1] পরে গুলিবাট অনুযায়ী নিজেদের গোষ্ঠী অনুসারে যিহূদা-সন্তানদের বংশের অংশ ঠিক করা হল; ইদোমের সীমা পর্যন্ত, অর্থাৎ দক্ষিণ দিকে, দক্ষিণের একেবারে শেষ প্রান্তে, শিন প্রান্তর পর্যন্ত।
[IRV | BN | OT | Joshua | Chapter 15 | Verse 2] আর তাদের দক্ষিণ সীমা লবণসমুদ্রের প্রান্ত থেকে অর্থাৎ দক্ষিণ দিকে বঙ্ক থেকে আরম্ভ হল;
[IRV | BN | OT | Joshua | Chapter 15 | Verse 3] আর তা দক্ষিণ দিকে অক্রব্বীম উপরে উঠে যাওয়ার রাস্তা দিয়ে সিন পর্যন্ত গেল এবং কাদেশ-বর্ণেয়ের দক্ষিণ দিক্‌ হয়ে ঊর্দ্ধগামী হল; পরে হিষ্রোণে গিয়ে অদ্দরের দিকে ঊর্দ্ধগামী হয়ে কর্ক্কা পর্যন্ত ঘুরে গেল।
[IRV | BN | OT | Joshua | Chapter 15 | Verse 4] পরে অস্মোন হয়ে মিশরের স্রোত পর্যন্ত বের হয়ে গেল; আর ঐ সীমার শেষ প্রান্ত মহাসমুদ্রে ছিল; এই তোমাদের দক্ষিণ সীমা হবে।
[IRV | BN | OT | Joshua | Chapter 15 | Verse 5] আর পূর্ব সীমা যর্দ্দনের মোহনা পর্যন্ত লবণসমুদ্র। আর উত্তর দিকের সীমা যর্দ্দনের মোহনায় মিশেছে
[IRV | BN | OT | Joshua | Chapter 15 | Verse 6] আর সমুদ্রের সেই সীমা থেকে বৈৎ-হগ্লায় উপর দিয়ে গিয়ে বৈৎ-অরাবার উত্তর দিক হয়ে গেল, পরে সে সীমা রূবেণ-সন্তান বোহনের পাথর পর্যন্ত উঠে গেল।
[IRV | BN | OT | Joshua | Chapter 15 | Verse 7] আর সে সীমা আখোর তলভূমি থেকে দবীরের দিকে গেল; পরে স্রোতের দক্ষিণ পারে অদুম্মীমের উপরের দিকে যাওয়ার রাস্তার সামনে গিল্‌গলের দিকে মুখ করে উত্তর দিকে গেল ও ঐন্‌ শেমশ নামে জলাশয়ের দিকে চলে গেল, আর তার অন্তভাগ ঐন্‌ রোগেলে ছিল।
[IRV | BN | OT | Joshua | Chapter 15 | Verse 8] সে সীমা হিন্নোম্‌-সন্তানের উপত্যকা দিয়ে উঠে যিবূষের অর্থাৎ যিরুশালেমের দক্ষিণ দিকে গেল; পরে ঐ সীমা পশ্চিমে হিন্নোম উপত্যকার সামনে যা রফায়ীম উপত্যকার উত্তর প্রান্তে অবস্থিত পর্বত-চূড়া পর্যন্ত গেল।
[IRV | BN | OT | Joshua | Chapter 15 | Verse 9] পরে ঐ সীমা সেই পর্বত-চূড়া পর্যন্ত নিপ্তোহের জলের উনুই পর্যন্ত বিস্তৃত হল এবং ইফ্রোণ পর্বতে অবস্থিত নগরগুলি পর্যন্ত বের হয়ে গেল। আর সে সীমা বালা অর্থাৎ কিরিয়ৎ যিয়ারীম পর্যন্ত গেল;
[IRV | BN | OT | Joshua | Chapter 15 | Verse 10] পরে সে সীমা বালা থেকে সেয়ীর পর্বত পর্যন্ত পশ্চিম দিকে ঘুরে যিয়ারীম পর্বতের উত্তর প্রান্ত অর্থাৎ কসালোন পর্যন্ত গেল; পরে বৈৎ-শেমশ থেকে নিচের দিকে নেমে এসে তিম্নার কাছ দিয়ে গেল।
[IRV | BN | OT | Joshua | Chapter 15 | Verse 11] আর সে সীমা ইক্রোণের উত্তর প্রান্ত পর্যন্ত গেল, পরে সে সীমা শিক্করোণ পর্যন্ত বিস্তৃত হল এবং বালা পর্বত হয়ে যব্‌নিয়েলে গেল; ঐ সীমার অন্তভাগ মহাসমুদ্রে ছিল।
