[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 1] Of Moab. The LORD of Armies, the God of Israel, says: “Woe to Nebo! For it is laid waste. Kiriathaim is disappointed. It is taken. Misgab is put to shame and broken down.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 2] The praise of Moab is no more. In Heshbon they have devised evil against her: ‘Come! Let’s cut her off from being a nation.’ You also, Madmen, will be brought to silence. The sword will pursue you.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 3] The sound of a cry from Horonaim, desolation and great destruction!
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 4] Moab is destroyed. Her little ones have caused a cry to be heard.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 5] For they will go up by the ascent of Luhith with continual weeping. For at the descent of Horonaim they have heard the distress of the cry of destruction.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 6] Flee! Save your lives! Be like the juniper bush in the wilderness.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 7] For, because you have trusted in your works and in your treasures, you also will be taken. Chemosh will go out into captivity, his priests and his princes together.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 8] The destroyer will come on every city, and no city will escape; the valley also will perish, and the plain will be destroyed, as the LORD has spoken.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 9] Give wings to Moab, that she may fly and get herself away: and her cities will become a desolation, without anyone to dwell in them.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 10] “Cursed is he who does the work of the LORD negligently; and cursed is he who keeps back his sword from blood.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 11] “Moab has been at ease from his youth, and he has settled on his dregs, and has not been emptied from vessel to vessel, neither has he gone into captivity; therefore his taste remains in him, and his scent is not changed.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 12] Therefore behold, the days come,” says the LORD, “that I will send to him those who pour off, and they will pour him off; and they will empty his vessels, and break their containers in pieces.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 13] Moab will be ashamed of Chemosh, as the house of Israel was ashamed of Bethel, their confidence.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 14] “How do you say, ‘We are mighty men, and valiant men for the war’?
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 15] Moab is laid waste, and they have gone up into his cities, and his chosen young men have gone down to the slaughter,” says the King, whose name is the LORD of Armies.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 16] “The calamity of Moab is near to come, and his affliction hurries fast.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 17] All you who are around him, bemoan him; and all you who know his name, say, ‘How the strong staff is broken, the beautiful rod!’
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 18] “You daughter who dwells in Dibon, come down from your glory, and sit in thirst; for the destroyer of Moab has come up against you. He has destroyed your strongholds.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 19] Inhabitant of Aroer, stand by the way and watch. Ask him who flees, and her who escapes; say, ‘What has been done?’
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 20] Moab is disappointed; for it is broken down. Wail and cry! Tell it by the Arnon, that Moab is laid waste.
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 21] Judgment has come on the plain country— on Holon, on Jahzah, on Mephaath,
[WEB | EN | OT | Jeremiah | Chapter 48 | Verse 22] on Dibon, on Nebo, on Beth Diblathaim,
