[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 1] ثُمَّ نُعَرِّفُكُمْ أَيُّهَا ٱلْإِخْوَةُ نِعْمَةَ ٱللهِ ٱلْمُعْطَاةَ فِي كَنَائِسِ مَكِدُونِيَّةَ،
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 2] أَنَّهُ فِي ٱخْتِبَارِ ضِيقَةٍ شَدِيدَةٍ فَاضَ وُفُورُ فَرَحِهِمْ وَفَقْرِهِمِ ٱلْعَمِيقِ لِغِنَى سَخَائِهِمْ،
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 3] لِأَنَّهُمْ أَعْطَوْا حَسَبَ ٱلطَّاقَةِ، أَنَا أَشْهَدُ، وَفَوْقَ ٱلطَّاقَةِ، مِنْ تِلْقَاءِ أَنْفُسِهِمْ،
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 4] مُلْتَمِسِينَ مِنَّا، بِطِلْبَةٍ كَثِيرَةٍ، أَنْ نَقْبَلَ ٱلنِّعْمَةَ وَشَرِكَةَ ٱلْخِدْمَةِ ٱلَّتِي لِلْقِدِّيسِينَ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 5] وَلَيْسَ كَمَا رَجَوْنَا، بَلْ أَعْطَوْا أَنْفُسَهُمْ أَوَّلًا لِلرَّبِّ، وَلَنَا، بِمَشِيئَةِ ٱللهِ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 6] حَتَّى إِنَّنَا طَلَبْنَا مِنْ تِيطُسَ أَنَّهُ كَمَا سَبَقَ فَٱبْتَدَأَ، كَذَلِكَ يُتَمِّمُ لَكُمْ هَذِهِ ٱلنِّعْمَةَ أَيْضًا.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 7] لَكِنْ كَمَا تَزْدَادُونَ فِي كُلِّ شَيْءٍ: فِي ٱلْإِيمَانِ وَٱلْكَلَامِ وَٱلْعِلْمِ وَكُلِّ ٱجْتِهَادٍ وَمَحَبَّتِكُمْ لَنَا، لَيْتَكُمْ تَزْدَادُونَ فِي هَذِهِ ٱلنِّعْمَةِ أَيْضًا.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 8] لَسْتُ أَقُولُ عَلَى سَبِيلِ ٱلْأَمْرِ، بَلْ بِٱجْتِهَادِ آخَرِينَ، مُخْتَبِرًا إِخْلَاصَ مَحَبَّتِكُمْ أَيْضًا.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 9] فَإِنَّكُمْ تَعْرِفُونَ نِعْمَةَ رَبِّنَا يَسُوعَ ٱلْمَسِيحِ، أَنَّهُ مِنْ أَجْلِكُمُ ٱفْتَقَرَ وَهُوَ غَنِيٌّ، لِكَيْ تَسْتَغْنُوا أَنْتُمْ بِفَقْرِهِ.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 10] أُعْطِي رَأْيًا فِي هَذَا أَيْضًا، لِأَنَّ هَذَا يَنْفَعُكُمْ أَنْتُمُ ٱلَّذِينَ سَبَقْتُمْ فَٱبْتَدَأْتُمْ مُنْذُ ٱلْعَامِ ٱلْمَاضِي، لَيْسَ أَنْ تَفْعَلُوا فَقَطْ بَلْ أَنْ تُرِيدُوا أَيْضًا.
[VANDYKE | AR | NT | 2 Corinthians | Chapter 8 | Verse 11] وَلَكِنِ ٱلْآنَ تَمِّمُوا ٱلْعَمَلَ أَيْضًا، حَتَّى إِنَّهُ كَمَا أَنَّ ٱلنَّشَاطَ لِلْإِرَادَةِ، كَذَلِكَ يَكُونُ ٱلتَّتْمِيمُ أَيْضًا حَسَبَ مَا لَكُمْ.
