[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 1] وَبَعْدَ أَنِ اكْتَمَلَ بِنَاءُ السُّورِ، وَأَقَمْتُ الْمَصَارِيعَ، وَتَمَّ تَعْيِينُ الْبَوَّابِينَ وَالْمُغَنِّينَ، وَاللّاوِيِّينَ،
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 2] عَهِدْتُ بِتَدْبِيرِ شُؤُونِ أُورُشَلِيمَ إِلَى أَخِي حَنَانِي، وَإِلَى حَنَنْيَا رَئِيسِ الْقَصْرِ، لأَنَّهُ كَانَ رَجُلاً أَمِيناً يَتَّقِي اللهَ أَكْثَرَ مِنْ سِوَاهُ.
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 3] وَقُلْتُ لَهُمَا: «لا تَسْمَحَا بِفَتْحِ أَبْوَابِ أُورُشَلِيمَ قَبْلَ اشْتِدَادِ حَرَارَةِ الشَّمْسِ، وَلْيَتِمَّ إِغْلاقُ مَصَارِيعِهَا وَأَقْفَالِهَا، وَحُرَّاسُ الأَبْوَابِ مَازَالُوا يَقُومُونَ بِنَوْبَةِ حِرَاسَتِهِمْ». وَعَيَّنْتُ حُرَّاساً مِنْ أَهْلِ أُورُشَلِيمَ، وَقَفَ كُلُّ وَاحِدٍ مِنْهُمْ مُقَابِلَ بَيْتِهِ.
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 4] وَكَانَتِ الْمَدِينَةُ وَاسِعَةَ الأَرْجَاءِ وَعَظِيمَةً، وَلا يَقْطُنُهَا سِوَى شَعْبٍ قَلِيلٍ، لأَنَّ الْبُيُوتَ لَمْ يَكُنْ قَدْ أُعِيدَ بِنَاؤُهَا.
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 5] فَأَلْهَمَنِي إِلَهِي أَنْ أَجْمَعَ الأَشْرَافَ وَالْوُلاةَ وَالشَّعْبَ لِتَسْجِيلِ أَنْسَابِهِمْ حَسَبَ عَائِلاتِهِمْ، فَعَثَرْتُ عَلَى سِجِلِّ أَنْسَابِ الَّذِينَ جَاءُوا أَوَّلاً مِنَ السَّبْيِ، وَوَجَدْتُ مُدَوَّناً فِيهِ:
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 6] هَؤُلاءِ هُمْ أَبْنَاءُ الْبِلادِ الَّذِينَ رَجَعُوا مِنْ سَبْيِ نَبُوخَذْنَصَّرَ مَلِكِ بَابِلَ إِلَى أُورُشَلِيمَ وَيَهُوذَا، كُلُّ وَاحِدٍ إِلَى مَدِينَتِهِ:
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 7] الَّذِينَ وَفَدُوا مَعَ زَرُبَّابِلَ وَيَشُوعَ وَنَحَمْيَا وَعَزَرْيَا وَرَعَمْيَا وَنَحْمَانِي وَمُرْدَخَايَ وَبِلْشَانَ وَمِسْفَارَثَ وَبِغْوَايَ وَنَحُومَ وَبَعْنَةَ. وَهَذَا بَيَانٌ بِعَدَدِ رِجَالِ شَعْبِ إِسْرَائِيلَ:
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 8] بَنُو فَرْعُوشَ: أَلْفَانِ وَمِئَةٌ وَاثْنَانِ وَسَبْعُونَ.
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 9] بَنُو شَفَطْيَا: ثَلاثُ مِئَةٍ وَاثْنَانِ وَسَبْعُونَ.
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 10] بَنُو آرَحَ: سِتُّ مِئَةٍ وَاثْنَانِ وَخَمْسُونَ.
[VANDYKE | AR | OT | Nehemiah | Chapter 7 | Verse 11] بَنُو فَحَثَ مُوآبَ مِنْ نَسْلِ يَشُوعَ وَيُوآبَ: أَلْفَانِ وَثَمَانِي مِئَةٍ وَثَمَانِيَةَ عَشَرَ.
