[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 1] Whither is thy beloved gone, O thou fairest among women? whither is thy beloved turned aside? that we may seek him with thee.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 2] My beloved is gone down into his garden, to the beds of spices, to feed in the gardens, and to gather lilies.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 3] I am my beloved's, and my beloved is mine: he feedeth among the lilies.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 4] Thou art beautiful, O my love, as Tirzah, comely as Jerusalem, terrible as an army with banners.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 5] Turn away thy eyes from me, for they have overcome me: thy hair is as a flock of goats that appear from Gilead.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 6] Thy teeth are as a flock of sheep which go up from the washing, of which every one beareth twins, and there is not one barren among them.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 7] As a piece of pomegranate are thy temples within thy locks.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 8] There are sixty queens, and eighty concubines, and virgins without number.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 9] My dove, my undefiled is but one; she is the only one of her mother, she is the choice one of her that bore her. The daughters saw her, and blessed her; yes , the queens and the concubines, and they praised her.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 10] Who is she that looketh forth as the morning, fair as the moon, clear as the sun, and terrible as an army with banners?
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 11] I went down into the garden of nuts to see the fruits of the valley, and to see whether the vine flourished, and the pomegranates budded.
[WEBSTER | EN | OT | Song of Solomon | Chapter 6 | Verse 12] Or ere I was aware, my soul made me like the chariots of Amminadib.
