[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 1] Behold, thou art fair, my love; behold, thou art fair; thou hast doves' eyes within thy locks: thy hair is as a flock of goats, that appear from mount Gilead.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 2] Thy teeth are like a flock of sheep that are even shorn, which came up from the washing; all of which bear twins, and none is barren among them.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 3] Thy lips are like a thread of scarlet, and thy speech is comely: thy temples are like a piece of pomegranate within thy locks.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 4] Thy neck is like the tower of David built for an armory, on which hang a thousand bucklers, all shields of mighty men.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 5] Thy two breasts are like two young roes that are twins, which feed among the lilies.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 6] Until the day shall break, and the shadows flee away, I will repair to the mountain of myrrh, and to the hill of frankincense.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 7] Thou art all fair, my love; there is no spot in thee.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 8] Come with me from Lebanon, my spouse, with me from Lebanon: look from the top of Amana, from the top of Shenir and Hermon, from the lions' dens, from the mountains of the leopards.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 9] Thou hast ravished my heart, my sister, my spouse; thou hast ravished my heart with one of thy eyes, with one chain of thy neck.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 10] How fair is thy love, my sister, my spouse! how much better is thy love than wine! and the smell of thy ointments than all spices!
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 11] Thy lips, O my spouse, drop as the honey-comb; honey and milk are under thy tongue; and the smell of thy garments is like the smell of Lebanon.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 12] A garden inclosed is my sister, my spouse; a spring shut up, a fountain sealed.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 13] Thy plants are an orchard of pomegranates, with pleasant fruits; camphor, with spikenard,
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 14] Spikenard and saffron; calamus and cinnamon, with all trees of frankincense; myrrh and aloes, with all the chief spices:
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 15] A fountain of gardens, a well of living waters, and streams from Lebanon.
[WEBSTER | EN | OT | Song of Solomon | Chapter 4 | Verse 16] Awake, O north wind; and come, thou south; blow upon my garden, that its spices may flow out. Let my beloved come into his garden, and eat his pleasant fruits.
