[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 1] I have come into my garden, my sister, my spouse: I have gathered my myrrh, with my spice; I have eaten my honey-comb with my honey; I have drank my wine with my milk: eat, O friends; drink, yes, drink abundantly, O beloved.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 2] I sleep, but my heart waketh: it is the voice of my beloved that knocketh, saying , Open to me, my sister, my love, my dove, my undefiled: for my head is filled with dew, and my locks with the drops of the night.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 3] I have put off my coat; how shall I put it on? I have washed my feet; how shall I defile them?
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 4] My beloved put in his hand by the hole of the door , and my bowels were moved for him.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 5] I rose up to open to my beloved: and my hands dropped with myrrh, and my fingers with sweet-smelling myrrh, upon the handles of the lock.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 6] I opened to my beloved; but my beloved had withdrawn himself, and was gone: my soul failed when he spoke: I sought him, but I could not find him; I called him, but he gave me no answer.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 7] The watchmen that went about the city found me, they smote me, they wounded me; the keepers of the walls took away my vail from me.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 8] I charge you, O daughters of Jerusalem, if ye find my beloved, that ye tell him, that I am sick with love.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 9] What is thy beloved more than another beloved, O thou fairest among women? what is thy beloved more than another beloved, that thou dost so charge us?
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 10] My beloved is white and ruddy, the chief among ten thousand.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 11] His head is as the most fine gold, his locks are bushy, and black as a raven.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 12] His eyes are as the eyes of doves by the rivers of waters, washed with milk, and fitly set.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 13] His cheeks are as a bed of spices, as sweet flowers: his lips like lilies, dropping sweet-smelling myrrh.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 14] His hands are as gold rings set with the beryl: his belly is as bright ivory overlaid with sapphires.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 15] His legs are as pillars of marble, set upon sockets of fine gold: his countenance is as Lebanon, excellent as the cedars.
[WEBSTER | EN | OT | Song of Solomon | Chapter 5 | Verse 16] His mouth is most sweet: yes, he is altogether lovely. This is my beloved, and this is my friend, O daughters of Jerusalem.
