[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 1] Now these are the commandments, the statutes, and the judgments which the LORD your God commanded to teach you, that ye may do them in the land whither ye go to possess it:
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 2] That thou mayst fear the LORD thy God, to keep all his statutes and his commandments which I command thee, thou, and thy son, and thy son's son, all the days of thy life: and that thy days may be prolonged.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 3] Hear therefore, O Israel, and observe to do it ; that it may be well with thee, and that ye may increase mightily, as the LORD God of thy fathers hath promised thee, in the land that floweth with milk and honey.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 4] Hear, O Israel: the LORD our God is one LORD:
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 5] And thou shalt love the LORD thy God with all thy heart, and with all thy soul, and with all thy might.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 6] And these words which I command thee this day, shall be in thy heart:
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 7] And thou shalt teach them diligently to thy children, and shalt talk of them when thou sittest in thy house, and when thou walkest by the way, and when thou liest down, and when thou risest up.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 8] And thou shalt bind them for a sign upon thy hand, and they shall be as frontlets between thy eyes.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 9] And thou shalt write them upon the posts of thy house, and on thy gates.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 10] And it shall be, when the LORD thy God shall have brought thee into the land which he swore to thy fathers, to Abraham, to Isaac, and to Jacob, to give thee great and goodly cities, which thou didst not build,
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 11] And houses full of all good things , which thou didst not fill, and wells digged, which thou didst not dig, vineyards and olive-trees, which thou didst not plant; when thou shalt have eaten and be full;
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 12] Then beware lest thou shouldst forget the LORD, who brought thee forth from the land of Egypt, from the house of bondage.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 13] Thou shalt fear the LORD thy God, and serve him, and shalt swear by his name.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 14] Ye shall not go after other gods, of the gods of the people which are around you;
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 15] (For the LORD thy God is a jealous God among you) lest the anger of the LORD thy God should be kindled against thee, and destroy thee from off the face of the earth.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 16] Ye shall not tempt the LORD your God, as ye tempted him in Massah.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 17] Ye shall diligently keep the commandments of the LORD your God, and his testimonies, and his statutes, which he hath commanded thee.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 18] And thou shalt do that which is right and good in the sight of the LORD: that it may be well with thee, and that thou mayest go in and possess the good land which the LORD swore to thy fathers,
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 19] To cast out all thy enemies from before thee, as the LORD hath spoken.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 20] And when thy son shall ask thee in time to come, saying, What mean the testimonies, and the statutes, and the judgments, which the LORD our God hath commanded you?
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 21] Then thou shalt say to thy son, We were Pharoah's bond-men in Egypt: and the LORD brought us out of Egypt with a mighty hand:
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 22] And the LORD showed signs and wonders, great and distressing, upon Egypt, upon Pharaoh, and upon all his household, before our eyes:
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 23] And he brought us out from thence, that he might bring us in, to give us the land which he swore to our fathers.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 24] And the LORD commanded us to do all these statutes, to fear the LORD our God, for our good always, that he might preserve us alive, as it is at this day.
[WEBSTER | EN | OT | Deuteronomy | Chapter 6 | Verse 25] And it shall be our righteousness, if we observe to do all these commandments before the LORD our God, as he hath commanded us.
