[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 1] And it shall be, when thou hast come in to the land which the LORD thy God giveth thee for an inheritance, and possessest it, and dwellest therein;
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 2] That thou shalt take of the first of all the fruit of the earth, which thou shalt bring of thy land that the LORD thy God giveth thee, and shalt put it in a basket, and shalt go to the place which the LORD thy God shall choose to place his name there.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 3] And thou shalt go to the priest that shall be in those days, and say to him, I profess this day to the LORD thy God, that I have come to the country which the Lord swore to our fathers to give us.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 4] And the priest shall take the basket from thy hand, and set it down before the altar of the LORD thy God.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 5] And thou shalt speak and say before the LORD thy God, A Syrian ready to perish was my father, and he went down to Egypt, and sojourned there with a few, and became there a nation, great, mighty, and populous:
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 6] And the Egyptians ill-treated us, and afflicted us, and laid upon us hard bondage:
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 7] And when we cried to the LORD God of our fathers, the LORD heard our voice, and looked on our affliction, and our labor, and our oppression:
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 8] And the LORD brought us out of Egypt with a mighty hand, and with an out-stretched arm, and with great terribleness, and with signs, and with wonders;
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 9] And he hath brought us into this place, and hath given us this land, even a land that floweth with milk and honey.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 10] And now, behold, I have brought the first-fruits of the land, which thou, O LORD, hast given me: and thou shalt set it before the LORD thy God, and worship before the LORD thy God:
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 11] And thou shalt rejoice in every good thing which the LORD thy God hath given to thee, and to thy house, thou, and the Levite, and the stranger that is among you.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 12] When thou hast made an end of tithing all the tithes of thy increase the third year, which is the year of tithing, and hast given it to the Levite, the stranger, the fatherless, and the widow, that they may eat within thy gates, and be filled:
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 13] Then thou shalt say before the LORD thy God, I have brought away the hallowed things out of my house, and also have given them to the Levite, and to the stranger, to the fatherless, and to the widow, according to all thy commandments which thou hast commanded me: I have not transgressed thy commandments, neither have I forgotten them :
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 14] I have not eaten of it in my mourning, neither have I taken away aught of it for any unclean use , nor given aught of it for the dead: but I have hearkened to the voice of the LORD my God, and have done according to all that thou hast commanded me.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 15] Look down from thy holy habitation, from heaven, and bless thy people Israel, and the land which thou hast given us, as thou didst swear to our fathers, a land that floweth with milk and honey.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 16] This day the LORD thy God hath commanded thee to perform these statutes and judgments: thou shalt therefore keep and do them with all thy heart, and with all thy soul.
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 17] Thou hast avouched the LORD this day to be thy God, and to walk in his ways, and to keep his statutes, and his commandments, and his judgments, and to hearken to his voice:
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 18] And the LORD hath avouched thee this day to be his peculiar people, as he hath promised thee, and that thou shouldst keep all his commandments;
[WEBSTER | EN | OT | Deuteronomy | Chapter 26 | Verse 19] And to make thee high above all nations which he hath made, in praise, and in name, and in honor; and that thou mayest be a holy people to the LORD thy God, as he hath spoken.
