[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 1] These are the words of the covenant which the LORD commanded Moses to make with the children of Israel in the land of Moab, besides the covenant which he made with them in Horeb.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 2] And Moses called to all Israel, and said to them, Ye have seen all that the LORD did before your eyes in the land of Egypt to Pharaoh, and to all his servants, and to all his land;
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 3] The great temptations which thy eyes have seen, the signs, and those great miracles:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 4] Yet the LORD hath not given you a heart to perceive, and eyes to see, and ears to hear, to this day.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 5] And I have led you forty years in the wilderness: your clothes have not become old upon you, and thy shoe hath not become old upon thy foot.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 6] Ye have not eaten bread, neither have ye drank wine or strong drink: that ye might know that I am the LORD your God.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 7] And when ye came to this place, Sihon the king of Heshbon, and Og the king of Bashan, came out against us to battle, and we smote them:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 8] And we took their land, and gave it for an inheritance to the Reubenites, and to the Gadites, and to the half-tribe of Manasseh.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 9] Keep therefore the words of this covenant, and do them, that ye may prosper in all that ye do.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 10] Ye stand this day all of you before the LORD your God; your captains of your tribes, your elders, and your officers, with all the men of Israel,
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 11] Your little ones, your wives, and thy stranger that is in thy camp, from the hewer of thy wood to the drawer of thy water:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 12] That thou shouldst enter into covenant with the LORD thy God, and into his oath, which the LORD thy God maketh with thee this day:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 13] That he may establish thee to-day for a people to himself, and that he may be to thee a God, as he hath said to thee, and as he hath sworn to thy fathers, to Abraham, to Isaac, and to Jacob.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 14] Neither with you only do I make this covenant and this oath;
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 15] But with him that standeth here with us this day before the LORD our God, and also with him that is not here with us this day:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 16] (For ye know how we have dwelt in the land of Egypt; and how we came through the nations which ye passed by;
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 17] And ye have seen their abominations, and their idols, wood and stone, silver and gold, which were among them:)
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 18] Lest there should be among you man, or woman, or family, or tribe, whose heart turneth away this day from the LORD our God, to go and serve the gods of these nations; lest there should be among you a root that beareth gall and wormwood;
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 19] And it should come to pass, when he heareth the words of this curse, that he should bless himself in his heart, saying, I shall have peace, though I walk in the imagination of my heart, to add drunkenness to thirst:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 20] The LORD will not spare him, but then the anger of the LORD and his jealousy shall smoke against that man, and all the curses that are written in this book shall lie upon him, and the LORD shall blot out his name from under heaven.
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 21] And the LORD shall separate him to evil out of all the tribes of Israel according to all the curses of the covenant that are written in this book of the law:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 22] So that the generation to come of your children that shall arise after you, and the stranger that shall come from a distant land, shall say, when they see the plagues of that land, and the sicknesses which the LORD hath laid upon it;
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 23] And that the whole land of it is brimstone, and salt, and burning, that it is not sown, nor doth it bear, nor doth any grass grow in it, like the overthrow of Sodom, and Gomorrah, Admah, and Zeboim, which the LORD overthrew in his anger and in his wrath:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 24] Even all the nations shall say, Why hath the LORD done thus to this land? what meaneth the heat of this great anger?
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 25] Then men shall say, Because they have forsaken the covenant of the LORD God of their fathers, which he made with them when he brought them forth from the land of Egypt:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 26] For they went and served other gods, and worshiped them, gods which they knew not, and which he had not given to them:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 27] And the anger of the LORD was kindled against this land, to bring upon it all the curses that are written in this book:
[WEBSTER | EN | OT | Deuteronomy | Chapter 29 | Verse 28] And the LORD rooted them out of their land in anger and in wrath, and in great indignation, and cast them into another land, as it is this day.
