[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 1] और फ़िलिस्तियों ने ख़ुदा का संदूक़ छीन लिया और वह उसे इबन-'अज़र से अशदुद को ले गए;
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 2] और फ़िलिस्ती ख़ुदा के संदूक़ को लेकर उसे दजोन के घर में लाए और दजोन के पास उसे रख्खा;
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 3] और अशदूदी जब सुबह को सवेरे उठे, तो देखा कि दजोन ख़ुदावन्द के संदूक़ के आगे औंधे मुहँ ज़मीन पर गिरा पड़ा है। तब उन्होंने दजोन को लेकर उसी की जगह उसे फिर खड़ा कर दिया।
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 4] फिर वह जो दूसरे दिन की सुबह को सवेरे उठे, तो देखा कि दजोन ख़ुदावन्द के संदूक़ के आगे औंधे मुहँ ज़मीन पर गिरा पड़ा है, और दजोन का सर और उसकी हथेलियाँ दहलीज़ पर कटी पड़ी थीं, सिर्फ़ दजोन का धड़ ही धड़ रह गया था;
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 5] तब दजोन के पुजारी और जितने दजोन के घर में आते हैं, आज तक अश्दूद में दजोन की दहलीज़ पर पाँव नहीं रखते।
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 6] तब ख़ुदावन्द का हाथ अशदूदियों पर भारी हुआ, और वह उनको हलाक करने लगा, और अशदूद और उसकी 'इलाक़े के लोगों को गिल्टियों से मारा।
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 7] और अशदूदियों ने जब यह हाल देखा तो कहने लगे, “कि इस्राईल के ख़ुदा का संदूक़ हमारे साथ न रहे, क्यूँकि उसका हाथ बुरी तरह हम पर और हमारे मा'बूद दजोन पर है।”
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 8] तब उन्होंने फ़िलिस्तियों के सब सरदारों को बुलवा कर अपने यहाँ जमा' किया और कहने लगे, “हम इस्राईल के ख़ुदा के संदूक़ को क्या करें?” उन्होंने जवाब दिया, “कि इस्राईल के ख़ुदा का संदूक़ जात को पहुँचाया जाए।” इसलिए वह इस्राईल के ख़ुदा के संदूक़ को वहाँ ले गए।
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 9] और जब वह उसे ले गए तो ऐसा हुआ कि ख़ुदावन्द का हाथ उस शहर के ख़िलाफ़ ऐसा उठा कि उस में बड़ी भारी हल चल मच गई; और उसने उस शहर के लोगों को छोटे से बड़े तक मारा और उनके गिल्टियाँ निकलने लगीं।
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 10] जब उन्होंने ख़ुदा का संदूक़ 'अक़्रून को भेज दिया। और जैसे ही ख़ुदा का संदूक़ अक़रून को पहुँचा, अक़्रूनी चिल्लाने लगे, “वह इस्राईल के ख़ुदा का संदूक़ हम में इसलिए लाए हैं, कि हमको और हमारे लोगों को मरवा डालें।”
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 11] तब उन्होंने फ़िलिस्तियों के सरदारों को बुलवा कर जमा' किया और कहने लगे, “कि इस्राईल के ख़ुदा के संदूक़ को रवाना कर दो कि वह फिर अपनी जगह पर जाए, और हमको और हमारे लोगों को मार डालने न पाए।” क्यूँकि वहाँ सारे शहर में मौत की हलचल मच गई थी, और ख़ुदा का हाथ वहाँ बहुत भारी हुआ।
[IRV | UR | OT | 1 Samuel | Chapter 5 | Verse 12] और जो लोग मरे नहीं वह गिल्टियों के मारे पड़े रहे, और शहर की फ़रियाद आसमान तक पहुँची।
