[BBE | EN | OT | Ezra | Chapter 2 | Verse 1] Now these are the people of the divisions of the kingdom, among those who had been made prisoners by Nebuchadnezzar, king of Babylon, and taken away to Babylon, who went back to Jerusalem and Judah, everyone to his town;
[BBE | EN | OT | Ezra | Chapter 2 | Verse 2] Who went with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah, The number of the men of the people of Israel:
[BBE | EN | OT | Ezra | Chapter 2 | Verse 3] The children of Parosh, two thousand, one hundred and seventy-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 4] The children of Shephatiah, three hundred and seventy-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 5] The children of Arah, seven hundred and seventy-five.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 6] The children of Pahath-moab, of the children of Jeshua and Joab, two thousand, eight hundred and twelve.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 7] The children of Elam, a thousand, two hundred and fifty-four.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 8] The children of Zattu, nine hundred and forty-five.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 9] The children of Zaccai, seven hundred and sixty.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 10] The children of Bani, six hundred and forty-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 11] The children of Bebai, six hundred and twenty-three.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 12] The children of Azgad, a thousand, two hundred and twenty-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 13] The children of Adonikam, six hundred and sixty-six.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 14] The children of Bigvai, two thousand and fifty-six.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 15] The children of Adin, four hundred and fifty-four.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 16] The children of Ater, of Hezekiah, ninety-eight.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 17] The children of Bezai, three hundred and twenty-three.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 18] The children of Jorah, a hundred and twelve.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 19] The children of Hashum, two hundred and twenty-three.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 20] The children of Gibbar, ninety-five.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 21] The children of Beth-lehem, a hundred and twenty-three.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 22] The men of Netophah, fifty-six.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 23] The men of Anathoth, a hundred and twenty-eight.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 24] The children of Azmaveth, forty-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 25] The children of Kiriath-arim, Chephirah, and Beeroth, seven hundred and forty-three.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 26] The children of Ramah and Geba, six hundred and twenty-one.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 27] The men of Michmas, a hundred and twenty-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 28] The men of Beth-el and Ai, two hundred and twenty-three.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 29] The children of Nebo, fifty-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 30] The children of Magbish, a hundred and fifty-six.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 31] The children of the other Elam, a thousand, two hundred and fifty-four.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 32] The children of Harim, three hundred and twenty.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 33] The children of Lod, Hadid, and Ono, seven hundred and twenty-five.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 34] The children of Jericho, three hundred and forty-five.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 35] The children of Senaah, three thousand, six hundred and thirty.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 36] The priests: the children of Jedaiah, of the house of Jeshua, nine hundred and seventy-three.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 37] The children of Immer, a thousand and fifty-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 38] The children of Pashhur, a thousand, two hundred and forty-seven.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 39] The children of Harim, a thousand and seventeen.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 40] The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy-four.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 41] The music-makers: the children of Asaph, a hundred and twenty-eight
[BBE | EN | OT | Ezra | Chapter 2 | Verse 42] The children of the door-keepers: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred and thirty-nine.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 43] The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 44] The children of Keros, the children of Siaha, the children of Padon,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 45] The children of Lebanah, the children of Hagabah, the children of Akkub,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 46] The children of Hagab, the children of Shamlai, the children of Hanan,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 47] The children of Giddel, the children of Gahar, the children of Reaiah,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 48] The children of Rezin, the children of Nekoda, the children of Gazzam,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 49] The children of Uzza, the children of Paseah, the children of Besai,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 50] The children of Asnah, the children of Meunim, the children of Nephisim,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 51] The children of Bakbuk, the children of Hakupha, the children of Harhur,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 52] The children of Bazluth, the children of Mehida, the children of Harsha,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 53] The children of Barkos, the children of Sisera, the children of Temah,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 54] The children of Neziah, the children of Hatipha.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 55] The children of Solomon's servants: the children of Sotai, the children of Hassophereth, the children of Peruda,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 56] The children of Jaalah, the children of Darkon, the children of Giddel,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 57] The children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Ami.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 58] All the Nethinim, and the children of Solomon's servants, were three hundred and ninety-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 59] And these were the people who went up from Tel-melah, Tel-harsha, Cherub, Addan, and Immer. But having no knowledge of their fathers' families or offspring, it was not certain that they were Israelites;
[BBE | EN | OT | Ezra | Chapter 2 | Verse 60] The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred and fifty-two.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 61] And of the children of the priests: the children of Habaiah, the children of Hakkoz, the children of Barzillai, who was married to one of the daughters of Barzillai the Gileadite, and took their name.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 62] They made search for their record among the lists of families, but their names were nowhere to be seen; so they were looked on as unclean and no longer priests.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 63] And the Tirshatha said that they were not to have the most holy things for their food, till a priest came to give decision by Urim and Thummim.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 64] The number of all the people together was forty-two thousand, three hundred and sixty,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 65] As well as their men-servants and their women-servants, of whom there were seven thousand, three hundred and thirty-seven: and they had two hundred men and women to make music.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 66] They had seven hundred and thirty-six horses, two hundred and forty-five transport beasts,
[BBE | EN | OT | Ezra | Chapter 2 | Verse 67] Four hundred and thirty-five camels, six thousand, seven hundred and twenty asses.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 68] And some of the heads of families, when they came to the house of the Lord which is in Jerusalem, gave freely of their wealth for the building up of the house of God in its place:
[BBE | EN | OT | Ezra | Chapter 2 | Verse 69] Every one, as he was able, gave for the work sixty-one thousand darics of gold, five thousand pounds of silver and a hundred priests' robes.
[BBE | EN | OT | Ezra | Chapter 2 | Verse 70] So the priests and the Levites and the people and the music-makers and the door-keepers and the Nethinim, took up their places in their towns; even all Israel in their towns.
