[BBE | EN | OT | Ezra | Chapter 10 | Verse 1] Now while Ezra was making his prayer and his statement of wrongdoing, weeping and falling down before the house of God, a very great number of men and women and children out of Israel came together round him: for the people were weeping bitterly.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 2] And Shecaniah, the son of Jehiel, one of the sons of Elam, answering, said to Ezra, We have done evil against our God, and have taken as our wives strange women of the peoples of the land: but still there is hope for Israel in this question.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 3] Let us now make an agreement with our God to put away all the wives and all their children, if it seems right to my lord and to those who go in fear of the words of our God; and let it be done in keeping with the law.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 4] Up, now! for this is your business, and we are with you; take heart and do it.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 5] Then Ezra got up, and made the chiefs of the priests and the Levites and all Israel take an oath that they would do this. So they took an oath.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 6] Then Ezra got up from before the house of God and went into the room of Jehohanan, the son of Eliashib; but when he came there, he took no food or drink, for he was sorrowing for the sin of those who had come back.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 7] And they made a public statement through all Judah and Jerusalem, to all those who had come back, that they were to come together to Jerusalem;
[BBE | EN | OT | Ezra | Chapter 10 | Verse 8] And that if anyone did not come before three days were past, as ordered by the rulers and the responsible men, all his goods would be put under the curse, and he himself would be cut off from the meeting of the people who had come back.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 9] Then all the men of Judah and Benjamin came together to Jerusalem before three days were past; it was the ninth month, on the twentieth day of the month; and all the people were seated in the wide square in front of the house of God, shaking with fear because of this business and because of the great rain.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 10] And Ezra the priest got to his feet and said to them, You have done wrong and taken strange women for your wives, so increasing the sin of Israel.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 11] So now, give praise to the Lord, the God of your fathers, and do his pleasure; and make yourselves separate from the peoples of the land and from the strange women.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 12] Then all the people, answering, said with a loud voice, As you have said, so it is right for us to do.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 13] But the number of people is great, and it is a time of much rain; it is not possible for us to go on waiting outside, and this is not a thing which may be done in one day or even two: for our sin in this business is great.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 14] So now let our rulers be representatives for all the people, and let all those in our towns who are married to strange women come at fixed times, and with them the responsible men and the judges of every town, till the burning wrath of our God is turned away from us, and this has been done.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 15] Only Jonathan, the son of Asahel, and Jahzeiah, the son of Tikvah, were against this, Meshullam and Shabbethai the Levite supporting them.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 16] So those who had come back did so. And Ezra the priest, with certain heads of families, by their fathers' families, all of them by their names, were marked out; and on the first day of the tenth month they took their places to go into the question with care.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 17] And they got to the end of all the men who were married to strange women by the first day of the first month.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 18] And among the sons of the priests who were married to strange women were these: of the sons of Jeshua, the son of Jozadak and his brothers, Maaseiah and Eliezer and Jarib and Gedaliah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 19] And they gave their word that they would put away their wives; and for their sin, they gave an offering of a male sheep of the flock.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 20] And of the sons of Immer, Hanani and Zebadiah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 21] And of the sons of Harim, Maaseiah and Elijah and Shemaiah and Jehiel and Uzziah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 22] And of the sons of Pashhur, Elioenai, Maaseiah, Ishmael, Nethanel, Jozabad, and Elasah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 23] And of the Levites, Jozabad, and Shimei, and Kelaiah (that is Kelita), Pethahiah, Judah, and Eliezer.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 24] And of the music-makers, Eliashib; and of the door-keepers, Shallum and Telem and Uri.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 25] And of Israel, the sons of Parosh, Ramiah and Izziah and Malchijah and Mijamin and Eleazar and Malchijah and Benaiah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 26] And of the sons of Elam, Mattaniah, Zechariah, and Jehiel and Abdi and Jeremoth and Elijah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 27] And of the sons of Zattu, Elioenai, Eliashib, Mattaniah, and Jeremoth and Zabad and Aziza.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 28] And of the sons of Bebai, Jehohanan, Hananiah, Zabbai, Athlai.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 29] And of the sons of Bani, Meshullam, Malluch, and Adaiah, Jashub and Sheal, Jeremoth.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 30] And of the sons of Pahath-moab, Adna and Chelal, Benaiah, Maaseiah, Mattaniah, Bezalel and Binnui and Manasseh.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 31] And of the sons of Harim, Eliezer, Isshijah, Malchijah, Shemaiah, Shimeon,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 32] Benjamin, Malluch, Shemariah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 33] Of the sons of Hashum, Mattenai, Mattattah, Zabad, Eliphelet, Jeremai, Manasseh, Shimei.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 34] Of the sons of Bani, Maadai, Amram, and Uel,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 35] Benaiah, Bedeiah, Cheluhi,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 36] Vaniah, Meremoth, Eliashib,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 37] Mattaniah, Mattenai, and Jaasu,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 38] And Bani and Binnui, Shimei;
[BBE | EN | OT | Ezra | Chapter 10 | Verse 39] And Shelemiah and Nathan and Adaiah,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 40] Machnadebai, Shashai, Sharai,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 41] Azarel and Shelemiah, Shemariah,
[BBE | EN | OT | Ezra | Chapter 10 | Verse 42] Shallum, Amariah, Joseph.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 43] Of the sons of Nebo, Jeiel, Mattithiah, Zabad, Zebina, Iddo, and Joel, Benaiah.
[BBE | EN | OT | Ezra | Chapter 10 | Verse 44] All these had taken strange wives; and some of them had wives by whom they had offspring.
