[ERV | EN | NT | Mark | Chapter 12 | Verse 1] And he began to speak unto them in parables. A man planted a vineyard, and set a hedge about it, and digged a pit for the winepress, and built a tower, and let it out to husbandmen, and went into another country.
[ERV | EN | NT | Mark | Chapter 12 | Verse 2] And at the season he sent to the husbandmen a servant, that he might receive from the husbandmen of the fruits of the vineyard.
[ERV | EN | NT | Mark | Chapter 12 | Verse 3] And they took him, and beat him, and sent him away empty.
[ERV | EN | NT | Mark | Chapter 12 | Verse 4] And again he sent unto them another servant; and him they wounded in the head, and handled shamefully.
[ERV | EN | NT | Mark | Chapter 12 | Verse 5] And he sent another; and him they killed: and many others; beating some, and killing some.
[ERV | EN | NT | Mark | Chapter 12 | Verse 6] He had yet one, a beloved son: he sent him last unto them, saying, They will reverence my son.
[ERV | EN | NT | Mark | Chapter 12 | Verse 7] But those husbandmen said among themselves, This is the heir; come, let us kill him, and the inheritance shall be ours.
[ERV | EN | NT | Mark | Chapter 12 | Verse 8] And they took him, and killed him, and cast him forth out of the vineyard.
[ERV | EN | NT | Mark | Chapter 12 | Verse 9] What therefore will the lord of the vineyard do? he will come and destroy the husbandmen, and will give the vineyard unto others.
[ERV | EN | NT | Mark | Chapter 12 | Verse 10] Have ye not read even this scripture; The stone which the builders rejected, The same was made the head of the corner:
[ERV | EN | NT | Mark | Chapter 12 | Verse 11] This was from the Lord, And it is marvelous in our eyes?
[ERV | EN | NT | Mark | Chapter 12 | Verse 12] And they sought to lay hold on him; and they feared the multitude; for they perceived that he spake the parable against them: and they left him, and went away.
[ERV | EN | NT | Mark | Chapter 12 | Verse 13] And they send unto him certain of the Pharisees and of the Herodians, that they might catch him in talk.
[ERV | EN | NT | Mark | Chapter 12 | Verse 14] And when they were come, they say unto him, Master, we know that thou art true, and carest not for any one: for thou regardest not the person of men, but of a truth teachest the way of God: Is it lawful to give tribute unto Caesar, or not?
[ERV | EN | NT | Mark | Chapter 12 | Verse 15] Shall we give, or shall we not give? But he, knowing their hypocrisy, said unto them, Why tempt ye me? bring me a penny, that I may see it.
[ERV | EN | NT | Mark | Chapter 12 | Verse 16] And they brought it. And he saith unto them, Whose is this image and superscription? And they said unto him, Caesar’s.
[ERV | EN | NT | Mark | Chapter 12 | Verse 17] And Jesus said unto them, Render unto Caesar the things that are Caesar’s, and unto God the things that are God’s. And they marveled greatly at him.
[ERV | EN | NT | Mark | Chapter 12 | Verse 18] And there come unto him Sadducees, which say that there is no resurrection; and they asked him, saying,
[ERV | EN | NT | Mark | Chapter 12 | Verse 19] Master, Moses wrote unto us, If a man’s brother die, and leave a wife behind him, and leave no child, that his brother should take his wife, and raise up seed unto his brother.
[ERV | EN | NT | Mark | Chapter 12 | Verse 20] There were seven brethren: and the first took a wife, and dying left no seed;
[ERV | EN | NT | Mark | Chapter 12 | Verse 21] and the second took her, and died, leaving no seed behind him; and the third likewise:
[ERV | EN | NT | Mark | Chapter 12 | Verse 22] and the seven left no seed. Last of all the woman also died.
[ERV | EN | NT | Mark | Chapter 12 | Verse 23] In the resurrection whose wife shall she be of them? for the seven had her to wife.
[ERV | EN | NT | Mark | Chapter 12 | Verse 24] Jesus said unto them, Is it not for this cause that ye err, that ye know not the scriptures, nor the power of God?
[ERV | EN | NT | Mark | Chapter 12 | Verse 25] For when they shall rise from the dead, they neither marry, nor are given in marriage; but are as angels in heaven.
[ERV | EN | NT | Mark | Chapter 12 | Verse 26] But as touching the dead, that they are raised; have ye not read in the book of Moses, in the place concerning the Bush, how God spake unto him, saying, I am the God of Abraham, and the God of Isaac, and the God of Jacob?
[ERV | EN | NT | Mark | Chapter 12 | Verse 27] He is not the God of the dead, but of the living: ye do greatly err.
[ERV | EN | NT | Mark | Chapter 12 | Verse 28] And one of the scribes came, and heard them questioning together, and knowing that he had answered them well, asked him, What commandment is the first of all?
