[ERV | EN | NT | Mark | Chapter 10 | Verse 1] And he arose from thence, and cometh into the borders of Judaea and beyond Jordan: and multitudes come together unto him again; and, as he was wont, he taught them again.
[ERV | EN | NT | Mark | Chapter 10 | Verse 2] And there came unto him Pharisees, and asked him, Is it lawful for a man to put away his wife? tempting him.
[ERV | EN | NT | Mark | Chapter 10 | Verse 3] And he answered and said unto them, What did Moses command you?
[ERV | EN | NT | Mark | Chapter 10 | Verse 4] And they said, Moses suffered to write a bill of divorcement, and to put her away.
[ERV | EN | NT | Mark | Chapter 10 | Verse 5] But Jesus said unto them, For your hardness of heart he wrote you this commandment.
[ERV | EN | NT | Mark | Chapter 10 | Verse 6] But from the beginning of the creation, Male and female made he them.
[ERV | EN | NT | Mark | Chapter 10 | Verse 7] For this cause shall a man leave his father and mother, and shall cleave to his wife;
[ERV | EN | NT | Mark | Chapter 10 | Verse 8] and the twain shall become one flesh: so that they are no more twain, but one flesh.
[ERV | EN | NT | Mark | Chapter 10 | Verse 9] What therefore God hath joined together, let not man put asunder.
[ERV | EN | NT | Mark | Chapter 10 | Verse 10] And in the house the disciples asked him again of this matter.
[ERV | EN | NT | Mark | Chapter 10 | Verse 11] And he saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her:
[ERV | EN | NT | Mark | Chapter 10 | Verse 12] and if she herself shall put away her husband, and marry another, she committeth adultery.
[ERV | EN | NT | Mark | Chapter 10 | Verse 13] And they brought unto him little children, that he should touch them: and the disciples rebuked them.
[ERV | EN | NT | Mark | Chapter 10 | Verse 14] But when Jesus saw it, he was moved with indignation, and said unto them, Suffer the little children to come unto me; forbid them not: for of such is the kingdom of God.
[ERV | EN | NT | Mark | Chapter 10 | Verse 15] Verily I say unto you, Whosoever shall not receive the kingdom of God as a little child, he shall in no wise enter therein.
[ERV | EN | NT | Mark | Chapter 10 | Verse 16] And he took them in his arms, and blessed them, laying his hands upon them.
[ERV | EN | NT | Mark | Chapter 10 | Verse 17] And as he was going forth into the way, there ran one to him, and kneeled to him, and asked him, Good Master, what shall I do that I may inherit eternal life?
[ERV | EN | NT | Mark | Chapter 10 | Verse 18] And Jesus said unto him, Why callest thou me good? none is good save one, even God.
[ERV | EN | NT | Mark | Chapter 10 | Verse 19] Thou knowest the commandments, Do not kill, Do not commit adultery, Do not steal, Do not bear false witness, Do not defraud, Honour thy father and mother.
[ERV | EN | NT | Mark | Chapter 10 | Verse 20] And he said unto him, Master, all these things have I observed from my youth.
[ERV | EN | NT | Mark | Chapter 10 | Verse 21] And Jesus looking upon him loved him, and said unto him, One thing thou lackest: go, sell whatsoever thou hast, and give to the poor, and thou shalt have treasure in heaven: and come, follow me.
[ERV | EN | NT | Mark | Chapter 10 | Verse 22] But his countenance fell at the saying, and he went away sorrowful: for he was one that had great possessions.
[ERV | EN | NT | Mark | Chapter 10 | Verse 23] And Jesus looked round about, and saith unto his disciples, How hardly shall they that have riches enter into the kingdom of God!
[ERV | EN | NT | Mark | Chapter 10 | Verse 24] And the disciples were amazed at his words. But Jesus answereth again, and saith unto them, Children, how hard is it for them that trust in riches to enter into the kingdom of God!
[ERV | EN | NT | Mark | Chapter 10 | Verse 25] It is easier for a camel to go through a needle’s eye, than for a rich man to enter into the kingdom of God.
[ERV | EN | NT | Mark | Chapter 10 | Verse 26] And they were astonished exceedingly, saying unto him, Then who can be saved?
[ERV | EN | NT | Mark | Chapter 10 | Verse 27] Jesus looking upon them saith, With men it is impossible, but not with God: for all things are possible with God.
[ERV | EN | NT | Mark | Chapter 10 | Verse 28] Peter began to say unto him, Lo, we have left all, and have followed thee.
[ERV | EN | NT | Mark | Chapter 10 | Verse 29] Jesus said, Verily I say unto you, There is no man that hath left house, or brethren, or sisters, or mother, or father, or children, or lands, for my sake, and for the gospel’s sake,
[ERV | EN | NT | Mark | Chapter 10 | Verse 30] but he shall receive a hundredfold now in this time, houses, and brethren, and sisters, and mothers, and children, and lands, with persecutions; and in the world to come eternal life.
[ERV | EN | NT | Mark | Chapter 10 | Verse 31] But many that are first shall be last; and the last first.
[ERV | EN | NT | Mark | Chapter 10 | Verse 32] And they were in the way, going up to Jerusalem; and Jesus was going before them: and they were amazed; and they that followed were afraid. And he took again the twelve, and began to tell them the things that were to happen unto him,
