[LXX | EL | OT | Zechariah | Chapter 11 | Verse 1] Διάνοιξον ὁ Λίβανος τὰς θύρας σου, καὶ καταφαγέτω πῦρ τὰς κέδρους σου.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 2] Ὀλολυξάτω πίτυς, διότι πέπτωκε κέδρος, ὅτι μεγάλως μεγιστᾶνες ἐταλαιπώρησαν· ὀλολύξατε δρύες τῆς Βασανίτιδος, ὅτι κατεσπάσθη ὁ δρυμὸς ὁ σύμφυτος.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 3] Φωνὴ θρηνούντων ποιμένων, ὅτι τεταλαιπώρηκεν ἡ μεγαλωσύνη αὐτῶν· φωνὴ ὠρυομένων λεόντων, ὅτι τεταλαιπώρηκε τὸ φρύαγμα τοῦ Ἰορδάνου.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 4] Τάδε λέγει Κύριος παντοκράτωρ, ποιμαίνετε τὰ πρόβατα τῆς σφαγῆς,
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 5] ἃ οἱ κτησάμενοι κατέσφαζον, καὶ οὐ μετεμέλοντο, καὶ οἱ πωλοῦντες αὐτὰ ἔλεγον, εὐλογητὸς Κύριος, καὶ πεπλουτήκαμεν· καὶ οἱ ποιμένες αὐτῶν οὐκ ἔπασχον οὐδὲν ἐπʼ αὐτοῖς.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 6] Διατοῦτο οὐ φείσομαι οὐκέτι ἐπὶ τοὺς κατοικοῦντας τὴν γῆν, λέγει Κύριος· καὶ ἰδοὺ ἐγὼ παραδίδωμι τοὺς ἀνθρώπους, ἕκαστον εἰς χεῖρα τοῦ πλησίον αὐτοῦ, καὶ εἰς χεῖρα βασιλέως αὐτοῦ, καὶ κατακόψουσι τὴν γῆν, καὶ οὐ μὴ ἐξέλωμαι ἐκ χειρὸς αὐτῶν.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 7] Καὶ ποιμανῶ τὰ πρόβατα τῆς σφαγῆς εἰς τὴν Χαναανίτιν· καὶ λήψομαι ἐμαυτῷ δύο ῥάβδους, τὴν μὲν μίαν ἐκάλεσα Κάλλος, καὶ τὴν ἑτέραν ἐκάλεσα Σχοίνισμα, καὶ ποιμανῶ τὰ πρόβατα.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 8] Καὶ ἐξαρῶ τοὺς τρεῖς ποιμένας ἐν μηνὶ ἑνὶ, καὶ βαρυνθήσεται ἡ ψυχή μου ἐπʼ αὐτοὺς, καὶ γὰρ αἱ ψυχαὶ αὐτῶν ἐπωρύοντο ἐπʼ ἐμέ.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 9] Καὶ εἶπα, οὐ ποιμανῶ ὑμᾶς· τὸ ἀποθνῆσκον ἀποθνησκέτω, καὶ τὸ ἐκλεῖπον ἐκλιπέτω, καὶ τὰ κατάλοιπα κατεσθιέτωσαν ἕκαστος τὰς σάρκας τοῦ πλησίον αὐτοῦ.
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 10] Καὶ λήψομαι τὴν ῥάβδον μου τὴν καλὴν, καὶ ἀποῤῥίψω αὐτὴν, τοῦ διασκεδάσαι τὴν διαθήκην μου, ἣν διεθέμην πρὸς πάντας τοὺς λαοὺς,
[LXX | EL | OT | Zechariah | Chapter 11 | Verse 11] καὶ διασκεδασθήσεται ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ γνώσονται οἱ Χαναναῖοι τὰ πρόβατα τὰ φυλασσόμενά μοι, διότι λόγος Κυρίου ἐστί.
