[LXX | EL | OT | Zechariah | Chapter 10 | Verse 1] Αἰτεῖσθε παρὰ Κυρίου ὑετὸν καθʼ ὥραν, πρώϊμον καὶ ὄψιμον· Κύριος ἐποίησε φαντασίας, καὶ ὑετὸν χειμερινὸν δώσει αὐτοῖς, ἑκάστῳ βοτάνην ἐν ἀγρῷ.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 2] Διότι οἱ ἀποφθεγγόμενοι ἐλάλησαν κόπους, καὶ οἱ μάντεις ὁράσεις ψευδεῖς, καὶ τὰ ἐνύπνια ψευδῆ ἐλάλουν, μάταια παρεκάλουν· διατοῦτο ἐξηράνθησαν ὡς πρόβατα, καὶ ἐκακώθησαν, διότι οὐκ ἦν ἴασις.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 3] Ἐπὶ τοὺς ποιμένας παρωξύνθη ὁ θυμός μου, καὶ ἐπὶ τοὺς ἀμνοὺς ἐπισκέψομαι· καὶ ἐπισκέψεται Κύριος ὁ Θεὸς ὁ παντοκράτωρ τὸ ποίμνιον αὐτοῦ, τὸν οἶκον Ἰούδα, καὶ τάξει αὐτοὺς ὡς ἵππον εὐπρεπῆ αὐτοῦ ἐν πολέμῳ,
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 4] καὶ ἀπʼ αὐτοῦ ἐπέβλεψε, καὶ ἀπʼ αὐτοῦ ἔταξε, καὶ ἀπʼ αὐτοῦ τόξον ἐν θυμῷ, ἀπʼ αὐτοῦ ἐξελεύσεται πᾶς ὁ ἐξελαύνων ἐν τῷ αὐτῷ.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 5] Καὶ ἔσονται ὡς μαχηταὶ πατοῦντες πηλὸν ἐν ταῖς ὁδοῖς ἐν πολέμῳ, καὶ παρατάξονται, διότι Κύριος μετʼ αὐτῶν· καὶ καταισχυνθήσονται ἀναβάται ἵππων.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 6] Καὶ κατισχύσω τὸν οἶκον Ἰούδα, καὶ τὸν οἶκον Ἰωσὴφ σώσω, καὶ κατοικιῶ αὐτοὺς, ὅτι ἠγάπησα αὐτοὺς, καὶ ἔσονται, ὃν τρόπον οὐκ ἀπεστρεψάμην αὐτούς· διότι ἐγὼ Κύριος ὁ Θεὸς αὐτῶν· καὶ ἐπακούσομαι αὐτοῖς,
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 7] καὶ ἔσονται ὡς μαχηταὶ τοῦ Ἐφραὶμ, καὶ χαρήσεται ἡ καρδία αὐτῶν ὡς ἐν οἴνῳ· καὶ τὰ τέκνα αὐτῶν ὄψονται, καὶ εὐφρανθήσονται, καὶ χαρεῖται ἡ καρδία αὐτῶν ἐπὶ τῷ Κυρίῳ.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 8] Σημανῶ αὐτοῖς, καὶ εἰσδέξομαι αὐτοὺς, διότι λυτρώσομαι αὐτοὺς, καὶ πληθυνθήσονται καθότι ἦσαν πολλοί.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 9] Καὶ σπερῶ αὐτοὺς ἐν λαοῖς, καὶ οἱ μακρὰν μνησθήσονταί μου, ἐκθρέψουσι τὰ τέκνα αὐτῶν, καὶ ἐπιστρέψουσι.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 10] Καὶ ἐπιστρέψω αὐτοὺς ἐκ γῆς Αἰγύπτου, καὶ ἐξ Ἀσσυρίων εἰσδέξομαι αὐτοὺς, καὶ εἰς τὴν Γαλααδίτιν, καὶ εἰς τὸν Λίβανον εἰσάξω αὐτοὺς, καὶ οὐ μὴ ὑπολειφθῇ ἐξ αὐτῶν οὐδὲ εἷς.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 11] Καὶ διελεύσονται ἐν θαλάσσῃ στενῇ, πατάξουσιν ἐν θαλάσσῃ κύματα, καὶ ξηρανθήσεται πάντα τὰ βάθη ποταμῶν, καὶ ἀφαιρεθήσεται πᾶσα ὕβρις Ἀσσυρίων, καὶ σκῆπτρον Αἰγύπτου περιαιρεθήσεται.
[LXX | EL | OT | Zechariah | Chapter 10 | Verse 12] Καὶ κατισχύσω αὐτοὺς ἐν Κυρίῳ Θεῷ αὐτῶν, καὶ ἐν τῷ ὀνόματι αὐτοῦ κατακαυχήσονται, λέγει Κύριος.
