[LXX | EL | OT | Zechariah | Chapter 14 | Verse 1] Ἰδοὺ ἡμέραι ἔρχονται Κυρίου, καὶ διαμερισθήσονται τὰ σκῦλά σου ἐν σοί·
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 2] καὶ ἐπισυνάξω πάντα τὰ ἔθνη ἐπὶ Ἱερουσαλὴμ εἰς πόλεμον, καὶ ἁλώσεται ἡ πόλις, καὶ διαρπαγήσονται αἱ οἰκίαι, καὶ αἱ γυναῖκες μολυνθήσονται, καὶ ἐξελεύσεται τὸ ἥμισυ τῆς πόλεως ἐν αἰχμαλωσίᾳ, οἱ δὲ κατάλοιποι τοῦ λαοῦ μου οὐ μὴ ἐξολοθρευθῶσιν ἐκ τῆς πόλεως.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 3] Καὶ ἐξελεύσεται Κύριος, καὶ παρατάξεται ἐν τοῖς ἔθνεσιν ἐκείνοις, καθὼς ἡμέρα παρατάξεως αὐτοῦ ἐν ἡμέρᾳ πολέμου.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 4] Καὶ στήσονται οἱ πόδες αὐτοῦ ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐπὶ τὸ ὄρος τῶν ἐλαιῶν, τὸ κατέναντι Ἱερουσαλὴμ ἐξ ἀνατολῶν· καὶ σχισθήσεται τὸ ὄρος τῶν ἐλαιῶν, τὸ ἥμισυ αὐτοῦ πρὸς ἀνατολὰς καὶ θάλασσαν, χάος μέγα σφόδρα· καὶ κλινεῖ τὸ ἥμισυ τοῦ ὄρους πρὸς τὸν βοῤῥᾶν, καὶ τὸ ἥμισυ αὐτοῦ πρὸς Νότον.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 5] Καὶ φραχθήσεται ἡ φάραγξ τῶν ὀρέων μου, καὶ ἐγκολληθήσεται φάραγξ ὀρέων ἕως Ἰασὸδ, καὶ ἐνφραχθήσεται καθὼς ἐνεφράγη ἐν ταῖς ἡμέραις τοῦ συσσεισμοῦ, ἐν ἡμέραις Ὀζίου βασιλέως Ἰούδα· καὶ ἥξει Κύριος ὁ Θεός μου, καὶ πάντες οἱ ἅγιοι μετʼ αὐτοῦ.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 6] Καὶ ἔσται ἐν ἐκείνῃ τῇ ἡμέρᾳ οὐκ ἔσται φῶς, καὶ ψύχη καὶ πάγος
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 7] ἔσται μίαν ἡμέραν, καὶ ἡ ἡμέρα ἐκείνη γνωστὴ τῷ Κυρίῳ, καὶ οὐκ ἡμέρα, καὶ οὐ νὺξ, καὶ πρὸς ἑσπέραν ἔσται φῶς.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 8] Καὶ ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐξελεύσεται ὕδωρ ζῶν ἐξ Ἱερουσαλὴμ, τὸ ἥμισυ αὐτοῦ εἰς τὴν θάλασσαν τὴν πρώτην, καὶ τὸ ἥμισυ αὐτοῦ εἰς τὴν θάλασσαν τὴν ἐσχάτην· καὶ ἐν θέρει καὶ ἐν ἔαρι ἔσται οὕτως.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 9] Καὶ ἔσται Κύριος εἰς βασιλέα ἐπὶ πᾶσαν τὴν γῆν· ἐν τῇ ἡμέρᾳ ἐκείνῃ ἔσται Κύριος εἷς, καὶ τὸ ὄνομα αὐτοῦ ἓν,
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 10] κυκλῶν πᾶσαν τὴν γῆν, καὶ τὴν ἔρημον ἀπὸ Γαβὲ ἕως Ῥεμμὼν κατὰ Νότον Ἱερουσαλήμ. Ῥαμὰ δὲ ἐπὶ τόπου μενεῖ· ἀπὸ τῆς πύλης Βενιαμὶν ἕως τοῦ τόπου τῆς πύλης τῆς πρώτης, ἕως τῆς πύλης τῶν γωνιῶν, καὶ ἕως τοῦ πύργου Ἀναμεὴλ, ἕως τῶν ὑποληνίων τοῦ βασιλέως
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 11] κατοικήσουσιν ἐν αὐτῇ, καὶ ἀνάθεμα οὐκ ἔσται ἔτι, καὶ κατοικήσει Ἱερουσαλὴμ πεποιθότως.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 12] Καὶ αὕτη ἔσται ἡ πτῶσις ἣν κόψει Κύριος πάντας τοὺς λαοὺς, ὅσοι ἐπεστράτευσαν ἐπὶ Ἱερουσαλήμ· τακήσονται αἱ σάρκες αὐτῶν, ἑστηκότων ἐπὶ τοὺς πόδας αὐτῶν, καὶ οἱ ὀφθαλμοὶ αὐτῶν ῥυήσονται ἐκ τῶν ὀπῶν αὐτῶν, καὶ ἡ γλῶσσα αὐτῶν τακήσεται ἐν τῷ στόματι αὐτῶν.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 13] Καὶ ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ ἔκστασις Κυρίου μεγάλη ἐπʼ αὐτούς· καὶ ἐπιλήψονται ἕκαστος τῆς χειρὸς τοῦ πλησίον αὐτοῦ, καὶ συμπλακήσεται ἡ χεὶρ αὐτοῦ πρὸς τὴν χεῖρα τοῦ πλησίον αὐτοῦ.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 14] Καὶ Ἰούδας παρατάξεται ἐν Ἱερουσαλὴμ, καὶ συνάξει τὴν ἰσχὺν πάντων τῶν λαῶν κυκλόθεν, χρυσίον καὶ ἀργύριον καὶ ἱματισμὸν εἰς πλῆθος σφόδρα.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 15] Καὶ αὕτη ἔσται ἡ πτῶσις τῶν ἵππων, καὶ τῶν ἡμιόνων, καὶ τῶν καμήλων, καὶ τῶν ὄνων, καὶ πάντων τῶν κτηνῶν τῶν ὄντων ἐν ταῖς παρεμβολαῖς ἐκείναις, κατὰ τὴν πτῶσιν ταύτην.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 16] Καὶ ἔσται, ὅσοι ἐὰν καταλειφθῶσιν ἐκ πάντων τῶν ἐθνῶν τῶν ἐλθόντων ἐπʼ Ἱερουσαλὴμ, καὶ ἀναβήσονται κατʼ ἐνιαυτὸν, τοῦ προσκυνῆσαι τῷ βασιλεῖ Κυρίῳ παντοκράτορι, καὶ τοῦ ἑορτάσαι τὴν ἑορτὴν τῆς σκηνοπηγίας.
[LXX | EL | OT | Zechariah | Chapter 14 | Verse 17] Καὶ ἔσται, ὅσοι ἐὰν μὴ ἀναβῶσιν ἐκ πασῶν τῶν φυλῶν τῆς γῆς εἰς Ἱερουσαλὴμ, τοῦ προσκυνῆσαι τῷ βασιλεῖ Κυρίῳ παντοκράτορι, καὶ οὗτοι ἐκείνοις προστεθήσονται.
