[LXX | EL | OT | Zechariah | Chapter 2 | Verse 1] Καὶ ᾖρα τοὺς ὀφθαλμούς μου, καὶ ἴδον, καὶ ἰδοὺ τέσσαρα κέρατα.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 2] Καὶ εἶπα πρὸς τὸν ἄγγελον τὸν λαλοῦντα ἐν ἐμοὶ, τί ἐστι ταῦτα κύριε; καὶ εἶπε πρὸς μὲ, ταῦτα τὰ κέρατα τὰ διασκορπίσαντα τὸν Ἰούδαν, καὶ τὸν Ἰσραὴλ, καὶ Ἱερουσαλήμ.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 3] Καὶ ἔδειξέ μοι Κύριος τέσσαρας τέκτονας.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 4] Καὶ εἶπα, τί οὗτοι ἔρχονται ποιῆσαι; καὶ εἶπε ταῦτα τὰ κέρατα τὰ διασκορπίσαντα τὸν Ἰούδα καὶ τὸν Ἰσραὴλ κατέαξαν, καὶ οὐδεὶς αὐτῶν ᾖρε κεφαλήν· καὶ ἐξήλθοσαν οὗτοι τοῦ ὀξῦναι αὐτὰ εἰς χεῖρας αὐτῶν, τὰ τέσσαρα κέρατα, τὰ ἔθνη τὰ ἐπαιρόμενα κέρας ἐπὶ τὴν γῆν Κυρίου, τοῦ διασκορπίσαι αὐτήν.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 5] Καὶ ᾖρα τοὺς ὀφθαλμούς μου, καὶ ἴδον, καὶ ἰδοὺ ἀνὴρ, καὶ ἐν τῇ χειρὶ αὐτοῦ σχοινίον γεωμετρικόν.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 6] Καὶ εἶπα πρὸς αὐτόν, ποῦ σὺ πορεύῃ; καὶ εἶπε πρὸς μὲ, διαμετρῆσαι τὴν Ἱερουσαλὴμ, τοῦ ἰδεῖν πηλίκον τὸ πλάτος αὐτῆς ἐστι, καὶ πηλίκον τὸ μῆκος.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 7] Καὶ ἰδοὺ ὁ ἄγγελος ὁ λαλῶν ἐν ἐμοὶ εἱστήκει, καὶ ἄγγελος ἕτερος ἐξεπορεύετο εἰς συνάντησιν αὐτῷ,
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 8] καὶ εἶπε πρὸς αὐτὸν, λέγων, δράμε, καὶ λάλησον πρὸς τὸν νεανίαν ἐκεῖνον, λέγων, Κατακάρπως κατοικηθήσεται Ἱερουσαλὴμ ἀπὸ πλήθους ἀνθρώπων καὶ κτηνῶν ἐν μέσῳ αὐτῆς·
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 9] καὶ ἐγὼ ἔσομαι αὐτῇ, λέγει Κύριος, τεῖχος πυρὸς κυκλόθεν, καὶ εἰς δόξαν ἔσομαι ἐν μέσῳ αὐτῆς.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 10] Ὢ ὢ φεύγετε ἀπὸ γῆς Βοῤῥᾶ, λέγει Κύριος· διότι ἐκ τῶν τεσσάρων ἀνέμων τοῦ οὐρανοῦ συνάξω ὑμᾶς, λέγει Κύριος,
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 11] εἰς Σιὼν, ἀνασώζεσθε οἱ κατοικοῦντες θυγατέρα Βαβυλῶνος.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 12] Διότι τάδε λέγει Κύριος παντοκράτωρ, ὀπίσω δόξης ἀπέσταλκέ με ἐπὶ τὰ ἔθνη τὰ σκυλεύσαντα ὑμᾶς, διότι ὁ ἁπτόμενος ὑμῶν ὡς ὁ ἁπτόμενος τῆς κόρης τοῦ ὀφθαλμοῦ αὐτοῦ.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 13] Διότι ἰδοὺ ἐγὼ ἐπιφέρω τὴν χεῖρά μου ἐπʼ αὐτοὺς, καὶ ἔσονται σκῦλα τοῖς δουλεύουσιν αὐτοῖς, καὶ γνώσεσθε ὅτι Κύριος παντοκράτωρ ἀπέσταλκέ με.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 14] Τέρπου καὶ εὐφραίνου θύγατερ Σιὼν, διότι ἰδοὺ ἐγὼ ἔρχομαι, καὶ κατασκηνώσω ἐν μέσῳ σου, λέγει Κύριος.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 15] Καὶ καταφεύξονται ἔθνη πολλὰ ἐπὶ τὸν Κύριον ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ ἔσονται αὐτῷ εἰς λαὸν, καὶ κατασκηνώσουσιν ἐν μέσῳ σου, καὶ ἐπιγνώσῃ ὅτι Κύριος παντοκράτωρ ἐξαπέσταλκέ με πρὸς σέ.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 16] Καὶ κατακληρονομήσει Κύριος τὸν Ἰούδαν τὴν μερίδα αὐτοῦ ἐπὶ τὴν ἁγίαν· καὶ αἱρετιεῖ ἔτι τὴν Ἱερουσαλήμ.
[LXX | EL | OT | Zechariah | Chapter 2 | Verse 17] Εὐλαβείσθω πᾶσα σὰρξ ἀπὸ προσώπου Κυρίου, ὅτι ἐξεγήγερται ἐκ νεφελῶν ἁγίων αὐτοῦ.
