[LXX | EL | OT | Zechariah | Chapter 4 | Verse 1] Καὶ ἐπέστρεψεν ὁ ἄγγελος ὁ λαλῶν ἐν ἐμοὶ, καὶ ἐξήγειρέ με ὃν τρόπον ὅταν ἐξεγερθῇ ἄνθρωπος ἐξ ὕπνου αὐτοῦ.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 2] Καὶ εἶπε πρὸς μὲ, τί σὺ βλέπεις; καὶ εἶπα, ἑώρακα, καὶ ἰδοὺ λυχνία χρυσῆ ὅλη, καὶ τὸ λαμπάδιον ἐπάνω αὐτῆς, καὶ ἑπτὰ λύχνοι ἐπάνω αὐτῆς, καὶ ἑπτὰ ἐπαρυστρίδες τοῖς λύχνοις τοῖς ἐπάνω αὐτῆς,
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 3] καὶ δύο ἐλαῖαι ἐπάνω αὐτῆς, μία ἐκ δεξιῶν τοῦ λαμπαδίου αὐτῆς, καὶ μία ἐξ εὐωνύμων.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 4] Καὶ ἐπηρώτησα, καὶ εἶπα πρὸς τὸν ἄγγελον τὸν λαλοῦντα ἐν ἐμοὶ, λέγων, τί ἐστι ταῦτα κύριε;
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 5] Καὶ ἀπεκρίθη ὁ ἄγγελος ὁ λαλῶν ἐν ἐμοὶ, καὶ εἶπε πρὸς μὲ, λέγων, οὐ γινώσκεις τί ἐστι ταῦτα; καὶ εἶπα, οὐχὶ κύριε.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 6] Καὶ ἀπεκρίθη, καὶ εἶπε πρὸς μὲ, λέγων, οὗτος ὁ λόγος Κυρίου πρὸς Ζοροβάβελ, λέγων, Οὐκ ἐν δυνάμει μεγάλῃ, οὐδὲ ἐν ἰσχύϊ, ἀλλὰ ἐν πνεύματί μου, λέγει Κύριος παντοκράτωρ.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 7] Τίς εἶ σὺ τὸ ὄρος τὸ μέγα τὸ πρὸ προσώπου Ζοροβάβελ τοῦ κατορθῶσαι; καὶ ἐξοίσω τὸν λίθον τῆς κληρονομίας, ἰσότητα χάριτος χάριτα αὐτῆς.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 8] Καὶ ἐγένετο λόγος Κυρίου πρὸς μὲ, λέγων,
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 9] αἱ χεῖρες Ζοροβάβελ ἐθεμελίωσαν τὸν οἶκον τοῦτον, καὶ αἱ χεῖρες αὐτοῦ ἐπιτελέσουσιν αὐτόν· καὶ ἐπιγνώσῃ διότι Κύριος παντοκράτωρ ἐξαπέσταλκέ με πρὸς σέ.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 10] Διότι τίς ἐξουδένωσεν εἰς ἡμέρας μικράς; καὶ χαροῦνται, καὶ ὄψονται τὸν λίθον τὸν κασσιτέρινον ἐν χειρὶ Ζοροβάβελ· ἑπτὰ οὗτοι ὀφθαλμοί εἰσιν οἱ ἐπιβλέποντες ἐπὶ πᾶσαν τὴν γῆν.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 11] Καὶ ἀπεκρίθην, καὶ εἶπα πρὸς αὐτὸν, τί αἱ δύο ἐλαῖαι αὗται, αἱ ἐκ δεξιῶν τῆς λυχνίας καὶ ἐξ εὐωνύμων;
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 12] Καὶ ἐπηρώτησα ἐκ δευτέρου, καὶ εἶπα πρὸς αὐτὸν, τί οἱ δύο κλάδοι τῶν ἐλαιῶν οἱ ἐν ταῖς χερσὶ τῶν δύο μυξωτήρων τῶν χρυσῶν τῶν ἐπιχεόντων, καὶ ἐπαναγόντων τὰς ἐπαρυστρίδας τὰς χρυσᾶς;
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 13] Καὶ εἶπε πρὸς μὲ, οὐκ οἶδας τί ἐστι ταῦτα; καὶ εἶπα, οὐχὶ κύριε.
[LXX | EL | OT | Zechariah | Chapter 4 | Verse 14] Καὶ εἶπεν, οὗτοι οἱ δύο υἱοὶ τῆς πιότητος παρεστήκασι Κυρίῳ πάσης τῆς γῆς.
