[LXX | EL | OT | Zechariah | Chapter 6 | Verse 1] Καὶ ἐπέστρεψα, καὶ ᾖρα τοὺς ὀφθαλμούς μου, καὶ ἴδον, καὶ ἰδοὺ τέσσαρα ἅρματα ἐκπορευόμενα ἐκ μέσου δύο ὀρέων, καὶ τὰ ὄρη ἦν ὄρη χαλκᾶ.
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 2] Ἐν τῷ ἅρματι τῷ πρώτῳ ἵπποι πυῤῥοὶ, καὶ ἐν τῷ ἅρματι τῷ δευτέρῳ ἵπποι μέλανες,
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 3] καὶ ἐν τῷ ἅρματι τῷ τρίτῳ ἵπποι λευκοὶ, καὶ ἐν τῷ ἅρματι τῷ τετάρτῳ ἵπποι ποικίλοι ψαροί.
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 4] Καὶ ἀπεκρίθην, καὶ εἶπα πρὸς τὸν ἄγγελον τὸν λαλοῦντα ἐν ἐμοὶ, τί ἐστι ταῦτα κύριε;
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 5] Καὶ ἀπεκρίθη ὁ ἄγγελος ὁ λαλῶν ἐν ἐμοὶ, καὶ εἶπε, ταῦτά ἐστιν οἱ τέσσαρες ἄνεμοι τοῦ οὐρανοῦ, ἐκπορεύονται παραστῆναι τῷ Κυρίῳ πάσης τῆς γῆς.
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 6] Ἐν ᾧ ἦσαν ἵπποι οἱ μέλανες, ἐξεπορεύοντο ἐπὶ γῆν Βοῤῥᾶ, καὶ οἱ λευκοὶ ἐξεπορεύοντο κατόπισθεν αὐτῶν, καὶ οἱ ποικίλοι ἐξεπορεύοντο ἐπὶ γῆν Νότου,
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 7] καὶ οἱ ψαροὶ ἐξεπορεύοντο, καὶ ἐπέβλεπον τοῦ πορεύεσθαι τοῦ περιοδεῦσαι τὴν γῆν, καὶ εἶπε, πορεύεσθε, καὶ περιοδεύσατε τὴν γῆν· καὶ περιώδευσαν τὴν γῆν.
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 8] Καὶ ἀνεβόησε, καὶ ἐλάλησε πρὸς μὲ, λέγων, ἰδοὺ οἱ ἐκπορευόμενοι ἐπὶ γῆν Βοῤῥᾶ, καὶ ἀνέπαυσαν τὸν θυμόν μου ἐν γῇ βοῤῥᾶ.
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 9] Καὶ ἐγένετο λόγος Κυρίου πρὸς μὲ, λέγων,
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 10] λάβε τὰ ἐκ τῆς αἰχμαλωσίας παρὰ τῶν ἀρχόντων, καὶ παρὰ τῶν χρησίμων αὐτῆς, καὶ παρὰ τῶν ἐπεγνωκότων αὐτὴν, καὶ εἰσελεύσῃ σὺ ἐν τῇ ἡμέρᾳ ἐκείνῃ εἰς τὸν οἶκον Ἰωσίου τοῦ Σοφονίου τοῦ ἥκοντος ἐκ Βαβυλῶνος,
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 11] καὶ λήψῃ ἀργύριον καὶ χρυσίον, καὶ ποιήσεις στεφάνους, καὶ ἐπιθήσεις ἐπὶ τὴν κεφαλὴν Ἰησοῦ τοῦ Ἰωσεδὲκ τοῦ ἱερέως τοῦ μεγάλου.
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 12] Καὶ ἐρεῖς πρὸς αὐτὸν, τάδε λέγει Κύριος παντοκράτωρ, Ἰδοὺ ἀνὴρ, Ἀνατολὴ ὄνομα αὐτῷ· καὶ ὑποκάτωθεν αὐτοῦ ἀνατελεῖ, καὶ οἰκοδομήσει τὸν οἶκον Κυρίου,
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 13] καὶ αὐτὸς λήψεται ἀρετὴν, καὶ καθιεῖται, καὶ κατάρξει ἐπὶ τοῦ θρόνου αὐτοῦ, καὶ ἔσται ἱερεὺς ἐκ δεξιῶν αὐτοῦ, καὶ βουλὴ εἰρηνικὴ ἔσται ἀναμέσον ἀμφοτέρων·
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 14] Ὁ δὲ στέφανος ἔσται τοῖς ὑπομένουσι, καὶ τοῖς χρησίμοις αὐτῆς, καὶ τοῖς ἐπεγνωκόσιν αὐτὴν, καὶ εἰς χάριτα υἱοῦ Σοφονίου, καὶ εἰς ψαλμὸν ἐν οἴκῳ Κυρίου.
[LXX | EL | OT | Zechariah | Chapter 6 | Verse 15] Καὶ οἱ μακρὰν ἀπʼ αὐτῶν ἥξουσι, καὶ οἰκοδομήσουσιν ἐν τῷ οἴκῳ Κυρίου, καὶ γνώσεσθε διότι Κύριος παντοκράτωρ ἀπέσταλκέ με πρὸς ὑμᾶς· καὶ ἔσται, ἐὰν εἰσακούοντες εἰσακούσητε τῆς φωνῆς Κυρίου τοῦ Θεοῦ ὑμῶν.
